Date,State,country,cases,Recovered,Deceased,Other,Tested
12-05-2020,Tamil Nadu,Airport Quarantine,4,0,0,0,
13-05-2020,Tamil Nadu,Airport Quarantine,9,0,0,0,
14-05-2020,Tamil Nadu,Airport Quarantine,9,0,0,0,
15-05-2020,Tamil Nadu,Airport Quarantine,9,0,0,0,
16-05-2020,Tamil Nadu,Airport Quarantine,13,0,0,0,
17-05-2020,Tamil Nadu,Airport Quarantine,13,0,0,0,
18-05-2020,Tamil Nadu,Airport Quarantine,18,0,0,0,
19-05-2020,Tamil Nadu,Airport Quarantine,54,0,0,0,
20-05-2020,Tamil Nadu,Airport Quarantine,54,0,0,0,
21-05-2020,Tamil Nadu,Airport Quarantine,61,0,0,0,
22-05-2020,Tamil Nadu,Airport Quarantine,62,0,0,0,
23-05-2020,Tamil Nadu,Airport Quarantine,74,0,0,0,
24-05-2020,Tamil Nadu,Airport Quarantine,76,2,0,0,
25-05-2020,Tamil Nadu,Airport Quarantine,81,2,0,0,
26-05-2020,Tamil Nadu,Airport Quarantine,86,2,0,0,
27-05-2020,Tamil Nadu,Airport Quarantine,86,4,0,0,
28-05-2020,Tamil Nadu,Airport Quarantine,90,8,0,0,
29-05-2020,Tamil Nadu,Airport Quarantine,96,14,0,0,
30-05-2020,Tamil Nadu,Airport Quarantine,96,14,0,0,
31-05-2020,Tamil Nadu,Airport Quarantine,104,23,0,0,
01-06-2020,Tamil Nadu,Airport Quarantine,105,25,0,0,
02-06-2020,Tamil Nadu,Airport Quarantine,107,32,0,0,
03-06-2020,Tamil Nadu,Airport Quarantine,126,32,0,0,
04-06-2020,Tamil Nadu,Airport Quarantine,141,48,1,0,
05-06-2020,Tamil Nadu,Airport Quarantine,155,57,1,0,
06-06-2020,Tamil Nadu,Airport Quarantine,167,68,1,0,
07-06-2020,Tamil Nadu,Airport Quarantine,180,70,1,0,
08-06-2020,Tamil Nadu,Airport Quarantine,193,72,1,0,
09-06-2020,Tamil Nadu,Airport Quarantine,205,77,1,0,
10-06-2020,Tamil Nadu,Airport Quarantine,212,86,1,0,
11-06-2020,Tamil Nadu,Airport Quarantine,229,91,1,0,
12-06-2020,Tamil Nadu,Airport Quarantine,248,95,1,0,
13-06-2020,Tamil Nadu,Airport Quarantine,264,97,1,0,
14-06-2020,Tamil Nadu,Airport Quarantine,285,102,1,0,
15-06-2020,Tamil Nadu,Airport Quarantine,303,111,1,0,
16-06-2020,Tamil Nadu,Airport Quarantine,314,117,1,0,
17-06-2020,Tamil Nadu,Airport Quarantine,339,125,1,0,
18-06-2020,Tamil Nadu,Airport Quarantine,355,134,1,0,
19-06-2020,Tamil Nadu,Airport Quarantine,371,148,1,0,
20-06-2020,Tamil Nadu,Airport Quarantine,392,158,1,0,
21-06-2020,Tamil Nadu,Airport Quarantine,400,167,1,0,
22-06-2020,Tamil Nadu,Airport Quarantine,416,178,1,0,
23-06-2020,Tamil Nadu,Airport Quarantine,430,186,1,0,
24-06-2020,Tamil Nadu,Airport Quarantine,484,190,1,0,
25-06-2020,Tamil Nadu,Airport Quarantine,545,200,1,0,
26-06-2020,Tamil Nadu,Airport Quarantine,608,210,1,0,
27-06-2020,Tamil Nadu,Airport Quarantine,625,226,1,0,
28-06-2020,Tamil Nadu,Airport Quarantine,667,237,1,0,
29-06-2020,Tamil Nadu,Airport Quarantine,700,264,1,0,
30-06-2020,Tamil Nadu,Airport Quarantine,717,281,1,0,
01-07-2020,Tamil Nadu,Airport Quarantine,737,291,1,0,
02-07-2020,Tamil Nadu,Airport Quarantine,750,302,1,0,
03-07-2020,Tamil Nadu,Airport Quarantine,765,317,1,0,
04-07-2020,Tamil Nadu,Airport Quarantine,772,329,1,0,
05-07-2020,Tamil Nadu,Airport Quarantine,798,367,1,0,
06-07-2020,Tamil Nadu,Airport Quarantine,811,390,1,0,
07-07-2020,Tamil Nadu,Airport Quarantine,824,401,1,0,
