Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Ariyalur,5,2,0,0,
26-04-2020,Tamil Nadu,Chengalpattu,55,40,2,0,
26-04-2020,Tamil Nadu,Chennai,528,161,12,0,
26-04-2020,Tamil Nadu,Coimbatore,141,94,0,0,
26-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
26-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
26-04-2020,Tamil Nadu,Dindigul,80,62,1,0,
26-04-2020,Tamil Nadu,Erode,70,64,1,0,
26-04-2020,Tamil Nadu,Kallakurichi,6,3,0,0,
26-04-2020,Tamil Nadu,Kancheepuram,18,7,1,0,
26-04-2020,Tamil Nadu,Kanyakumari,16,6,0,0,
26-04-2020,Tamil Nadu,Karur,41,41,0,0,
26-04-2020,Tamil Nadu,Madurai,75,8,2,0,
26-04-2020,Tamil Nadu,Nagapattinam,44,28,0,0,
26-04-2020,Tamil Nadu,Namakkal,59,45,0,0,
26-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
26-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
26-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
26-04-2020,Tamil Nadu,Ramanathapuram,15,7,0,0,
26-04-2020,Tamil Nadu,Ranipet,38,32,0,0,
26-04-2020,Tamil Nadu,Salem,31,6,0,0,
26-04-2020,Tamil Nadu,Sivaganga,12,0,0,0,
26-04-2020,Tamil Nadu,Tenkasi,35,2,0,0,
26-04-2020,Tamil Nadu,Thanjavur,54,23,0,0,
26-04-2020,Tamil Nadu,Theni,44,35,1,0,
26-04-2020,Tamil Nadu,Thiruvallur,54,14,0,0,
26-04-2020,Tamil Nadu,Thiruvarur,30,8,0,0,
26-04-2020,Tamil Nadu,Thoothukkudi,27,23,2,0,
26-04-2020,Tamil Nadu,Tiruchirappalli,51,42,0,0,
26-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
26-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
26-04-2020,Tamil Nadu,Tiruppur,112,83,0,0,
26-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
26-04-2020,Tamil Nadu,Unknown,0,25,-1,0,
26-04-2020,Tamil Nadu,Vellore,23,13,1,0,
26-04-2020,Tamil Nadu,Viluppuram,51,22,2,0,
26-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
27-04-2020,Tamil Nadu,Ariyalur,5,2,0,0,
27-04-2020,Tamil Nadu,Chengalpattu,55,40,2,0,
27-04-2020,Tamil Nadu,Chennai,575,195,12,0,
27-04-2020,Tamil Nadu,Coimbatore,141,120,0,0,
27-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
27-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
27-04-2020,Tamil Nadu,Dindigul,80,62,1,0,
27-04-2020,Tamil Nadu,Erode,70,64,1,0,
27-04-2020,Tamil Nadu,Kallakurichi,6,3,0,0,
27-04-2020,Tamil Nadu,Kancheepuram,18,7,1,0,
27-04-2020,Tamil Nadu,Kanyakumari,16,6,0,0,
27-04-2020,Tamil Nadu,Karur,41,41,0,0,
27-04-2020,Tamil Nadu,Madurai,79,8,2,0,
27-04-2020,Tamil Nadu,Nagapattinam,44,28,0,0,
27-04-2020,Tamil Nadu,Namakkal,59,45,0,0,
27-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
27-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
27-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
27-04-2020,Tamil Nadu,Ramanathapuram,15,7,0,0,
27-04-2020,Tamil Nadu,Ranipet,38,32,0,0,
27-04-2020,Tamil Nadu,Salem,31,6,0,0,
27-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
27-04-2020,Tamil Nadu,Tenkasi,35,2,0,0,
27-04-2020,Tamil Nadu,Thanjavur,54,23,0,0,
27-04-2020,Tamil Nadu,Theni,44,36,1,0,
27-04-2020,Tamil Nadu,Thiruvallur,54,14,0,0,
27-04-2020,Tamil Nadu,Thiruvarur,30,14,0,0,
27-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
27-04-2020,Tamil Nadu,Tiruchirappalli,51,42,0,0,
27-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
27-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
27-04-2020,Tamil Nadu,Tiruppur,112,83,0,0,
27-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
27-04-2020,Tamil Nadu,Vellore,23,13,1,0,
27-04-2020,Tamil Nadu,Viluppuram,52,22,2,0,
27-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
28-04-2020,Tamil Nadu,Ariyalur,5,2,0,0,
28-04-2020,Tamil Nadu,Chengalpattu,67,40,2,0,
28-04-2020,Tamil Nadu,Chennai,678,195,13,0,
28-04-2020,Tamil Nadu,Coimbatore,141,120,0,0,
28-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
28-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
28-04-2020,Tamil Nadu,Dindigul,80,62,1,0,
28-04-2020,Tamil Nadu,Erode,70,64,1,0,
28-04-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
28-04-2020,Tamil Nadu,Kancheepuram,19,7,1,0,
28-04-2020,Tamil Nadu,Kanyakumari,16,6,0,0,
28-04-2020,Tamil Nadu,Karur,41,41,0,0,
28-04-2020,Tamil Nadu,Madurai,79,36,2,0,
28-04-2020,Tamil Nadu,Nagapattinam,44,28,0,0,
28-04-2020,Tamil Nadu,Namakkal,61,45,0,0,
28-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
28-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
28-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
28-04-2020,Tamil Nadu,Ramanathapuram,15,7,0,0,
28-04-2020,Tamil Nadu,Ranipet,38,32,0,0,
28-04-2020,Tamil Nadu,Salem,31,16,0,0,
28-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
28-04-2020,Tamil Nadu,Tenkasi,35,2,0,0,
28-04-2020,Tamil Nadu,Thanjavur,54,24,0,0,
28-04-2020,Tamil Nadu,Theni,44,36,1,0,
28-04-2020,Tamil Nadu,Thiruvallur,54,29,0,0,
28-04-2020,Tamil Nadu,Thiruvarur,30,14,0,0,
28-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
28-04-2020,Tamil Nadu,Tiruchirappalli,51,42,0,0,
28-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
28-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
28-04-2020,Tamil Nadu,Tiruppur,112,83,0,0,
28-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
28-04-2020,Tamil Nadu,Vellore,23,13,1,0,
28-04-2020,Tamil Nadu,Viluppuram,52,22,2,0,
28-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
29-04-2020,Tamil Nadu,Ariyalur,5,4,0,0,
29-04-2020,Tamil Nadu,Chengalpattu,71,43,2,0,
29-04-2020,Tamil Nadu,Chennai,772,210,15,0,
29-04-2020,Tamil Nadu,Coimbatore,141,121,0,0,
29-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
29-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
29-04-2020,Tamil Nadu,Dindigul,80,66,1,0,
29-04-2020,Tamil Nadu,Erode,70,69,1,0,
29-04-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
29-04-2020,Tamil Nadu,Kancheepuram,22,9,1,0,
29-04-2020,Tamil Nadu,Kanyakumari,16,10,0,0,
29-04-2020,Tamil Nadu,Karur,41,41,0,0,
29-04-2020,Tamil Nadu,Madurai,79,40,2,0,
29-04-2020,Tamil Nadu,Nagapattinam,44,31,0,0,
29-04-2020,Tamil Nadu,Namakkal,61,49,0,0,
29-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
29-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
29-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
29-04-2020,Tamil Nadu,Ramanathapuram,15,10,0,0,
29-04-2020,Tamil Nadu,Ranipet,38,33,0,0,
29-04-2020,Tamil Nadu,Salem,31,20,0,0,
29-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
29-04-2020,Tamil Nadu,Tenkasi,35,5,0,0,
29-04-2020,Tamil Nadu,Thanjavur,54,33,0,0,
29-04-2020,Tamil Nadu,Theni,44,36,1,0,
29-04-2020,Tamil Nadu,Thiruvallur,55,30,0,0,
29-04-2020,Tamil Nadu,Thiruvarur,30,15,0,0,
29-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
29-04-2020,Tamil Nadu,Tiruchirappalli,51,45,0,0,
29-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
29-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
29-04-2020,Tamil Nadu,Tiruppur,112,91,0,0,
29-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
29-04-2020,Tamil Nadu,Vellore,23,14,1,0,
29-04-2020,Tamil Nadu,Viluppuram,54,23,2,0,
29-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
30-04-2020,Tamil Nadu,Ariyalur,6,4,0,0,
30-04-2020,Tamil Nadu,Chengalpattu,76,48,2,0,
30-04-2020,Tamil Nadu,Chennai,910,214,15,0,
30-04-2020,Tamil Nadu,Coimbatore,141,125,0,0,
30-04-2020,Tamil Nadu,Cuddalore,27,21,0,0,
30-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
30-04-2020,Tamil Nadu,Dindigul,80,71,1,0,
30-04-2020,Tamil Nadu,Erode,70,69,1,0,
30-04-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
30-04-2020,Tamil Nadu,Kancheepuram,25,9,1,0,
30-04-2020,Tamil Nadu,Kanyakumari,16,10,0,0,
30-04-2020,Tamil Nadu,Karur,41,41,0,0,
30-04-2020,Tamil Nadu,Madurai,84,40,2,0,
30-04-2020,Tamil Nadu,Nagapattinam,44,35,0,0,
30-04-2020,Tamil Nadu,Namakkal,61,49,0,0,
30-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
30-04-2020,Tamil Nadu,Perambalur,9,1,0,0,
30-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
30-04-2020,Tamil Nadu,Ramanathapuram,18,10,0,0,
30-04-2020,Tamil Nadu,Ranipet,39,33,0,0,
30-04-2020,Tamil Nadu,Salem,32,23,0,0,
30-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
30-04-2020,Tamil Nadu,Tenkasi,35,5,0,0,
30-04-2020,Tamil Nadu,Thanjavur,54,35,0,0,
30-04-2020,Tamil Nadu,Theni,44,37,1,0,
30-04-2020,Tamil Nadu,Thiruvallur,56,30,0,0,
30-04-2020,Tamil Nadu,Thiruvarur,30,16,0,0,
30-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
30-04-2020,Tamil Nadu,Tiruchirappalli,51,45,0,0,2684
30-04-2020,Tamil Nadu,Tirunelveli,65,54,0,0,
30-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
30-04-2020,Tamil Nadu,Tiruppur,112,103,0,0,
30-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
