Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Ariyalur,5,2,0,0,
27-04-2020,Tamil Nadu,Ariyalur,5,2,0,0,
28-04-2020,Tamil Nadu,Ariyalur,5,2,0,0,
29-04-2020,Tamil Nadu,Ariyalur,5,4,0,0,
30-04-2020,Tamil Nadu,Ariyalur,6,4,0,0,
01-05-2020,Tamil Nadu,Ariyalur,7,4,0,0,
02-05-2020,Tamil Nadu,Ariyalur,25,6,0,0,
03-05-2020,Tamil Nadu,Ariyalur,27,6,0,0,
04-05-2020,Tamil Nadu,Ariyalur,33,6,0,0,
05-05-2020,Tamil Nadu,Ariyalur,33,6,0,0,
06-05-2020,Tamil Nadu,Ariyalur,221,6,0,0,
07-05-2020,Tamil Nadu,Ariyalur,245,6,0,0,
08-05-2020,Tamil Nadu,Ariyalur,245,6,0,0,
09-05-2020,Tamil Nadu,Ariyalur,261,6,0,0,
10-05-2020,Tamil Nadu,Ariyalur,265,6,0,0,
11-05-2020,Tamil Nadu,Ariyalur,298,6,0,0,
12-05-2020,Tamil Nadu,Ariyalur,334,10,0,0,
13-05-2020,Tamil Nadu,Ariyalur,338,13,0,0,
14-05-2020,Tamil Nadu,Ariyalur,348,13,0,0,
15-05-2020,Tamil Nadu,Ariyalur,348,195,0,0,
16-05-2020,Tamil Nadu,Ariyalur,348,314,0,0,
17-05-2020,Tamil Nadu,Ariyalur,353,328,0,0,
18-05-2020,Tamil Nadu,Ariyalur,355,328,0,0,
19-05-2020,Tamil Nadu,Ariyalur,355,345,0,0,
20-05-2020,Tamil Nadu,Ariyalur,355,345,0,0,
21-05-2020,Tamil Nadu,Ariyalur,355,348,0,0,
22-05-2020,Tamil Nadu,Ariyalur,355,348,0,0,
23-05-2020,Tamil Nadu,Ariyalur,355,348,0,0,
24-05-2020,Tamil Nadu,Ariyalur,356,348,0,0,
25-05-2020,Tamil Nadu,Ariyalur,356,348,0,0,
