Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Chengalpattu,55,40,2,0,
27-04-2020,Tamil Nadu,Chengalpattu,55,40,2,0,
28-04-2020,Tamil Nadu,Chengalpattu,67,40,2,0,
29-04-2020,Tamil Nadu,Chengalpattu,71,43,2,0,
30-04-2020,Tamil Nadu,Chengalpattu,76,48,2,0,
01-05-2020,Tamil Nadu,Chengalpattu,84,48,2,0,
02-05-2020,Tamil Nadu,Chengalpattu,89,48,2,0,
03-05-2020,Tamil Nadu,Chengalpattu,90,48,2,0,
04-05-2020,Tamil Nadu,Chengalpattu,94,48,2,0,
05-05-2020,Tamil Nadu,Chengalpattu,130,49,2,0,
06-05-2020,Tamil Nadu,Chengalpattu,139,49,2,0,
07-05-2020,Tamil Nadu,Chengalpattu,152,49,2,0,
08-05-2020,Tamil Nadu,Chengalpattu,178,49,2,0,
09-05-2020,Tamil Nadu,Chengalpattu,218,51,2,0,
10-05-2020,Tamil Nadu,Chengalpattu,261,56,3,0,
11-05-2020,Tamil Nadu,Chengalpattu,351,65,3,0,
12-05-2020,Tamil Nadu,Chengalpattu,386,66,3,0,
13-05-2020,Tamil Nadu,Chengalpattu,411,66,3,0,
14-05-2020,Tamil Nadu,Chengalpattu,430,67,3,0,
15-05-2020,Tamil Nadu,Chengalpattu,450,68,3,0,
16-05-2020,Tamil Nadu,Chengalpattu,463,76,3,0,
17-05-2020,Tamil Nadu,Chengalpattu,491,187,3,0,
18-05-2020,Tamil Nadu,Chengalpattu,534,188,3,0,
19-05-2020,Tamil Nadu,Chengalpattu,556,190,3,0,
20-05-2020,Tamil Nadu,Chengalpattu,617,193,3,0,
21-05-2020,Tamil Nadu,Chengalpattu,651,233,3,0,
22-05-2020,Tamil Nadu,Chengalpattu,691,233,4,0,
23-05-2020,Tamil Nadu,Chengalpattu,730,245,4,0,
24-05-2020,Tamil Nadu,Chengalpattu,776,253,5,0,
25-05-2020,Tamil Nadu,Chengalpattu,830,255,6,0,
26-05-2020,Tamil Nadu,Chengalpattu,852,258,7,0,
27-05-2020,Tamil Nadu,Chengalpattu,887,395,8,0,
28-05-2020,Tamil Nadu,Chengalpattu,932,403,8,0,
29-05-2020,Tamil Nadu,Chengalpattu,993,443,9,0,
30-05-2020,Tamil Nadu,Chengalpattu,1087,583,9,0,
