Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Dindigul,80,62,1,0,
27-04-2020,Tamil Nadu,Dindigul,80,62,1,0,
28-04-2020,Tamil Nadu,Dindigul,80,62,1,0,
29-04-2020,Tamil Nadu,Dindigul,80,66,1,0,
30-04-2020,Tamil Nadu,Dindigul,80,71,1,0,
01-05-2020,Tamil Nadu,Dindigul,81,71,1,0,
02-05-2020,Tamil Nadu,Dindigul,81,72,1,0,
03-05-2020,Tamil Nadu,Dindigul,81,72,1,0,
04-05-2020,Tamil Nadu,Dindigul,91,72,1,0,
05-05-2020,Tamil Nadu,Dindigul,98,73,1,0,
06-05-2020,Tamil Nadu,Dindigul,107,75,1,0,
07-05-2020,Tamil Nadu,Dindigul,107,75,1,0,
08-05-2020,Tamil Nadu,Dindigul,107,79,1,0,
09-05-2020,Tamil Nadu,Dindigul,108,79,1,0,
10-05-2020,Tamil Nadu,Dindigul,108,79,1,0,
11-05-2020,Tamil Nadu,Dindigul,109,79,1,0,
12-05-2020,Tamil Nadu,Dindigul,111,79,1,0,
13-05-2020,Tamil Nadu,Dindigul,111,79,1,0,
14-05-2020,Tamil Nadu,Dindigul,112,80,1,0,
15-05-2020,Tamil Nadu,Dindigul,114,83,1,0,
16-05-2020,Tamil Nadu,Dindigul,121,95,1,0,
17-05-2020,Tamil Nadu,Dindigul,121,97,1,0,
18-05-2020,Tamil Nadu,Dindigul,123,97,1,0,
19-05-2020,Tamil Nadu,Dindigul,126,106,1,0,
20-05-2020,Tamil Nadu,Dindigul,127,106,1,0,
21-05-2020,Tamil Nadu,Dindigul,132,106,1,0,
22-05-2020,Tamil Nadu,Dindigul,133,106,1,0,
23-05-2020,Tamil Nadu,Dindigul,133,106,1,0,
24-05-2020,Tamil Nadu,Dindigul,133,110,1,0,
25-05-2020,Tamil Nadu,Dindigul,133,110,1,0,
26-05-2020,Tamil Nadu,Dindigul,134,112,1,0,
27-05-2020,Tamil Nadu,Dindigul,134,112,1,0,
28-05-2020,Tamil Nadu,Dindigul,138,112,1,0,
29-05-2020,Tamil Nadu,Dindigul,138,120,1,0,
30-05-2020,Tamil Nadu,Dindigul,138,120,1,0,
31-05-2020,Tamil Nadu,Dindigul,139,122,1,0,
01-06-2020,Tamil Nadu,Dindigul,144,122,2,0,
02-06-2020,Tamil Nadu,Dindigul,146,123,2,0,
03-06-2020,Tamil Nadu,Dindigul,146,123,2,0,
04-06-2020,Tamil Nadu,Dindigul,148,124,2,0,
05-06-2020,Tamil Nadu,Dindigul,151,124,2,0,
06-06-2020,Tamil Nadu,Dindigul,156,124,2,0,
07-06-2020,Tamil Nadu,Dindigul,167,124,2,0,7582
08-06-2020,Tamil Nadu,Dindigul,176,124,2,0,7582
09-06-2020,Tamil Nadu,Dindigul,182,127,2,0,7582
10-06-2020,Tamil Nadu,Dindigul,185,140,2,0,7582
11-06-2020,Tamil Nadu,Dindigul,196,143,2,0,7582
12-06-2020,Tamil Nadu,Dindigul,198,145,2,0,7582
13-06-2020,Tamil Nadu,Dindigul,207,147,2,0,7582
14-06-2020,Tamil Nadu,Dindigul,218,157,2,0,7582
15-06-2020,Tamil Nadu,Dindigul,220,173,2,0,7582
16-06-2020,Tamil Nadu,Dindigul,234,177,2,0,7582
17-06-2020,Tamil Nadu,Dindigul,249,179,3,0,7582
18-06-2020,Tamil Nadu,Dindigul,250,185,3,0,7582
19-06-2020,Tamil Nadu,Dindigul,272,198,4,0,9583
20-06-2020,Tamil Nadu,Dindigul,278,202,4,0,9963
21-06-2020,Tamil Nadu,Dindigul,305,211,4,0,9963
22-06-2020,Tamil Nadu,Dindigul,312,213,4,0,9963
23-06-2020,Tamil Nadu,Dindigul,357,220,4,0,9963
24-06-2020,Tamil Nadu,Dindigul,367,224,4,0,9963
25-06-2020,Tamil Nadu,Dindigul,377,244,4,0,9963
26-06-2020,Tamil Nadu,Dindigul,344,231,4,0,9963
27-06-2020,Tamil Nadu,Dindigul,369,231,5,0,9963
28-06-2020,Tamil Nadu,Dindigul,370,237,6,0,9963
29-06-2020,Tamil Nadu,Dindigul,438,256,6,0,9963
30-06-2020,Tamil Nadu,Dindigul,472,277,6,0,9963
01-07-2020,Tamil Nadu,Dindigul,507,286,6,0,9963
02-07-2020,Tamil Nadu,Dindigul,601,300,6,0,9963
03-07-2020,Tamil Nadu,Dindigul,618,310,7,0,9963
04-07-2020,Tamil Nadu,Dindigul,633,315,7,0,9963
05-07-2020,Tamil Nadu,Dindigul,704,324,7,0,9963
06-07-2020,Tamil Nadu,Dindigul,725,347,7,0,9963
