Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Erode,70,64,1,0,
27-04-2020,Tamil Nadu,Erode,70,64,1,0,
28-04-2020,Tamil Nadu,Erode,70,64,1,0,
29-04-2020,Tamil Nadu,Erode,70,69,1,0,
30-04-2020,Tamil Nadu,Erode,70,69,1,0,
01-05-2020,Tamil Nadu,Erode,70,69,1,0,
02-05-2020,Tamil Nadu,Erode,70,69,1,0,
03-05-2020,Tamil Nadu,Erode,70,69,1,0,
04-05-2020,Tamil Nadu,Erode,70,69,1,0,
05-05-2020,Tamil Nadu,Erode,70,69,1,0,
06-05-2020,Tamil Nadu,Erode,70,69,1,0,
07-05-2020,Tamil Nadu,Erode,70,69,1,0,
08-05-2020,Tamil Nadu,Erode,70,69,1,0,
09-05-2020,Tamil Nadu,Erode,70,69,1,0,
10-05-2020,Tamil Nadu,Erode,70,69,1,0,
11-05-2020,Tamil Nadu,Erode,70,69,1,0,
12-05-2020,Tamil Nadu,Erode,70,69,1,0,
13-05-2020,Tamil Nadu,Erode,70,69,1,0,
14-05-2020,Tamil Nadu,Erode,70,69,1,0,
15-05-2020,Tamil Nadu,Erode,70,69,1,0,
16-05-2020,Tamil Nadu,Erode,70,69,1,0,
17-05-2020,Tamil Nadu,Erode,70,69,1,0,
18-05-2020,Tamil Nadu,Erode,70,69,1,0,
19-05-2020,Tamil Nadu,Erode,70,69,1,0,
20-05-2020,Tamil Nadu,Erode,70,69,1,0,
21-05-2020,Tamil Nadu,Erode,70,69,1,0,
22-05-2020,Tamil Nadu,Erode,71,69,1,0,
23-05-2020,Tamil Nadu,Erode,71,69,1,0,
24-05-2020,Tamil Nadu,Erode,71,69,1,0,
25-05-2020,Tamil Nadu,Erode,71,69,1,0,
26-05-2020,Tamil Nadu,Erode,71,69,1,0,
27-05-2020,Tamil Nadu,Erode,71,69,1,0,
28-05-2020,Tamil Nadu,Erode,71,69,1,0,
29-05-2020,Tamil Nadu,Erode,72,69,1,0,
30-05-2020,Tamil Nadu,Erode,72,69,1,0,
31-05-2020,Tamil Nadu,Erode,72,70,1,0,
01-06-2020,Tamil Nadu,Erode,72,70,1,0,
02-06-2020,Tamil Nadu,Erode,74,70,1,0,
03-06-2020,Tamil Nadu,Erode,74,70,1,0,
04-06-2020,Tamil Nadu,Erode,72,70,1,0,
05-06-2020,Tamil Nadu,Erode,72,70,1,0,
06-06-2020,Tamil Nadu,Erode,73,70,1,0,
07-06-2020,Tamil Nadu,Erode,73,70,1,0,13421
08-06-2020,Tamil Nadu,Erode,75,70,1,0,13421
09-06-2020,Tamil Nadu,Erode,73,70,1,0,13421
10-06-2020,Tamil Nadu,Erode,74,70,1,0,13421
11-06-2020,Tamil Nadu,Erode,74,70,1,0,13421
12-06-2020,Tamil Nadu,Erode,72,70,1,0,13421
13-06-2020,Tamil Nadu,Erode,72,70,1,0,13421
14-06-2020,Tamil Nadu,Erode,73,70,1,0,13421
15-06-2020,Tamil Nadu,Erode,73,70,1,0,13421
16-06-2020,Tamil Nadu,Erode,73,70,1,0,13421
17-06-2020,Tamil Nadu,Erode,73,71,1,0,13421
18-06-2020,Tamil Nadu,Erode,76,71,1,0,13421
19-06-2020,Tamil Nadu,Erode,79,72,1,0,18657
20-06-2020,Tamil Nadu,Erode,78,72,1,0,19203
21-06-2020,Tamil Nadu,Erode,85,72,1,0,19203
22-06-2020,Tamil Nadu,Erode,83,72,1,0,19203
23-06-2020,Tamil Nadu,Erode,87,72,1,0,19203
24-06-2020,Tamil Nadu,Erode,89,72,2,0,19203
25-06-2020,Tamil Nadu,Erode,96,72,2,0,19203
26-06-2020,Tamil Nadu,Erode,100,74,2,0,19203
27-06-2020,Tamil Nadu,Erode,112,74,3,0,19203
28-06-2020,Tamil Nadu,Erode,124,75,3,0,19203
29-06-2020,Tamil Nadu,Erode,136,77,4,0,19203
30-06-2020,Tamil Nadu,Erode,157,80,4,0,19203
01-07-2020,Tamil Nadu,Erode,176,80,4,0,19203
02-07-2020,Tamil Nadu,Erode,191,80,4,0,19203
03-07-2020,Tamil Nadu,Erode,206,80,5,0,19203
04-07-2020,Tamil Nadu,Erode,222,81,5,0,19203
05-07-2020,Tamil Nadu,Erode,248,81,5,0,19203
