Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Kancheepuram,18,7,1,0,
27-04-2020,Tamil Nadu,Kancheepuram,18,7,1,0,
28-04-2020,Tamil Nadu,Kancheepuram,19,7,1,0,
29-04-2020,Tamil Nadu,Kancheepuram,22,9,1,0,
30-04-2020,Tamil Nadu,Kancheepuram,25,9,1,0,
01-05-2020,Tamil Nadu,Kancheepuram,27,9,1,0,
02-05-2020,Tamil Nadu,Kancheepuram,40,9,1,0,
03-05-2020,Tamil Nadu,Kancheepuram,40,9,1,0,
04-05-2020,Tamil Nadu,Kancheepuram,40,9,1,0,
05-05-2020,Tamil Nadu,Kancheepuram,41,10,1,0,
06-05-2020,Tamil Nadu,Kancheepuram,86,11,1,0,
07-05-2020,Tamil Nadu,Kancheepuram,88,11,1,0,
08-05-2020,Tamil Nadu,Kancheepuram,96,11,1,0,
09-05-2020,Tamil Nadu,Kancheepuram,113,12,1,0,
10-05-2020,Tamil Nadu,Kancheepuram,121,20,1,0,
11-05-2020,Tamil Nadu,Kancheepuram,129,26,1,0,
12-05-2020,Tamil Nadu,Kancheepuram,153,26,1,0,
13-05-2020,Tamil Nadu,Kancheepuram,157,27,1,0,
14-05-2020,Tamil Nadu,Kancheepuram,164,66,1,0,
15-05-2020,Tamil Nadu,Kancheepuram,175,71,1,0,
16-05-2020,Tamil Nadu,Kancheepuram,179,98,1,0,
17-05-2020,Tamil Nadu,Kancheepuram,184,107,1,0,
18-05-2020,Tamil Nadu,Kancheepuram,201,107,1,0,
19-05-2020,Tamil Nadu,Kancheepuram,206,120,1,0,
20-05-2020,Tamil Nadu,Kancheepuram,220,124,1,0,
21-05-2020,Tamil Nadu,Kancheepuram,233,129,1,0,
22-05-2020,Tamil Nadu,Kancheepuram,246,150,1,0,
23-05-2020,Tamil Nadu,Kancheepuram,259,155,1,0,
24-05-2020,Tamil Nadu,Kancheepuram,280,152,1,0,
25-05-2020,Tamil Nadu,Kancheepuram,299,165,1,0,
26-05-2020,Tamil Nadu,Kancheepuram,312,183,1,0,
27-05-2020,Tamil Nadu,Kancheepuram,329,200,1,0,
28-05-2020,Tamil Nadu,Kancheepuram,349,204,1,0,
29-05-2020,Tamil Nadu,Kancheepuram,361,210,1,0,
30-05-2020,Tamil Nadu,Kancheepuram,382,225,1,0,
31-05-2020,Tamil Nadu,Kancheepuram,398,232,2,0,
01-06-2020,Tamil Nadu,Kancheepuram,407,250,2,0,
02-06-2020,Tamil Nadu,Kancheepuram,422,254,2,0,
03-06-2020,Tamil Nadu,Kancheepuram,441,267,2,0,
04-06-2020,Tamil Nadu,Kancheepuram,465,292,3,0,
05-06-2020,Tamil Nadu,Kancheepuram,480,294,3,0,
06-06-2020,Tamil Nadu,Kancheepuram,500,309,3,0,
07-06-2020,Tamil Nadu,Kancheepuram,516,316,3,0,9885
08-06-2020,Tamil Nadu,Kancheepuram,534,321,4,0,9885
09-06-2020,Tamil Nadu,Kancheepuram,567,342,5,0,9885
10-06-2020,Tamil Nadu,Kancheepuram,600,360,5,0,9885
11-06-2020,Tamil Nadu,Kancheepuram,623,378,6,0,9885
12-06-2020,Tamil Nadu,Kancheepuram,650,386,6,0,9885
13-06-2020,Tamil Nadu,Kancheepuram,672,408,6,0,9885
14-06-2020,Tamil Nadu,Kancheepuram,709,411,7,0,9885
15-06-2020,Tamil Nadu,Kancheepuram,751,427,7,0,9885
16-06-2020,Tamil Nadu,Kancheepuram,803,440,8,0,9885
17-06-2020,Tamil Nadu,Kancheepuram,864,459,10,0,9885
18-06-2020,Tamil Nadu,Kancheepuram,945,502,10,0,9885
19-06-2020,Tamil Nadu,Kancheepuram,1001,514,10,0,12561
20-06-2020,Tamil Nadu,Kancheepuram,1095,538,10,0,12983
21-06-2020,Tamil Nadu,Kancheepuram,1159,588,10,0,12983
22-06-2020,Tamil Nadu,Kancheepuram,1215,600,12,0,12983
23-06-2020,Tamil Nadu,Kancheepuram,1286,611,14,0,12983
24-06-2020,Tamil Nadu,Kancheepuram,1375,647,17,0,12983
25-06-2020,Tamil Nadu,Kancheepuram,1488,679,17,0,12983
26-06-2020,Tamil Nadu,Kancheepuram,1580,733,18,0,12983
27-06-2020,Tamil Nadu,Kancheepuram,1683,755,18,0,12983
28-06-2020,Tamil Nadu,Kancheepuram,1791,779,19,0,12983
29-06-2020,Tamil Nadu,Kancheepuram,1876,796,20,0,12983
30-06-2020,Tamil Nadu,Kancheepuram,1977,808,21,0,12983
01-07-2020,Tamil Nadu,Kancheepuram,2067,844,23,0,12983
02-07-2020,Tamil Nadu,Kancheepuram,2151,888,25,0,12983
03-07-2020,Tamil Nadu,Kancheepuram,2272,925,26,0,12983
04-07-2020,Tamil Nadu,Kancheepuram,2404,926,30,0,12983
05-07-2020,Tamil Nadu,Kancheepuram,2547,983,33,0,12983
06-07-2020,Tamil Nadu,Kancheepuram,2729,1032,36,0,12983
07-07-2020,Tamil Nadu,Kancheepuram,2836,1137,36,0,12983
08-07-2020,Tamil Nadu,Kancheepuram,2970,1177,38,0,12983
09-07-2020,Tamil Nadu,Kancheepuram,3038,1216,40,0,12983
10-07-2020,Tamil Nadu,Kancheepuram,3099,1260,42,0,12983
11-07-2020,Tamil Nadu,Kancheepuram,3218,1293,46,0,12983
12-07-2020,Tamil Nadu,Kancheepuram,3606,1322,49,0,12983
13-07-2020,Tamil Nadu,Kancheepuram,3979,1354,52,0,12983
14-07-2020,Tamil Nadu,Kancheepuram,4091,1499,53,0,12983
15-07-2020,Tamil Nadu,Kancheepuram,4255,1932,55,0,12983
16-07-2020,Tamil Nadu,Kancheepuram,4310,2171,58,0,12983
17-07-2020,Tamil Nadu,Kancheepuram,4422,2348,59,0,12983
18-07-2020,Tamil Nadu,Kancheepuram,4519,2454,64,0,12983
19-07-2020,Tamil Nadu,Kancheepuram,4739,2543,66,0,12983
20-07-2020,Tamil Nadu,Kancheepuram,5095,2839,69,0,12983
21-07-2020,Tamil Nadu,Kancheepuram,5362,2934,71,0,12983
22-07-2020,Tamil Nadu,Kancheepuram,5697,3051,74,0,12983
23-07-2020,Tamil Nadu,Kancheepuram,6010,3282,80,0,37505
24-07-2020,Tamil Nadu,Kancheepuram,6361,3891,84,0,37505
25-07-2020,Tamil Nadu,Kancheepuram,6796,4273,86,0,37505
26-07-2020,Tamil Nadu,Kancheepuram,7161,4432,89,0,37505
27-07-2020,Tamil Nadu,Kancheepuram,7527,4542,94,0,37505
28-07-2020,Tamil Nadu,Kancheepuram,8017,4853,100,0,37505
29-07-2020,Tamil Nadu,Kancheepuram,8422,5120,106,0,37505
30-07-2020,Tamil Nadu,Kancheepuram,8604,5383,110,0,37505
31-07-2020,Tamil Nadu,Kancheepuram,9094,5650,111,0,37505
01-08-2020,Tamil Nadu,Kancheepuram,9384,5918,112,0,37505
02-08-2020,Tamil Nadu,Kancheepuram,9785,6229,117,0,37505
03-08-2020,Tamil Nadu,Kancheepuram,10095,6757,122,0,37505
04-08-2020,Tamil Nadu,Kancheepuram,10303,7316,128,0,37505
05-08-2020,Tamil Nadu,Kancheepuram,10655,7675,134,0,37505
06-08-2020,Tamil Nadu,Kancheepuram,10993,7984,137,0,37505
07-08-2020,Tamil Nadu,Kancheepuram,11174,8340,142,0,37505
08-08-2020,Tamil Nadu,Kancheepuram,11422,8507,146,0,37505
09-08-2020,Tamil Nadu,Kancheepuram,11807,8938,151,0,37505
10-08-2020,Tamil Nadu,Kancheepuram,12131,9249,154,0,37505
11-08-2020,Tamil Nadu,Kancheepuram,12470,9617,154,0,37505
12-08-2020,Tamil Nadu,Kancheepuram,12852,9935,159,0,37505
13-08-2020,Tamil Nadu,Kancheepuram,13085,10225,166,0,37505
14-08-2020,Tamil Nadu,Kancheepuram,13409,10544,168,0,37505
15-08-2020,Tamil Nadu,Kancheepuram,13576,10546,173,0,37505
16-08-2020,Tamil Nadu,Kancheepuram,13876,10853,176,0,37505
17-08-2020,Tamil Nadu,Kancheepuram,14035,11058,179,0,37505
18-08-2020,Tamil Nadu,Kancheepuram,14296,11321,186,0,37505
19-08-2020,Tamil Nadu,Kancheepuram,14548,11761,189,0,37505
20-08-2020,Tamil Nadu,Kancheepuram,14842,12074,193,0,37505
21-08-2020,Tamil Nadu,Kancheepuram,15031,12413,200,0,37505
22-08-2020,Tamil Nadu,Kancheepuram,15289,12775,201,0,37505
23-08-2020,Tamil Nadu,Kancheepuram,15514,13013,204,0,37505
24-08-2020,Tamil Nadu,Kancheepuram,15742,13324,212,0,37505
25-08-2020,Tamil Nadu,Kancheepuram,15960,13594,216,0,37505
26-08-2020,Tamil Nadu,Kancheepuram,16295,13813,225,0,37505
27-08-2020,Tamil Nadu,Kancheepuram,16530,14006,228,0,37505
28-08-2020,Tamil Nadu,Kancheepuram,16703,14233,229,0,37505
29-08-2020,Tamil Nadu,Kancheepuram,16950,14712,235,0,37505
30-08-2020,Tamil Nadu,Kancheepuram,17155,14935,241,0,37505
31-08-2020,Tamil Nadu,Kancheepuram,17351,15194,249,0,37505
01-09-2020,Tamil Nadu,Kancheepuram,17526,15418,251,0,37505
02-09-2020,Tamil Nadu,Kancheepuram,17663,15648,256,0,37505
03-09-2020,Tamil Nadu,Kancheepuram,17818,15849,258,0,37505
04-09-2020,Tamil Nadu,Kancheepuram,17973,16179,262,0,37505
05-09-2020,Tamil Nadu,Kancheepuram,18125,16419,263,0,37505
06-09-2020,Tamil Nadu,Kancheepuram,18311,16617,266,0,37505
07-09-2020,Tamil Nadu,Kancheepuram,18501,16862,270,0,37505
08-09-2020,Tamil Nadu,Kancheepuram,18628,17056,275,0,37505
09-09-2020,Tamil Nadu,Kancheepuram,18799,17238,277,0,37505
