Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Kanyakumari,16,6,0,0,
27-04-2020,Tamil Nadu,Kanyakumari,16,6,0,0,
28-04-2020,Tamil Nadu,Kanyakumari,16,6,0,0,
29-04-2020,Tamil Nadu,Kanyakumari,16,10,0,0,
30-04-2020,Tamil Nadu,Kanyakumari,16,10,0,0,
01-05-2020,Tamil Nadu,Kanyakumari,16,10,0,0,
02-05-2020,Tamil Nadu,Kanyakumari,16,10,0,0,
03-05-2020,Tamil Nadu,Kanyakumari,17,10,0,0,
04-05-2020,Tamil Nadu,Kanyakumari,17,10,0,0,
05-05-2020,Tamil Nadu,Kanyakumari,17,13,0,0,
06-05-2020,Tamil Nadu,Kanyakumari,17,13,0,0,
07-05-2020,Tamil Nadu,Kanyakumari,17,13,0,0,
08-05-2020,Tamil Nadu,Kanyakumari,25,16,0,0,
09-05-2020,Tamil Nadu,Kanyakumari,25,16,0,0,
10-05-2020,Tamil Nadu,Kanyakumari,25,16,0,0,
11-05-2020,Tamil Nadu,Kanyakumari,26,16,1,0,
12-05-2020,Tamil Nadu,Kanyakumari,27,16,1,0,
13-05-2020,Tamil Nadu,Kanyakumari,27,16,1,0,
14-05-2020,Tamil Nadu,Kanyakumari,31,16,1,0,
15-05-2020,Tamil Nadu,Kanyakumari,35,16,1,0,
16-05-2020,Tamil Nadu,Kanyakumari,37,16,1,0,
17-05-2020,Tamil Nadu,Kanyakumari,37,16,1,0,
18-05-2020,Tamil Nadu,Kanyakumari,44,16,1,0,
19-05-2020,Tamil Nadu,Kanyakumari,49,16,1,0,
20-05-2020,Tamil Nadu,Kanyakumari,49,20,1,0,
21-05-2020,Tamil Nadu,Kanyakumari,49,23,1,0,
22-05-2020,Tamil Nadu,Kanyakumari,49,24,1,0,
23-05-2020,Tamil Nadu,Kanyakumari,49,27,1,0,
24-05-2020,Tamil Nadu,Kanyakumari,51,27,1,0,
25-05-2020,Tamil Nadu,Kanyakumari,54,27,1,0,
26-05-2020,Tamil Nadu,Kanyakumari,58,27,1,0,
27-05-2020,Tamil Nadu,Kanyakumari,59,27,1,0,
28-05-2020,Tamil Nadu,Kanyakumari,59,27,1,0,
29-05-2020,Tamil Nadu,Kanyakumari,60,27,1,0,
30-05-2020,Tamil Nadu,Kanyakumari,68,28,1,0,
31-05-2020,Tamil Nadu,Kanyakumari,71,32,1,0,
01-06-2020,Tamil Nadu,Kanyakumari,73,34,1,0,
02-06-2020,Tamil Nadu,Kanyakumari,80,39,1,0,
03-06-2020,Tamil Nadu,Kanyakumari,81,43,1,0,
04-06-2020,Tamil Nadu,Kanyakumari,76,48,1,0,
05-06-2020,Tamil Nadu,Kanyakumari,77,48,1,0,
06-06-2020,Tamil Nadu,Kanyakumari,87,54,1,0,
07-06-2020,Tamil Nadu,Kanyakumari,87,59,1,0,18366
08-06-2020,Tamil Nadu,Kanyakumari,94,59,1,0,18366
09-06-2020,Tamil Nadu,Kanyakumari,95,61,1,0,18366
10-06-2020,Tamil Nadu,Kanyakumari,105,64,1,0,18366
11-06-2020,Tamil Nadu,Kanyakumari,108,67,1,0,18366
12-06-2020,Tamil Nadu,Kanyakumari,109,71,1,0,18366
13-06-2020,Tamil Nadu,Kanyakumari,120,71,1,0,18366
14-06-2020,Tamil Nadu,Kanyakumari,122,74,1,0,18366
15-06-2020,Tamil Nadu,Kanyakumari,127,74,1,0,18366
16-06-2020,Tamil Nadu,Kanyakumari,123,80,1,0,18366
17-06-2020,Tamil Nadu,Kanyakumari,130,80,1,0,18366
18-06-2020,Tamil Nadu,Kanyakumari,149,81,1,0,18366
19-06-2020,Tamil Nadu,Kanyakumari,151,91,1,0,27396
20-06-2020,Tamil Nadu,Kanyakumari,162,95,1,0,28453
21-06-2020,Tamil Nadu,Kanyakumari,168,96,1,0,28453
22-06-2020,Tamil Nadu,Kanyakumari,178,99,1,0,28453
