Date,State,country,cases,Recovered,Deceased,Other,Tested
05-05-2020,Tamil Nadu,Krishnagiri,2,0,0,0,
06-05-2020,Tamil Nadu,Krishnagiri,4,0,0,0,
07-05-2020,Tamil Nadu,Krishnagiri,8,0,0,0,
08-05-2020,Tamil Nadu,Krishnagiri,10,0,0,0,
09-05-2020,Tamil Nadu,Krishnagiri,10,0,0,0,
10-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
11-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
12-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
13-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
14-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
15-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
16-05-2020,Tamil Nadu,Krishnagiri,20,2,0,0,
17-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
18-05-2020,Tamil Nadu,Krishnagiri,20,0,0,0,
19-05-2020,Tamil Nadu,Krishnagiri,20,18,0,0,
20-05-2020,Tamil Nadu,Krishnagiri,21,18,0,0,
21-05-2020,Tamil Nadu,Krishnagiri,21,18,0,0,
22-05-2020,Tamil Nadu,Krishnagiri,22,18,0,0,
23-05-2020,Tamil Nadu,Krishnagiri,22,19,0,0,
24-05-2020,Tamil Nadu,Krishnagiri,22,19,0,0,
25-05-2020,Tamil Nadu,Krishnagiri,23,19,0,0,
26-05-2020,Tamil Nadu,Krishnagiri,25,19,0,0,
27-05-2020,Tamil Nadu,Krishnagiri,25,20,0,0,
28-05-2020,Tamil Nadu,Krishnagiri,26,20,0,0,
29-05-2020,Tamil Nadu,Krishnagiri,26,20,0,0,
30-05-2020,Tamil Nadu,Krishnagiri,27,20,0,0,
31-05-2020,Tamil Nadu,Krishnagiri,28,20,0,0,
01-06-2020,Tamil Nadu,Krishnagiri,28,20,0,0,
02-06-2020,Tamil Nadu,Krishnagiri,28,20,0,0,
03-06-2020,Tamil Nadu,Krishnagiri,28,20,0,0,
04-06-2020,Tamil Nadu,Krishnagiri,29,21,0,0,
05-06-2020,Tamil Nadu,Krishnagiri,29,21,0,0,
06-06-2020,Tamil Nadu,Krishnagiri,37,21,0,0,
07-06-2020,Tamil Nadu,Krishnagiri,37,21,0,0,6565
08-06-2020,Tamil Nadu,Krishnagiri,37,21,0,0,6565
09-06-2020,Tamil Nadu,Krishnagiri,37,21,0,0,6565
10-06-2020,Tamil Nadu,Krishnagiri,38,21,0,0,6565
11-06-2020,Tamil Nadu,Krishnagiri,38,21,0,0,6565
12-06-2020,Tamil Nadu,Krishnagiri,38,21,0,0,6565
13-06-2020,Tamil Nadu,Krishnagiri,38,21,0,0,6565
14-06-2020,Tamil Nadu,Krishnagiri,39,21,0,0,6565
15-06-2020,Tamil Nadu,Krishnagiri,41,21,1,0,6565
16-06-2020,Tamil Nadu,Krishnagiri,41,22,1,0,6565
17-06-2020,Tamil Nadu,Krishnagiri,44,30,1,0,6565
18-06-2020,Tamil Nadu,Krishnagiri,44,30,1,0,6565
19-06-2020,Tamil Nadu,Krishnagiri,57,30,2,0,8128
20-06-2020,Tamil Nadu,Krishnagiri,63,32,2,0,8290
21-06-2020,Tamil Nadu,Krishnagiri,63,32,2,0,8290
22-06-2020,Tamil Nadu,Krishnagiri,72,32,2,0,8290
23-06-2020,Tamil Nadu,Krishnagiri,67,32,2,0,8290
24-06-2020,Tamil Nadu,Krishnagiri,71,32,2,0,8290
25-06-2020,Tamil Nadu,Krishnagiri,73,32,2,0,8290
26-06-2020,Tamil Nadu,Krishnagiri,87,32,2,0,8290
27-06-2020,Tamil Nadu,Krishnagiri,115,32,2,0,8290
28-06-2020,Tamil Nadu,Krishnagiri,110,32,2,0,8290
29-06-2020,Tamil Nadu,Krishnagiri,134,39,2,0,8290
30-06-2020,Tamil Nadu,Krishnagiri,140,39,2,0,8290
01-07-2020,Tamil Nadu,Krishnagiri,146,43,2,0,8290
02-07-2020,Tamil Nadu,Krishnagiri,156,43,2,0,8290
03-07-2020,Tamil Nadu,Krishnagiri,170,52,2,0,8290
04-07-2020,Tamil Nadu,Krishnagiri,175,67,2,0,8290
05-07-2020,Tamil Nadu,Krishnagiri,185,73,2,0,8290
06-07-2020,Tamil Nadu,Krishnagiri,200,74,2,0,8290
07-07-2020,Tamil Nadu,Krishnagiri,203,83,2,0,8290
08-07-2020,Tamil Nadu,Krishnagiri,217,83,3,0,8290
09-07-2020,Tamil Nadu,Krishnagiri,223,132,3,0,8290
10-07-2020,Tamil Nadu,Krishnagiri,225,157,4,0,8290
11-07-2020,Tamil Nadu,Krishnagiri,241,157,4,0,8290
12-07-2020,Tamil Nadu,Krishnagiri,253,157,4,0,8290
13-07-2020,Tamil Nadu,Krishnagiri,263,163,5,0,8290
14-07-2020,Tamil Nadu,Krishnagiri,274,165,7,0,8290
15-07-2020,Tamil Nadu,Krishnagiri,306,166,7,0,8290
16-07-2020,Tamil Nadu,Krishnagiri,328,178,8,0,8290
17-07-2020,Tamil Nadu,Krishnagiri,345,188,8,0,8290
18-07-2020,Tamil Nadu,Krishnagiri,379,200,8,0,8290
19-07-2020,Tamil Nadu,Krishnagiri,387,207,10,0,8290
20-07-2020,Tamil Nadu,Krishnagiri,413,250,10,0,8290
21-07-2020,Tamil Nadu,Krishnagiri,451,250,10,0,8290
22-07-2020,Tamil Nadu,Krishnagiri,520,265,12,0,8290
23-07-2020,Tamil Nadu,Krishnagiri,551,283,13,0,14284
24-07-2020,Tamil Nadu,Krishnagiri,633,314,14,0,14284
25-07-2020,Tamil Nadu,Krishnagiri,664,328,14,0,14284
26-07-2020,Tamil Nadu,Krishnagiri,716,337,14,0,14284
27-07-2020,Tamil Nadu,Krishnagiri,776,346,14,0,14284
28-07-2020,Tamil Nadu,Krishnagiri,817,367,14,0,14284
29-07-2020,Tamil Nadu,Krishnagiri,924,394,14,0,14284
30-07-2020,Tamil Nadu,Krishnagiri,950,441,14,0,14284
31-07-2020,Tamil Nadu,Krishnagiri,968,479,14,0,14284
01-08-2020,Tamil Nadu,Krishnagiri,1042,548,14,0,14284
02-08-2020,Tamil Nadu,Krishnagiri,1102,578,14,0,14284
03-08-2020,Tamil Nadu,Krishnagiri,1170,617,14,0,14284
04-08-2020,Tamil Nadu,Krishnagiri,1196,660,16,0,14284
05-08-2020,Tamil Nadu,Krishnagiri,1206,741,16,0,14284
06-08-2020,Tamil Nadu,Krishnagiri,1263,798,16,0,14284
07-08-2020,Tamil Nadu,Krishnagiri,1310,850,20,0,14284
08-08-2020,Tamil Nadu,Krishnagiri,1361,901,21,0,14284
09-08-2020,Tamil Nadu,Krishnagiri,1422,930,21,0,14284
10-08-2020,Tamil Nadu,Krishnagiri,1480,943,21,0,14284
11-08-2020,Tamil Nadu,Krishnagiri,1523,1048,23,0,14284
12-08-2020,Tamil Nadu,Krishnagiri,1530,1105,23,0,14284
13-08-2020,Tamil Nadu,Krishnagiri,1539,1150,23,0,14284
14-08-2020,Tamil Nadu,Krishnagiri,1552,1187,24,0,14284
15-08-2020,Tamil Nadu,Krishnagiri,1611,1237,25,0,14284
16-08-2020,Tamil Nadu,Krishnagiri,1658,1268,26,0,14284
17-08-2020,Tamil Nadu,Krishnagiri,1672,1298,26,0,14284
18-08-2020,Tamil Nadu,Krishnagiri,1688,1336,26,0,14284
19-08-2020,Tamil Nadu,Krishnagiri,1707,1386,26,0,14284
20-08-2020,Tamil Nadu,Krishnagiri,1710,1420,26,0,14284
21-08-2020,Tamil Nadu,Krishnagiri,1760,1452,26,0,14284
22-08-2020,Tamil Nadu,Krishnagiri,1790,1476,27,0,14284
23-08-2020,Tamil Nadu,Krishnagiri,1809,1488,27,0,14284
24-08-2020,Tamil Nadu,Krishnagiri,1867,1538,28,0,14284
25-08-2020,Tamil Nadu,Krishnagiri,1913,1556,28,0,14284
26-08-2020,Tamil Nadu,Krishnagiri,1944,1593,28,0,14284
27-08-2020,Tamil Nadu,Krishnagiri,1977,1618,29,0,14284
28-08-2020,Tamil Nadu,Krishnagiri,2006,1645,29,0,14284
29-08-2020,Tamil Nadu,Krishnagiri,2046,1689,29,0,14284
30-08-2020,Tamil Nadu,Krishnagiri,2115,1715,30,0,14284
31-08-2020,Tamil Nadu,Krishnagiri,2128,1740,30,0,14284
01-09-2020,Tamil Nadu,Krishnagiri,2187,1774,30,0,14284
02-09-2020,Tamil Nadu,Krishnagiri,2236,1798,32,0,14284
03-09-2020,Tamil Nadu,Krishnagiri,2322,1853,33,0,14284
04-09-2020,Tamil Nadu,Krishnagiri,2390,1882,33,0,14284
05-09-2020,Tamil Nadu,Krishnagiri,2478,1939,33,0,14284
06-09-2020,Tamil Nadu,Krishnagiri,2561,1973,33,0,14284
07-09-2020,Tamil Nadu,Krishnagiri,2632,2005,34,0,14284
08-09-2020,Tamil Nadu,Krishnagiri,2715,2036,36,0,14284
09-09-2020,Tamil Nadu,Krishnagiri,2790,2085,41,0,14284
10-09-2020,Tamil Nadu,Krishnagiri,2916,2149,41,0,14284
11-09-2020,Tamil Nadu,Krishnagiri,2955,2203,42,0,14284
12-09-2020,Tamil Nadu,Krishnagiri,3107,2255,44,0,14284
13-09-2020,Tamil Nadu,Krishnagiri,3174,2272,44,0,14284
14-09-2020,Tamil Nadu,Krishnagiri,3252,2418,44,0,14284
15-09-2020,Tamil Nadu,Krishnagiri,3327,2456,45,0,14284
16-09-2020,Tamil Nadu,Krishnagiri,3395,2503,45,0,14284
17-09-2020,Tamil Nadu,Krishnagiri,3481,2599,47,0,14284
18-09-2020,Tamil Nadu,Krishnagiri,3538,2738,48,0,14284
19-09-2020,Tamil Nadu,Krishnagiri,3614,2819,48,0,14284
20-09-2020,Tamil Nadu,Krishnagiri,3739,2897,48,0,14284
21-09-2020,Tamil Nadu,Krishnagiri,3838,2951,51,0,14284
22-09-2020,Tamil Nadu,Krishnagiri,3928,3029,51,0,14284
23-09-2020,Tamil Nadu,Krishnagiri,3991,3154,52,0,14284
24-09-2020,Tamil Nadu,Krishnagiri,4077,3229,53,0,14284
25-09-2020,Tamil Nadu,Krishnagiri,4185,3316,56,0,14284
26-09-2020,Tamil Nadu,Krishnagiri,4257,3371,57,0,14284
27-09-2020,Tamil Nadu,Krishnagiri,4319,3431,60,0,14284
28-09-2020,Tamil Nadu,Krishnagiri,4417,3494,61,0,14284
29-09-2020,Tamil Nadu,Krishnagiri,4512,3603,62,0,14284
30-09-2020,Tamil Nadu,Krishnagiri,4589,3712,63,0,14284
01-10-2020,Tamil Nadu,Krishnagiri,4698,3821,64,0,14284
02-10-2020,Tamil Nadu,Krishnagiri,4775,3918,64,0,14284
03-10-2020,Tamil Nadu,Krishnagiri,4850,3976,66,0,14284
04-10-2020,Tamil Nadu,Krishnagiri,4919,4062,69,0,14284
05-10-2020,Tamil Nadu,Krishnagiri,4993,4179,69,0,14284
06-10-2020,Tamil Nadu,Krishnagiri,5069,4236,69,0,14284
07-10-2020,Tamil Nadu,Krishnagiri,5144,4313,72,0,14284
08-10-2020,Tamil Nadu,Krishnagiri,5218,4392,75,0,14284
09-10-2020,Tamil Nadu,Krishnagiri,5304,4482,76,0,14284
10-10-2020,Tamil Nadu,Krishnagiri,5387,4530,79,0,14284
11-10-2020,Tamil Nadu,Krishnagiri,5486,4614,79,0,14284
12-10-2020,Tamil Nadu,Krishnagiri,5586,4716,79,0,14284
13-10-2020,Tamil Nadu,Krishnagiri,5671,4793,82,0,14284
14-10-2020,Tamil Nadu,Krishnagiri,5765,4863,84,0,14284
15-10-2020,Tamil Nadu,Krishnagiri,5839,4937,84,0,14284
16-10-2020,Tamil Nadu,Krishnagiri,5902,4985,86,0,14284
17-10-2020,Tamil Nadu,Krishnagiri,5982,5045,88,0,14284
18-10-2020,Tamil Nadu,Krishnagiri,6044,5131,89,0,14284
19-10-2020,Tamil Nadu,Krishnagiri,6109,5224,93,0,14284
20-10-2020,Tamil Nadu,Krishnagiri,6139,5311,95,0,14284
21-10-2020,Tamil Nadu,Krishnagiri,6173,5386,96,0,14284
22-10-2020,Tamil Nadu,Krishnagiri,6221,5473,98,0,14284
23-10-2020,Tamil Nadu,Krishnagiri,6270,5545,99,0,14284
24-10-2020,Tamil Nadu,Krishnagiri,6308,5598,102,0,14284
25-10-2020,Tamil Nadu,Krishnagiri,6334,5684,102,0,14284
26-10-2020,Tamil Nadu,Krishnagiri,6363,5719,104,0,14284
27-10-2020,Tamil Nadu,Krishnagiri,6395,5828,106,0,14284
28-10-2020,Tamil Nadu,Krishnagiri,6422,5871,106,0,14284
29-10-2020,Tamil Nadu,Krishnagiri,6451,6019,106,0,14284
30-10-2020,Tamil Nadu,Krishnagiri,6491,6151,106,0,14284
31-10-2020,Tamil Nadu,Krishnagiri,6535,6224,106,0,14284
01-11-2020,Tamil Nadu,Krishnagiri,6574,6261,106,0,14284
02-11-2020,Tamil Nadu,Krishnagiri,6598,6287,106,0,14284
03-11-2020,Tamil Nadu,Krishnagiri,6642,6307,106,0,14284
04-11-2020,Tamil Nadu,Krishnagiri,6690,6310,106,0,14284
05-11-2020,Tamil Nadu,Krishnagiri,6714,6318,106,0,14284
06-11-2020,Tamil Nadu,Krishnagiri,6760,6336,107,0,14284
07-11-2020,Tamil Nadu,Krishnagiri,6805,6369,107,0,14284
08-11-2020,Tamil Nadu,Krishnagiri,6840,6415,107,0,14284
09-11-2020,Tamil Nadu,Krishnagiri,6859,6442,107,0,14284
10-11-2020,Tamil Nadu,Krishnagiri,6894,6474,108,0,14284
11-11-2020,Tamil Nadu,Krishnagiri,6949,6505,109,0,14284
12-11-2020,Tamil Nadu,Krishnagiri,6993,6546,109,0,14284
13-11-2020,Tamil Nadu,Krishnagiri,7031,6571,109,0,14284
14-11-2020,Tamil Nadu,Krishnagiri,7060,6604,111,0,14284
15-11-2020,Tamil Nadu,Krishnagiri,7087,6632,111,0,14284
16-11-2020,Tamil Nadu,Krishnagiri,7115,6680,111,0,14284
17-11-2020,Tamil Nadu,Krishnagiri,7140,6711,111,0,14284
18-11-2020,Tamil Nadu,Krishnagiri,7174,6736,111,0,14284
19-11-2020,Tamil Nadu,Krishnagiri,7197,6768,112,0,14284
20-11-2020,Tamil Nadu,Krishnagiri,7212,6798,112,0,14284
21-11-2020,Tamil Nadu,Krishnagiri,7222,6850,112,0,14284
22-11-2020,Tamil Nadu,Krishnagiri,7238,6880,112,0,14284
23-11-2020,Tamil Nadu,Krishnagiri,7266,6917,112,0,14284
24-11-2020,Tamil Nadu,Krishnagiri,7290,6963,112,0,14284
25-11-2020,Tamil Nadu,Krishnagiri,7310,6985,112,0,14284
26-11-2020,Tamil Nadu,Krishnagiri,7332,7020,112,0,14284
27-11-2020,Tamil Nadu,Krishnagiri,7347,7034,112,0,14284
28-11-2020,Tamil Nadu,Krishnagiri,7358,7070,112,0,14284
29-11-2020,Tamil Nadu,Krishnagiri,7365,7085,112,0,14284
30-11-2020,Tamil Nadu,Krishnagiri,7376,7098,112,0,14284
01-12-2020,Tamil Nadu,Krishnagiri,7399,7118,112,0,14284
02-12-2020,Tamil Nadu,Krishnagiri,7418,7144,112,0,14284
03-12-2020,Tamil Nadu,Krishnagiri,7433,7168,112,0,14284
04-12-2020,Tamil Nadu,Krishnagiri,7460,7186,112,0,14284
05-12-2020,Tamil Nadu,Krishnagiri,7477,7202,112,0,14284
06-12-2020,Tamil Nadu,Krishnagiri,7500,7220,112,0,14284
07-12-2020,Tamil Nadu,Krishnagiri,7519,7242,112,0,14284
08-12-2020,Tamil Nadu,Krishnagiri,7540,7264,113,0,14284
09-12-2020,Tamil Nadu,Krishnagiri,7554,7278,114,0,14284
10-12-2020,Tamil Nadu,Krishnagiri,7574,7293,114,0,14284
11-12-2020,Tamil Nadu,Krishnagiri,7602,7316,114,0,14284
12-12-2020,Tamil Nadu,Krishnagiri,7619,7336,114,0,14284
13-12-2020,Tamil Nadu,Krishnagiri,7634,7357,114,0,14284
14-12-2020,Tamil Nadu,Krishnagiri,7654,7381,115,0,14284
15-12-2020,Tamil Nadu,Krishnagiri,7672,7403,115,0,14284
