Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Nagapattinam,44,28,0,0,
27-04-2020,Tamil Nadu,Nagapattinam,44,28,0,0,
28-04-2020,Tamil Nadu,Nagapattinam,44,28,0,0,
29-04-2020,Tamil Nadu,Nagapattinam,44,31,0,0,
30-04-2020,Tamil Nadu,Nagapattinam,44,35,0,0,
01-05-2020,Tamil Nadu,Nagapattinam,45,42,0,0,
02-05-2020,Tamil Nadu,Nagapattinam,45,42,0,0,
03-05-2020,Tamil Nadu,Nagapattinam,45,42,0,0,
04-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
05-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
06-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
07-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
08-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
09-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
10-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
11-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
12-05-2020,Tamil Nadu,Nagapattinam,45,44,0,0,
13-05-2020,Tamil Nadu,Nagapattinam,47,44,0,0,
14-05-2020,Tamil Nadu,Nagapattinam,47,44,0,0,
15-05-2020,Tamil Nadu,Nagapattinam,47,44,0,0,
16-05-2020,Tamil Nadu,Nagapattinam,49,45,0,0,
17-05-2020,Tamil Nadu,Nagapattinam,50,45,0,0,
18-05-2020,Tamil Nadu,Nagapattinam,50,45,0,0,
19-05-2020,Tamil Nadu,Nagapattinam,51,45,0,0,
20-05-2020,Tamil Nadu,Nagapattinam,51,45,0,0,
21-05-2020,Tamil Nadu,Nagapattinam,51,45,0,0,
22-05-2020,Tamil Nadu,Nagapattinam,51,46,0,0,
23-05-2020,Tamil Nadu,Nagapattinam,51,48,0,0,
24-05-2020,Tamil Nadu,Nagapattinam,51,48,0,0,
25-05-2020,Tamil Nadu,Nagapattinam,51,48,0,0,
26-05-2020,Tamil Nadu,Nagapattinam,51,51,0,0,
27-05-2020,Tamil Nadu,Nagapattinam,52,51,0,0,
28-05-2020,Tamil Nadu,Nagapattinam,54,51,0,0,
29-05-2020,Tamil Nadu,Nagapattinam,54,51,0,0,
30-05-2020,Tamil Nadu,Nagapattinam,59,51,0,0,
31-05-2020,Tamil Nadu,Nagapattinam,60,51,0,0,
01-06-2020,Tamil Nadu,Nagapattinam,60,51,0,0,
02-06-2020,Tamil Nadu,Nagapattinam,63,51,0,0,
