Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Namakkal,59,45,0,0,
27-04-2020,Tamil Nadu,Namakkal,59,45,0,0,
28-04-2020,Tamil Nadu,Namakkal,61,45,0,0,
29-04-2020,Tamil Nadu,Namakkal,61,49,0,0,
30-04-2020,Tamil Nadu,Namakkal,61,49,0,0,
01-05-2020,Tamil Nadu,Namakkal,61,49,0,0,
02-05-2020,Tamil Nadu,Namakkal,61,50,0,0,
03-05-2020,Tamil Nadu,Namakkal,61,50,0,0,
04-05-2020,Tamil Nadu,Namakkal,61,50,0,0,
05-05-2020,Tamil Nadu,Namakkal,76,50,0,0,
06-05-2020,Tamil Nadu,Namakkal,76,51,0,0,
07-05-2020,Tamil Nadu,Namakkal,76,51,0,0,
08-05-2020,Tamil Nadu,Namakkal,76,55,0,0,
09-05-2020,Tamil Nadu,Namakkal,77,55,0,0,
10-05-2020,Tamil Nadu,Namakkal,77,56,0,0,
11-05-2020,Tamil Nadu,Namakkal,77,56,0,0,
12-05-2020,Tamil Nadu,Namakkal,77,61,0,0,
13-05-2020,Tamil Nadu,Namakkal,77,61,0,0,
14-05-2020,Tamil Nadu,Namakkal,77,61,0,0,
15-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
16-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
17-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
18-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
19-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
20-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
21-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
22-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
23-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
24-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
25-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
26-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
27-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
28-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
29-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
30-05-2020,Tamil Nadu,Namakkal,77,77,0,0,
