Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
27-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
28-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
29-04-2020,Tamil Nadu,Perambalur,7,1,0,0,
30-04-2020,Tamil Nadu,Perambalur,9,1,0,0,
01-05-2020,Tamil Nadu,Perambalur,9,1,0,0,
02-05-2020,Tamil Nadu,Perambalur,11,3,0,0,
03-05-2020,Tamil Nadu,Perambalur,11,3,0,0,
04-05-2020,Tamil Nadu,Perambalur,36,3,0,0,
05-05-2020,Tamil Nadu,Perambalur,37,4,0,0,
06-05-2020,Tamil Nadu,Perambalur,40,4,0,0,
07-05-2020,Tamil Nadu,Perambalur,73,4,0,0,
08-05-2020,Tamil Nadu,Perambalur,73,5,0,0,
09-05-2020,Tamil Nadu,Perambalur,104,5,0,0,
10-05-2020,Tamil Nadu,Perambalur,113,5,0,0,
11-05-2020,Tamil Nadu,Perambalur,114,7,0,0,
12-05-2020,Tamil Nadu,Perambalur,141,8,0,0,
13-05-2020,Tamil Nadu,Perambalur,142,8,0,0,
14-05-2020,Tamil Nadu,Perambalur,137,13,0,0,
15-05-2020,Tamil Nadu,Perambalur,139,30,0,0,
16-05-2020,Tamil Nadu,Perambalur,139,30,0,0,
17-05-2020,Tamil Nadu,Perambalur,139,33,0,0,
18-05-2020,Tamil Nadu,Perambalur,139,33,0,0,
19-05-2020,Tamil Nadu,Perambalur,139,91,0,0,
20-05-2020,Tamil Nadu,Perambalur,139,91,0,0,
21-05-2020,Tamil Nadu,Perambalur,139,113,0,0,
22-05-2020,Tamil Nadu,Perambalur,139,133,0,0,
23-05-2020,Tamil Nadu,Perambalur,139,134,0,0,
24-05-2020,Tamil Nadu,Perambalur,139,135,0,0,
25-05-2020,Tamil Nadu,Perambalur,139,135,0,0,
26-05-2020,Tamil Nadu,Perambalur,139,135,0,0,
27-05-2020,Tamil Nadu,Perambalur,139,135,0,0,
28-05-2020,Tamil Nadu,Perambalur,139,139,0,0,
29-05-2020,Tamil Nadu,Perambalur,139,139,0,0,
30-05-2020,Tamil Nadu,Perambalur,140,139,0,0,
31-05-2020,Tamil Nadu,Perambalur,141,139,0,0,
01-06-2020,Tamil Nadu,Perambalur,142,139,0,0,
02-06-2020,Tamil Nadu,Perambalur,143,139,0,0,
03-06-2020,Tamil Nadu,Perambalur,143,139,0,0,
04-06-2020,Tamil Nadu,Perambalur,142,139,0,0,
05-06-2020,Tamil Nadu,Perambalur,143,139,0,0,
06-06-2020,Tamil Nadu,Perambalur,143,139,0,0,
07-06-2020,Tamil Nadu,Perambalur,143,140,0,0,3999
08-06-2020,Tamil Nadu,Perambalur,143,141,0,0,3999
09-06-2020,Tamil Nadu,Perambalur,144,141,0,0,3999
10-06-2020,Tamil Nadu,Perambalur,144,141,0,0,3999
11-06-2020,Tamil Nadu,Perambalur,145,141,0,0,3999
12-06-2020,Tamil Nadu,Perambalur,143,141,0,0,3999
13-06-2020,Tamil Nadu,Perambalur,145,141,0,0,3999
14-06-2020,Tamil Nadu,Perambalur,146,141,0,0,3999
15-06-2020,Tamil Nadu,Perambalur,146,141,0,0,3999
16-06-2020,Tamil Nadu,Perambalur,148,141,0,0,3999
17-06-2020,Tamil Nadu,Perambalur,148,142,0,0,3999
18-06-2020,Tamil Nadu,Perambalur,146,144,0,0,3999
19-06-2020,Tamil Nadu,Perambalur,147,144,0,0,4351
20-06-2020,Tamil Nadu,Perambalur,150,144,0,0,4379
21-06-2020,Tamil Nadu,Perambalur,150,144,0,0,4379
22-06-2020,Tamil Nadu,Perambalur,151,144,0,0,4379
23-06-2020,Tamil Nadu,Perambalur,163,146,0,0,4379
24-06-2020,Tamil Nadu,Perambalur,168,146,0,0,4379
25-06-2020,Tamil Nadu,Perambalur,167,146,0,0,4379
26-06-2020,Tamil Nadu,Perambalur,165,147,0,0,4379
27-06-2020,Tamil Nadu,Perambalur,161,146,0,0,4379
28-06-2020,Tamil Nadu,Perambalur,162,146,0,0,4379
