Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
27-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
28-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
29-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
30-04-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
01-05-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
02-05-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
03-05-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
04-05-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
05-05-2020,Tamil Nadu,Pudukkottai,1,0,0,0,
06-05-2020,Tamil Nadu,Pudukkottai,3,0,0,0,
07-05-2020,Tamil Nadu,Pudukkottai,5,1,0,0,
08-05-2020,Tamil Nadu,Pudukkottai,5,1,0,0,
09-05-2020,Tamil Nadu,Pudukkottai,5,1,0,0,
10-05-2020,Tamil Nadu,Pudukkottai,6,1,0,0,
11-05-2020,Tamil Nadu,Pudukkottai,6,1,0,0,
12-05-2020,Tamil Nadu,Pudukkottai,6,1,0,0,
13-05-2020,Tamil Nadu,Pudukkottai,6,1,0,0,
14-05-2020,Tamil Nadu,Pudukkottai,6,1,0,0,
15-05-2020,Tamil Nadu,Pudukkottai,7,2,0,0,
16-05-2020,Tamil Nadu,Pudukkottai,7,2,0,0,
17-05-2020,Tamil Nadu,Pudukkottai,7,2,0,0,
18-05-2020,Tamil Nadu,Pudukkottai,7,2,0,0,
19-05-2020,Tamil Nadu,Pudukkottai,7,2,0,0,
20-05-2020,Tamil Nadu,Pudukkottai,13,6,0,0,
21-05-2020,Tamil Nadu,Pudukkottai,16,7,0,0,
22-05-2020,Tamil Nadu,Pudukkottai,19,7,0,0,
23-05-2020,Tamil Nadu,Pudukkottai,20,7,0,0,
24-05-2020,Tamil Nadu,Pudukkottai,21,7,0,0,
25-05-2020,Tamil Nadu,Pudukkottai,21,7,0,0,
26-05-2020,Tamil Nadu,Pudukkottai,21,7,0,0,
27-05-2020,Tamil Nadu,Pudukkottai,21,7,0,0,
28-05-2020,Tamil Nadu,Pudukkottai,22,7,0,0,
29-05-2020,Tamil Nadu,Pudukkottai,22,8,0,0,
30-05-2020,Tamil Nadu,Pudukkottai,22,13,0,0,
31-05-2020,Tamil Nadu,Pudukkottai,26,16,0,0,
01-06-2020,Tamil Nadu,Pudukkottai,27,18,1,0,
02-06-2020,Tamil Nadu,Pudukkottai,28,18,1,0,
03-06-2020,Tamil Nadu,Pudukkottai,28,18,1,0,
04-06-2020,Tamil Nadu,Pudukkottai,29,18,1,0,
05-06-2020,Tamil Nadu,Pudukkottai,34,18,1,0,
06-06-2020,Tamil Nadu,Pudukkottai,31,20,1,0,
07-06-2020,Tamil Nadu,Pudukkottai,33,20,1,0,6243
08-06-2020,Tamil Nadu,Pudukkottai,36,23,1,0,6243
09-06-2020,Tamil Nadu,Pudukkottai,40,24,1,0,6243
10-06-2020,Tamil Nadu,Pudukkottai,45,25,1,0,6243
