Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Ramanathapuram,15,7,0,0,
27-04-2020,Tamil Nadu,Ramanathapuram,15,7,0,0,
28-04-2020,Tamil Nadu,Ramanathapuram,15,7,0,0,
29-04-2020,Tamil Nadu,Ramanathapuram,15,10,0,0,
30-04-2020,Tamil Nadu,Ramanathapuram,18,10,0,0,
01-05-2020,Tamil Nadu,Ramanathapuram,18,10,0,0,
02-05-2020,Tamil Nadu,Ramanathapuram,20,11,0,0,
03-05-2020,Tamil Nadu,Ramanathapuram,20,11,0,0,
04-05-2020,Tamil Nadu,Ramanathapuram,21,11,0,0,
05-05-2020,Tamil Nadu,Ramanathapuram,21,11,0,0,
06-05-2020,Tamil Nadu,Ramanathapuram,21,12,0,0,
07-05-2020,Tamil Nadu,Ramanathapuram,23,14,0,0,
08-05-2020,Tamil Nadu,Ramanathapuram,24,14,0,0,
09-05-2020,Tamil Nadu,Ramanathapuram,26,16,1,0,
10-05-2020,Tamil Nadu,Ramanathapuram,27,16,1,0,
11-05-2020,Tamil Nadu,Ramanathapuram,31,16,1,0,
12-05-2020,Tamil Nadu,Ramanathapuram,31,15,1,0,
13-05-2020,Tamil Nadu,Ramanathapuram,31,15,1,0,
14-05-2020,Tamil Nadu,Ramanathapuram,31,21,1,0,
15-05-2020,Tamil Nadu,Ramanathapuram,31,21,1,0,
16-05-2020,Tamil Nadu,Ramanathapuram,31,21,1,0,
17-05-2020,Tamil Nadu,Ramanathapuram,31,21,1,0,
18-05-2020,Tamil Nadu,Ramanathapuram,37,21,1,0,
19-05-2020,Tamil Nadu,Ramanathapuram,39,21,1,0,
20-05-2020,Tamil Nadu,Ramanathapuram,39,21,1,0,
21-05-2020,Tamil Nadu,Ramanathapuram,39,21,1,0,
22-05-2020,Tamil Nadu,Ramanathapuram,52,26,1,0,
23-05-2020,Tamil Nadu,Ramanathapuram,55,29,1,0,
24-05-2020,Tamil Nadu,Ramanathapuram,58,29,1,0,
25-05-2020,Tamil Nadu,Ramanathapuram,63,29,1,0,
26-05-2020,Tamil Nadu,Ramanathapuram,64,30,1,0,
27-05-2020,Tamil Nadu,Ramanathapuram,65,30,1,0,
28-05-2020,Tamil Nadu,Ramanathapuram,65,36,1,0,
29-05-2020,Tamil Nadu,Ramanathapuram,65,37,1,0,
30-05-2020,Tamil Nadu,Ramanathapuram,78,37,1,0,
31-05-2020,Tamil Nadu,Ramanathapuram,84,38,1,0,
01-06-2020,Tamil Nadu,Ramanathapuram,86,52,1,0,
02-06-2020,Tamil Nadu,Ramanathapuram,87,52,1,0,
03-06-2020,Tamil Nadu,Ramanathapuram,92,54,1,0,
04-06-2020,Tamil Nadu,Ramanathapuram,93,58,1,0,
05-06-2020,Tamil Nadu,Ramanathapuram,97,58,1,0,
06-06-2020,Tamil Nadu,Ramanathapuram,97,58,1,0,
07-06-2020,Tamil Nadu,Ramanathapuram,106,58,1,0,7074
08-06-2020,Tamil Nadu,Ramanathapuram,112,72,1,0,7074
09-06-2020,Tamil Nadu,Ramanathapuram,118,73,1,0,7074
10-06-2020,Tamil Nadu,Ramanathapuram,126,73,1,0,7074
11-06-2020,Tamil Nadu,Ramanathapuram,133,73,1,0,7074
12-06-2020,Tamil Nadu,Ramanathapuram,135,73,1,0,7074
13-06-2020,Tamil Nadu,Ramanathapuram,135,75,1,0,7074
14-06-2020,Tamil Nadu,Ramanathapuram,158,76,1,0,7074
15-06-2020,Tamil Nadu,Ramanathapuram,158,79,1,0,7074
16-06-2020,Tamil Nadu,Ramanathapuram,156,86,1,0,7074
17-06-2020,Tamil Nadu,Ramanathapuram,194,93,1,0,7074
18-06-2020,Tamil Nadu,Ramanathapuram,222,95,1,0,7074
19-06-2020,Tamil Nadu,Ramanathapuram,245,101,2,0,9390
20-06-2020,Tamil Nadu,Ramanathapuram,269,104,2,0,9723
21-06-2020,Tamil Nadu,Ramanathapuram,299,112,2,0,9723
22-06-2020,Tamil Nadu,Ramanathapuram,317,131,2,0,9723
23-06-2020,Tamil Nadu,Ramanathapuram,339,134,3,0,9723
24-06-2020,Tamil Nadu,Ramanathapuram,338,144,4,0,9723
25-06-2020,Tamil Nadu,Ramanathapuram,474,156,4,0,9723
26-06-2020,Tamil Nadu,Ramanathapuram,546,162,4,0,9723
27-06-2020,Tamil Nadu,Ramanathapuram,648,176,4,0,9723
28-06-2020,Tamil Nadu,Ramanathapuram,742,199,6,0,9723
29-06-2020,Tamil Nadu,Ramanathapuram,803,210,8,0,9723
30-06-2020,Tamil Nadu,Ramanathapuram,839,235,10,0,9723
01-07-2020,Tamil Nadu,Ramanathapuram,952,243,12,0,9723
02-07-2020,Tamil Nadu,Ramanathapuram,1069,265,14,0,9723
03-07-2020,Tamil Nadu,Ramanathapuram,1143,318,17,0,9723
04-07-2020,Tamil Nadu,Ramanathapuram,1292,359,19,0,9723
05-07-2020,Tamil Nadu,Ramanathapuram,1385,424,20,0,9723
06-07-2020,Tamil Nadu,Ramanathapuram,1454,452,21,0,9723
07-07-2020,Tamil Nadu,Ramanathapuram,1479,504,22,0,9723
08-07-2020,Tamil Nadu,Ramanathapuram,1544,546,23,0,9723
09-07-2020,Tamil Nadu,Ramanathapuram,1606,624,28,0,9723
10-07-2020,Tamil Nadu,Ramanathapuram,1691,674,32,0,9723
11-07-2020,Tamil Nadu,Ramanathapuram,1774,716,32,0,9723
12-07-2020,Tamil Nadu,Ramanathapuram,1849,760,34,0,9723
13-07-2020,Tamil Nadu,Ramanathapuram,1892,785,38,0,9723
14-07-2020,Tamil Nadu,Ramanathapuram,1956,1193,38,0,9723
15-07-2020,Tamil Nadu,Ramanathapuram,2076,1225,39,0,9723
16-07-2020,Tamil Nadu,Ramanathapuram,2167,1279,39,0,9723
17-07-2020,Tamil Nadu,Ramanathapuram,2249,1384,43,0,9723
18-07-2020,Tamil Nadu,Ramanathapuram,2316,1398,47,0,9723
19-07-2020,Tamil Nadu,Ramanathapuram,2442,1414,48,0,9723
20-07-2020,Tamil Nadu,Ramanathapuram,2525,1445,50,0,9723
21-07-2020,Tamil Nadu,Ramanathapuram,2603,1801,52,0,9723
22-07-2020,Tamil Nadu,Ramanathapuram,2692,1871,53,0,9723
23-07-2020,Tamil Nadu,Ramanathapuram,2792,1976,53,0,23389
24-07-2020,Tamil Nadu,Ramanathapuram,2865,2017,53,0,23389
25-07-2020,Tamil Nadu,Ramanathapuram,2951,2029,55,0,23389
26-07-2020,Tamil Nadu,Ramanathapuram,3040,2188,57,0,23389
27-07-2020,Tamil Nadu,Ramanathapuram,3094,2245,59,0,23389
28-07-2020,Tamil Nadu,Ramanathapuram,3132,2292,59,0,23389
29-07-2020,Tamil Nadu,Ramanathapuram,3169,2410,60,0,23389
30-07-2020,Tamil Nadu,Ramanathapuram,3215,2483,62,0,23389
31-07-2020,Tamil Nadu,Ramanathapuram,3255,2557,64,0,23389
01-08-2020,Tamil Nadu,Ramanathapuram,3293,2643,66,0,23389
02-08-2020,Tamil Nadu,Ramanathapuram,3338,2744,66,0,23389
03-08-2020,Tamil Nadu,Ramanathapuram,3400,2814,68,0,23389
