Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Salem,31,6,0,0,
27-04-2020,Tamil Nadu,Salem,31,6,0,0,
28-04-2020,Tamil Nadu,Salem,31,16,0,0,
29-04-2020,Tamil Nadu,Salem,31,20,0,0,
30-04-2020,Tamil Nadu,Salem,32,23,0,0,
01-05-2020,Tamil Nadu,Salem,32,24,0,0,
02-05-2020,Tamil Nadu,Salem,33,24,0,0,
03-05-2020,Tamil Nadu,Salem,33,24,0,0,
04-05-2020,Tamil Nadu,Salem,33,24,0,0,
05-05-2020,Tamil Nadu,Salem,34,24,0,0,
06-05-2020,Tamil Nadu,Salem,35,24,0,0,
07-05-2020,Tamil Nadu,Salem,35,24,0,0,
08-05-2020,Tamil Nadu,Salem,35,28,0,0,
09-05-2020,Tamil Nadu,Salem,35,28,0,0,
10-05-2020,Tamil Nadu,Salem,35,29,0,0,
11-05-2020,Tamil Nadu,Salem,35,29,0,0,
12-05-2020,Tamil Nadu,Salem,35,30,0,0,
13-05-2020,Tamil Nadu,Salem,35,30,0,0,
14-05-2020,Tamil Nadu,Salem,35,30,0,0,
15-05-2020,Tamil Nadu,Salem,35,35,0,0,
16-05-2020,Tamil Nadu,Salem,35,35,0,0,
17-05-2020,Tamil Nadu,Salem,44,35,0,0,
18-05-2020,Tamil Nadu,Salem,49,35,0,0,
19-05-2020,Tamil Nadu,Salem,49,35,0,0,
20-05-2020,Tamil Nadu,Salem,49,35,0,0,
21-05-2020,Tamil Nadu,Salem,49,35,0,0,
22-05-2020,Tamil Nadu,Salem,49,35,0,0,
23-05-2020,Tamil Nadu,Salem,52,35,0,0,
24-05-2020,Tamil Nadu,Salem,52,35,0,0,
25-05-2020,Tamil Nadu,Salem,58,35,0,0,
26-05-2020,Tamil Nadu,Salem,68,35,0,0,
27-05-2020,Tamil Nadu,Salem,68,35,0,0,
28-05-2020,Tamil Nadu,Salem,107,40,0,0,
29-05-2020,Tamil Nadu,Salem,107,45,0,0,
30-05-2020,Tamil Nadu,Salem,146,45,0,0,
31-05-2020,Tamil Nadu,Salem,195,53,0,0,
01-06-2020,Tamil Nadu,Salem,211,53,0,0,
02-06-2020,Tamil Nadu,Salem,220,54,0,0,
03-06-2020,Tamil Nadu,Salem,223,54,0,0,
04-06-2020,Tamil Nadu,Salem,209,64,0,0,
05-06-2020,Tamil Nadu,Salem,216,68,0,0,
06-06-2020,Tamil Nadu,Salem,213,92,0,0,
07-06-2020,Tamil Nadu,Salem,216,147,0,0,22751
08-06-2020,Tamil Nadu,Salem,221,150,0,0,22751
09-06-2020,Tamil Nadu,Salem,211,173,0,0,22751
10-06-2020,Tamil Nadu,Salem,213,173,0,0,22751
11-06-2020,Tamil Nadu,Salem,222,182,0,0,22751
12-06-2020,Tamil Nadu,Salem,217,186,0,0,22751
13-06-2020,Tamil Nadu,Salem,222,187,0,0,22751
14-06-2020,Tamil Nadu,Salem,229,189,0,0,22751
15-06-2020,Tamil Nadu,Salem,226,189,0,0,22751
16-06-2020,Tamil Nadu,Salem,231,190,0,0,22751
17-06-2020,Tamil Nadu,Salem,256,193,0,0,22751
18-06-2020,Tamil Nadu,Salem,271,195,0,0,22751
19-06-2020,Tamil Nadu,Salem,280,200,0,0,30125
20-06-2020,Tamil Nadu,Salem,323,201,0,0,31019
21-06-2020,Tamil Nadu,Salem,335,204,0,0,31019
22-06-2020,Tamil Nadu,Salem,352,204,0,0,31019
23-06-2020,Tamil Nadu,Salem,347,210,1,0,31019
24-06-2020,Tamil Nadu,Salem,404,215,2,0,31019
25-06-2020,Tamil Nadu,Salem,494,221,2,0,31019
26-06-2020,Tamil Nadu,Salem,599,229,2,0,31019
27-06-2020,Tamil Nadu,Salem,604,238,2,0,31019
28-06-2020,Tamil Nadu,Salem,710,262,2,0,31019
29-06-2020,Tamil Nadu,Salem,753,268,2,0,31019
30-06-2020,Tamil Nadu,Salem,780,284,3,0,31019
01-07-2020,Tamil Nadu,Salem,946,288,3,0,31019
02-07-2020,Tamil Nadu,Salem,1034,288,3,0,31019
03-07-2020,Tamil Nadu,Salem,1127,311,4,0,31019
04-07-2020,Tamil Nadu,Salem,1197,337,5,0,31019
05-07-2020,Tamil Nadu,Salem,1247,400,5,0,31019
06-07-2020,Tamil Nadu,Salem,1288,413,5,0,31019
