Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Sivaganga,12,0,0,0,
27-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
28-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
29-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
30-04-2020,Tamil Nadu,Sivaganga,12,10,0,0,
01-05-2020,Tamil Nadu,Sivaganga,12,10,0,0,
02-05-2020,Tamil Nadu,Sivaganga,12,11,0,0,
03-05-2020,Tamil Nadu,Sivaganga,12,11,0,0,
04-05-2020,Tamil Nadu,Sivaganga,12,11,0,0,
05-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
06-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
07-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
08-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
09-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
10-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
11-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
12-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
13-05-2020,Tamil Nadu,Sivaganga,12,12,0,0,
14-05-2020,Tamil Nadu,Sivaganga,13,12,0,0,
15-05-2020,Tamil Nadu,Sivaganga,13,12,0,0,
16-05-2020,Tamil Nadu,Sivaganga,22,12,0,0,
17-05-2020,Tamil Nadu,Sivaganga,26,12,0,0,
18-05-2020,Tamil Nadu,Sivaganga,26,12,0,0,
19-05-2020,Tamil Nadu,Sivaganga,26,12,0,0,
20-05-2020,Tamil Nadu,Sivaganga,26,13,0,0,
21-05-2020,Tamil Nadu,Sivaganga,28,13,0,0,
22-05-2020,Tamil Nadu,Sivaganga,28,13,0,0,
23-05-2020,Tamil Nadu,Sivaganga,28,26,0,0,
24-05-2020,Tamil Nadu,Sivaganga,28,25,0,0,
25-05-2020,Tamil Nadu,Sivaganga,28,25,0,0,
26-05-2020,Tamil Nadu,Sivaganga,28,26,0,0,
27-05-2020,Tamil Nadu,Sivaganga,31,26,0,0,
28-05-2020,Tamil Nadu,Sivaganga,31,27,0,0,
29-05-2020,Tamil Nadu,Sivaganga,31,27,0,0,
30-05-2020,Tamil Nadu,Sivaganga,32,28,0,0,
31-05-2020,Tamil Nadu,Sivaganga,33,28,0,0,
01-06-2020,Tamil Nadu,Sivaganga,34,28,0,0,
02-06-2020,Tamil Nadu,Sivaganga,35,28,0,0,
03-06-2020,Tamil Nadu,Sivaganga,35,29,0,0,
04-06-2020,Tamil Nadu,Sivaganga,34,30,0,0,
05-06-2020,Tamil Nadu,Sivaganga,35,30,0,0,
06-06-2020,Tamil Nadu,Sivaganga,35,30,0,0,
07-06-2020,Tamil Nadu,Sivaganga,35,30,0,0,5400
08-06-2020,Tamil Nadu,Sivaganga,42,32,0,0,5400
09-06-2020,Tamil Nadu,Sivaganga,42,32,0,0,5400
10-06-2020,Tamil Nadu,Sivaganga,44,35,0,0,5400
11-06-2020,Tamil Nadu,Sivaganga,50,33,0,0,5400
12-06-2020,Tamil Nadu,Sivaganga,62,39,0,0,5400
13-06-2020,Tamil Nadu,Sivaganga,75,39,0,0,5400
14-06-2020,Tamil Nadu,Sivaganga,90,39,0,0,5400
15-06-2020,Tamil Nadu,Sivaganga,57,40,0,0,5400
16-06-2020,Tamil Nadu,Sivaganga,55,41,0,0,5400
17-06-2020,Tamil Nadu,Sivaganga,65,41,0,0,5400
18-06-2020,Tamil Nadu,Sivaganga,72,45,0,0,5400
19-06-2020,Tamil Nadu,Sivaganga,80,49,1,0,7012
20-06-2020,Tamil Nadu,Sivaganga,95,49,1,0,7156
21-06-2020,Tamil Nadu,Sivaganga,75,49,1,0,7156
22-06-2020,Tamil Nadu,Sivaganga,103,53,1,0,7156
23-06-2020,Tamil Nadu,Sivaganga,103,53,1,0,7156
24-06-2020,Tamil Nadu,Sivaganga,110,58,1,0,7156
25-06-2020,Tamil Nadu,Sivaganga,135,61,1,0,7156
26-06-2020,Tamil Nadu,Sivaganga,130,71,1,0,7156
27-06-2020,Tamil Nadu,Sivaganga,157,61,2,0,7156
28-06-2020,Tamil Nadu,Sivaganga,168,62,2,0,7156
29-06-2020,Tamil Nadu,Sivaganga,189,62,2,0,7156
30-06-2020,Tamil Nadu,Sivaganga,241,87,2,0,7156
01-07-2020,Tamil Nadu,Sivaganga,268,86,2,0,7156
02-07-2020,Tamil Nadu,Sivaganga,331,96,4,0,7156
03-07-2020,Tamil Nadu,Sivaganga,376,118,4,0,7156
04-07-2020,Tamil Nadu,Sivaganga,425,161,4,0,7156
05-07-2020,Tamil Nadu,Sivaganga,512,178,7,0,7156
06-07-2020,Tamil Nadu,Sivaganga,564,217,7,0,7156
07-07-2020,Tamil Nadu,Sivaganga,576,281,7,0,7156
08-07-2020,Tamil Nadu,Sivaganga,611,348,9,0,7156
09-07-2020,Tamil Nadu,Sivaganga,675,409,9,0,7156
10-07-2020,Tamil Nadu,Sivaganga,720,425,11,0,7156
11-07-2020,Tamil Nadu,Sivaganga,786,472,11,0,7156
12-07-2020,Tamil Nadu,Sivaganga,862,513,11,0,7156
13-07-2020,Tamil Nadu,Sivaganga,891,537,14,0,7156
14-07-2020,Tamil Nadu,Sivaganga,1003,551,18,0,7156
15-07-2020,Tamil Nadu,Sivaganga,1103,578,21,0,7156
16-07-2020,Tamil Nadu,Sivaganga,1188,610,22,0,7156
17-07-2020,Tamil Nadu,Sivaganga,1260,629,23,0,7156
18-07-2020,Tamil Nadu,Sivaganga,1438,646,24,0,7156
19-07-2020,Tamil Nadu,Sivaganga,1531,690,25,0,7156
20-07-2020,Tamil Nadu,Sivaganga,1612,714,25,0,7156
21-07-2020,Tamil Nadu,Sivaganga,1687,778,28,0,7156
22-07-2020,Tamil Nadu,Sivaganga,1760,842,30,0,7156
23-07-2020,Tamil Nadu,Sivaganga,1824,872,31,0,25824
24-07-2020,Tamil Nadu,Sivaganga,1906,982,32,0,25824
25-07-2020,Tamil Nadu,Sivaganga,1991,1159,33,0,25824
26-07-2020,Tamil Nadu,Sivaganga,2079,1415,33,0,25824
27-07-2020,Tamil Nadu,Sivaganga,2123,1586,35,0,25824
28-07-2020,Tamil Nadu,Sivaganga,2182,1657,38,0,25824
29-07-2020,Tamil Nadu,Sivaganga,2226,1726,41,0,25824
30-07-2020,Tamil Nadu,Sivaganga,2301,1789,43,0,25824
31-07-2020,Tamil Nadu,Sivaganga,2365,1872,43,0,25824
01-08-2020,Tamil Nadu,Sivaganga,2426,1957,43,0,25824
02-08-2020,Tamil Nadu,Sivaganga,2471,2037,46,0,25824
03-08-2020,Tamil Nadu,Sivaganga,2534,2078,51,0,25824
04-08-2020,Tamil Nadu,Sivaganga,2677,2129,52,0,25824
05-08-2020,Tamil Nadu,Sivaganga,2742,2176,55,0,25824
06-08-2020,Tamil Nadu,Sivaganga,2768,2253,55,0,25824
07-08-2020,Tamil Nadu,Sivaganga,2832,2315,56,0,25824
08-08-2020,Tamil Nadu,Sivaganga,2887,2375,61,0,25824
09-08-2020,Tamil Nadu,Sivaganga,2936,2422,65,0,25824
10-08-2020,Tamil Nadu,Sivaganga,2996,2482,68,0,25824
11-08-2020,Tamil Nadu,Sivaganga,3053,2614,70,0,25824
12-08-2020,Tamil Nadu,Sivaganga,3139,2681,71,0,25824
13-08-2020,Tamil Nadu,Sivaganga,3203,2707,72,0,25824
14-08-2020,Tamil Nadu,Sivaganga,3271,2775,75,0,25824
15-08-2020,Tamil Nadu,Sivaganga,3320,2828,78,0,25824
16-08-2020,Tamil Nadu,Sivaganga,3374,2874,83,0,25824
17-08-2020,Tamil Nadu,Sivaganga,3423,2932,86,0,25824
18-08-2020,Tamil Nadu,Sivaganga,3478,2986,87,0,25824
19-08-2020,Tamil Nadu,Sivaganga,3545,2987,90,0,25824
20-08-2020,Tamil Nadu,Sivaganga,3593,3143,92,0,25824
21-08-2020,Tamil Nadu,Sivaganga,3630,3213,95,0,25824
22-08-2020,Tamil Nadu,Sivaganga,3691,3262,98,0,25824
23-08-2020,Tamil Nadu,Sivaganga,3734,3314,101,0,25824
24-08-2020,Tamil Nadu,Sivaganga,3783,3369,102,0,25824
25-08-2020,Tamil Nadu,Sivaganga,3826,3420,103,0,25824
26-08-2020,Tamil Nadu,Sivaganga,3841,3488,104,0,25824
27-08-2020,Tamil Nadu,Sivaganga,3907,3514,104,0,25824
28-08-2020,Tamil Nadu,Sivaganga,3962,3552,106,0,25824
29-08-2020,Tamil Nadu,Sivaganga,3995,3610,106,0,25824
30-08-2020,Tamil Nadu,Sivaganga,4028,3651,107,0,25824
31-08-2020,Tamil Nadu,Sivaganga,4053,3698,107,0,25824
01-09-2020,Tamil Nadu,Sivaganga,4089,3739,108,0,25824
02-09-2020,Tamil Nadu,Sivaganga,4114,3756,109,0,25824
03-09-2020,Tamil Nadu,Sivaganga,4145,3818,109,0,25824
04-09-2020,Tamil Nadu,Sivaganga,4191,3879,109,0,25824
05-09-2020,Tamil Nadu,Sivaganga,4225,3914,109,0,25824
06-09-2020,Tamil Nadu,Sivaganga,4256,3945,109,0,25824
07-09-2020,Tamil Nadu,Sivaganga,4297,3969,111,0,25824
08-09-2020,Tamil Nadu,Sivaganga,4345,4006,113,0,25824
09-09-2020,Tamil Nadu,Sivaganga,4382,4031,114,0,25824
10-09-2020,Tamil Nadu,Sivaganga,4399,4061,114,0,25824
11-09-2020,Tamil Nadu,Sivaganga,4424,4106,114,0,25824
12-09-2020,Tamil Nadu,Sivaganga,4475,4140,114,0,25824
13-09-2020,Tamil Nadu,Sivaganga,4521,4171,114,0,25824
14-09-2020,Tamil Nadu,Sivaganga,4557,4210,114,0,25824
15-09-2020,Tamil Nadu,Sivaganga,4585,4238,114,0,25824
16-09-2020,Tamil Nadu,Sivaganga,4625,4268,114,0,25824
17-09-2020,Tamil Nadu,Sivaganga,4669,4288,115,0,25824
18-09-2020,Tamil Nadu,Sivaganga,4701,4312,115,0,25824
19-09-2020,Tamil Nadu,Sivaganga,4738,4362,115,0,25824
20-09-2020,Tamil Nadu,Sivaganga,4799,4406,116,0,25824
21-09-2020,Tamil Nadu,Sivaganga,4840,4445,116,0,25824
22-09-2020,Tamil Nadu,Sivaganga,4878,4473,118,0,25824
23-09-2020,Tamil Nadu,Sivaganga,4922,4508,117,0,25824
24-09-2020,Tamil Nadu,Sivaganga,4964,4549,117,0,25824
25-09-2020,Tamil Nadu,Sivaganga,5012,4586,118,0,25824
26-09-2020,Tamil Nadu,Sivaganga,5040,4623,119,0,25824
27-09-2020,Tamil Nadu,Sivaganga,5070,4682,120,0,25824
28-09-2020,Tamil Nadu,Sivaganga,5109,4725,120,0,25824
29-09-2020,Tamil Nadu,Sivaganga,5145,4763,121,0,25824
30-09-2020,Tamil Nadu,Sivaganga,5172,4806,121,0,25824
01-10-2020,Tamil Nadu,Sivaganga,5204,4844,121,0,25824
02-10-2020,Tamil Nadu,Sivaganga,5230,4892,121,0,25824
03-10-2020,Tamil Nadu,Sivaganga,5268,4917,121,0,25824
04-10-2020,Tamil Nadu,Sivaganga,5304,4946,121,0,25824
05-10-2020,Tamil Nadu,Sivaganga,5336,4982,121,0,25824
06-10-2020,Tamil Nadu,Sivaganga,5356,5028,121,0,25824
07-10-2020,Tamil Nadu,Sivaganga,5392,5052,122,0,25824
08-10-2020,Tamil Nadu,Sivaganga,5408,5085,122,0,25824
09-10-2020,Tamil Nadu,Sivaganga,5434,5111,122,0,25824
10-10-2020,Tamil Nadu,Sivaganga,5473,5146,122,0,25824
11-10-2020,Tamil Nadu,Sivaganga,5499,5179,123,0,25824
12-10-2020,Tamil Nadu,Sivaganga,5524,5213,123,0,25824
13-10-2020,Tamil Nadu,Sivaganga,5543,5240,123,0,25824
14-10-2020,Tamil Nadu,Sivaganga,5557,5270,123,0,25824
15-10-2020,Tamil Nadu,Sivaganga,5583,5290,123,0,25824
16-10-2020,Tamil Nadu,Sivaganga,5602,5316,123,0,25824
17-10-2020,Tamil Nadu,Sivaganga,5625,5352,124,0,25824
18-10-2020,Tamil Nadu,Sivaganga,5651,5378,124,0,25824
19-10-2020,Tamil Nadu,Sivaganga,5674,5402,124,0,25824
20-10-2020,Tamil Nadu,Sivaganga,5697,5417,124,0,25824
21-10-2020,Tamil Nadu,Sivaganga,5715,5431,124,0,25824
22-10-2020,Tamil Nadu,Sivaganga,5730,5456,125,0,25824
23-10-2020,Tamil Nadu,Sivaganga,5747,5476,125,0,25824
24-10-2020,Tamil Nadu,Sivaganga,5768,5503,125,0,25824
25-10-2020,Tamil Nadu,Sivaganga,5791,5527,125,0,25824
26-10-2020,Tamil Nadu,Sivaganga,5814,5554,125,0,25824
27-10-2020,Tamil Nadu,Sivaganga,5833,5576,126,0,25824
28-10-2020,Tamil Nadu,Sivaganga,5850,5593,126,0,25824
29-10-2020,Tamil Nadu,Sivaganga,5865,5608,126,0,25824
30-10-2020,Tamil Nadu,Sivaganga,5882,5618,126,0,25824
31-10-2020,Tamil Nadu,Sivaganga,5901,5637,126,0,25824
01-11-2020,Tamil Nadu,Sivaganga,5912,5662,126,0,25824
02-11-2020,Tamil Nadu,Sivaganga,5922,5693,126,0,25824
03-11-2020,Tamil Nadu,Sivaganga,5935,5702,126,0,25824
04-11-2020,Tamil Nadu,Sivaganga,5959,5706,126,0,25824
05-11-2020,Tamil Nadu,Sivaganga,5971,5719,126,0,25824
06-11-2020,Tamil Nadu,Sivaganga,5989,5737,126,0,25824
