Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Tenkasi,35,2,0,0,
27-04-2020,Tamil Nadu,Tenkasi,35,2,0,0,
28-04-2020,Tamil Nadu,Tenkasi,35,2,0,0,
29-04-2020,Tamil Nadu,Tenkasi,35,5,0,0,
30-04-2020,Tamil Nadu,Tenkasi,35,5,0,0,
01-05-2020,Tamil Nadu,Tenkasi,35,8,0,0,
02-05-2020,Tamil Nadu,Tenkasi,35,11,0,0,
03-05-2020,Tamil Nadu,Tenkasi,37,11,0,0,
04-05-2020,Tamil Nadu,Tenkasi,46,12,0,0,
05-05-2020,Tamil Nadu,Tenkasi,47,12,0,0,
06-05-2020,Tamil Nadu,Tenkasi,48,12,0,0,
07-05-2020,Tamil Nadu,Tenkasi,48,15,0,0,
08-05-2020,Tamil Nadu,Tenkasi,49,16,0,0,
09-05-2020,Tamil Nadu,Tenkasi,49,16,0,0,
10-05-2020,Tamil Nadu,Tenkasi,49,21,0,0,
11-05-2020,Tamil Nadu,Tenkasi,49,21,0,0,
12-05-2020,Tamil Nadu,Tenkasi,50,30,0,0,
13-05-2020,Tamil Nadu,Tenkasi,50,32,0,0,
14-05-2020,Tamil Nadu,Tenkasi,54,34,0,0,
15-05-2020,Tamil Nadu,Tenkasi,56,34,0,0,
16-05-2020,Tamil Nadu,Tenkasi,61,35,0,0,
17-05-2020,Tamil Nadu,Tenkasi,64,40,0,0,
18-05-2020,Tamil Nadu,Tenkasi,70,40,0,0,
19-05-2020,Tamil Nadu,Tenkasi,72,44,0,0,
20-05-2020,Tamil Nadu,Tenkasi,75,48,0,0,
21-05-2020,Tamil Nadu,Tenkasi,83,50,0,0,
22-05-2020,Tamil Nadu,Tenkasi,83,51,0,0,
23-05-2020,Tamil Nadu,Tenkasi,85,52,0,0,
24-05-2020,Tamil Nadu,Tenkasi,85,52,0,0,
25-05-2020,Tamil Nadu,Tenkasi,85,52,0,0,
26-05-2020,Tamil Nadu,Tenkasi,85,53,0,0,
27-05-2020,Tamil Nadu,Tenkasi,85,54,0,0,
28-05-2020,Tamil Nadu,Tenkasi,85,56,0,0,
29-05-2020,Tamil Nadu,Tenkasi,85,61,0,0,
30-05-2020,Tamil Nadu,Tenkasi,86,61,0,0,
31-05-2020,Tamil Nadu,Tenkasi,86,63,0,0,
01-06-2020,Tamil Nadu,Tenkasi,88,65,0,0,
02-06-2020,Tamil Nadu,Tenkasi,90,68,0,0,
03-06-2020,Tamil Nadu,Tenkasi,94,73,0,0,
04-06-2020,Tamil Nadu,Tenkasi,96,77,0,0,
05-06-2020,Tamil Nadu,Tenkasi,98,77,0,0,
06-06-2020,Tamil Nadu,Tenkasi,100,85,0,0,
07-06-2020,Tamil Nadu,Tenkasi,103,85,0,0,7163
08-06-2020,Tamil Nadu,Tenkasi,106,88,0,0,7163
09-06-2020,Tamil Nadu,Tenkasi,106,88,0,0,7163
10-06-2020,Tamil Nadu,Tenkasi,106,88,0,0,7163
11-06-2020,Tamil Nadu,Tenkasi,111,88,0,0,7163
12-06-2020,Tamil Nadu,Tenkasi,115,89,0,0,7163
13-06-2020,Tamil Nadu,Tenkasi,118,90,0,0,7163
14-06-2020,Tamil Nadu,Tenkasi,134,90,0,0,7163
15-06-2020,Tamil Nadu,Tenkasi,144,90,0,0,7163
16-06-2020,Tamil Nadu,Tenkasi,157,93,0,0,7163
17-06-2020,Tamil Nadu,Tenkasi,162,97,0,0,7163
18-06-2020,Tamil Nadu,Tenkasi,196,98,0,0,7163
19-06-2020,Tamil Nadu,Tenkasi,210,98,0,0,11804
20-06-2020,Tamil Nadu,Tenkasi,218,107,0,0,11804
21-06-2020,Tamil Nadu,Tenkasi,241,108,0,0,11804
22-06-2020,Tamil Nadu,Tenkasi,261,108,0,0,11804
23-06-2020,Tamil Nadu,Tenkasi,272,110,0,0,11804
24-06-2020,Tamil Nadu,Tenkasi,277,110,0,0,11804
25-06-2020,Tamil Nadu,Tenkasi,286,110,0,0,11804
26-06-2020,Tamil Nadu,Tenkasi,294,111,0,0,11804
27-06-2020,Tamil Nadu,Tenkasi,303,111,0,0,11804
28-06-2020,Tamil Nadu,Tenkasi,332,111,0,0,11804
29-06-2020,Tamil Nadu,Tenkasi,335,153,0,0,11804
30-06-2020,Tamil Nadu,Tenkasi,347,179,0,0,11804
01-07-2020,Tamil Nadu,Tenkasi,368,182,0,0,11804
02-07-2020,Tamil Nadu,Tenkasi,387,204,1,0,11804
03-07-2020,Tamil Nadu,Tenkasi,391,207,1,0,11804
04-07-2020,Tamil Nadu,Tenkasi,408,207,1,0,11804
05-07-2020,Tamil Nadu,Tenkasi,448,207,1,0,11804
06-07-2020,Tamil Nadu,Tenkasi,468,256,1,0,11804
07-07-2020,Tamil Nadu,Tenkasi,530,256,1,0,11804
08-07-2020,Tamil Nadu,Tenkasi,558,299,1,0,11804
09-07-2020,Tamil Nadu,Tenkasi,589,299,1,0,11804
10-07-2020,Tamil Nadu,Tenkasi,598,299,1,0,11804
11-07-2020,Tamil Nadu,Tenkasi,665,299,1,0,11804
12-07-2020,Tamil Nadu,Tenkasi,683,325,1,0,11804
13-07-2020,Tamil Nadu,Tenkasi,721,325,2,0,11804
14-07-2020,Tamil Nadu,Tenkasi,824,325,3,0,11804
15-07-2020,Tamil Nadu,Tenkasi,842,325,3,0,11804
16-07-2020,Tamil Nadu,Tenkasi,859,325,3,0,11804
17-07-2020,Tamil Nadu,Tenkasi,926,325,3,0,11804
18-07-2020,Tamil Nadu,Tenkasi,1019,336,3,0,11804
19-07-2020,Tamil Nadu,Tenkasi,1096,415,3,0,11804
20-07-2020,Tamil Nadu,Tenkasi,1200,433,3,0,11804
21-07-2020,Tamil Nadu,Tenkasi,1259,435,3,0,11804
22-07-2020,Tamil Nadu,Tenkasi,1344,450,3,0,11804
23-07-2020,Tamil Nadu,Tenkasi,1412,450,7,0,26338
24-07-2020,Tamil Nadu,Tenkasi,1506,450,9,0,26338
25-07-2020,Tamil Nadu,Tenkasi,1607,837,10,0,26338
26-07-2020,Tamil Nadu,Tenkasi,1682,869,12,0,26338
27-07-2020,Tamil Nadu,Tenkasi,1794,869,15,0,26338
28-07-2020,Tamil Nadu,Tenkasi,1844,937,15,0,26338
29-07-2020,Tamil Nadu,Tenkasi,1911,944,16,0,26338
30-07-2020,Tamil Nadu,Tenkasi,1968,962,19,0,26338
31-07-2020,Tamil Nadu,Tenkasi,2032,986,19,0,26338
01-08-2020,Tamil Nadu,Tenkasi,2210,1173,23,0,26338
02-08-2020,Tamil Nadu,Tenkasi,2315,1191,27,0,26338
03-08-2020,Tamil Nadu,Tenkasi,2397,1236,32,0,26338
04-08-2020,Tamil Nadu,Tenkasi,2443,1622,36,0,26338
05-08-2020,Tamil Nadu,Tenkasi,2564,1662,36,0,26338
06-08-2020,Tamil Nadu,Tenkasi,2629,1720,39,0,26338
07-08-2020,Tamil Nadu,Tenkasi,2748,1828,43,0,26338
08-08-2020,Tamil Nadu,Tenkasi,2952,1876,44,0,26338
09-08-2020,Tamil Nadu,Tenkasi,3132,1915,45,0,26338
10-08-2020,Tamil Nadu,Tenkasi,3246,1964,50,0,26338
11-08-2020,Tamil Nadu,Tenkasi,3382,2026,54,0,26338
12-08-2020,Tamil Nadu,Tenkasi,3481,2055,57,0,26338
