Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Thanjavur,54,23,0,0,
27-04-2020,Tamil Nadu,Thanjavur,54,23,0,0,
28-04-2020,Tamil Nadu,Thanjavur,54,24,0,0,
29-04-2020,Tamil Nadu,Thanjavur,54,33,0,0,
30-04-2020,Tamil Nadu,Thanjavur,54,35,0,0,
01-05-2020,Tamil Nadu,Thanjavur,56,35,0,0,
02-05-2020,Tamil Nadu,Thanjavur,56,38,0,0,
03-05-2020,Tamil Nadu,Thanjavur,56,41,0,0,
04-05-2020,Tamil Nadu,Thanjavur,57,42,0,0,
05-05-2020,Tamil Nadu,Thanjavur,57,43,0,0,
06-05-2020,Tamil Nadu,Thanjavur,58,43,0,0,
07-05-2020,Tamil Nadu,Thanjavur,60,43,0,0,
08-05-2020,Tamil Nadu,Thanjavur,60,44,0,0,
09-05-2020,Tamil Nadu,Thanjavur,61,45,0,0,
10-05-2020,Tamil Nadu,Thanjavur,61,47,0,0,
11-05-2020,Tamil Nadu,Thanjavur,64,47,0,0,
12-05-2020,Tamil Nadu,Thanjavur,64,47,0,0,
13-05-2020,Tamil Nadu,Thanjavur,65,47,0,0,
14-05-2020,Tamil Nadu,Thanjavur,70,47,0,0,
15-05-2020,Tamil Nadu,Thanjavur,71,53,0,0,
16-05-2020,Tamil Nadu,Thanjavur,72,54,0,0,
17-05-2020,Tamil Nadu,Thanjavur,72,62,0,0,
18-05-2020,Tamil Nadu,Thanjavur,72,62,0,0,
19-05-2020,Tamil Nadu,Thanjavur,75,66,0,0,
20-05-2020,Tamil Nadu,Thanjavur,76,66,0,0,
21-05-2020,Tamil Nadu,Thanjavur,80,66,0,0,
22-05-2020,Tamil Nadu,Thanjavur,80,66,0,0,
23-05-2020,Tamil Nadu,Thanjavur,80,67,0,0,
24-05-2020,Tamil Nadu,Thanjavur,83,67,0,0,
25-05-2020,Tamil Nadu,Thanjavur,84,67,0,0,
26-05-2020,Tamil Nadu,Thanjavur,84,67,0,0,
27-05-2020,Tamil Nadu,Thanjavur,85,69,0,0,
28-05-2020,Tamil Nadu,Thanjavur,86,71,0,0,
29-05-2020,Tamil Nadu,Thanjavur,86,76,0,0,
30-05-2020,Tamil Nadu,Thanjavur,88,76,0,0,
31-05-2020,Tamil Nadu,Thanjavur,89,77,0,0,
01-06-2020,Tamil Nadu,Thanjavur,93,77,0,0,
02-06-2020,Tamil Nadu,Thanjavur,96,79,0,0,
03-06-2020,Tamil Nadu,Thanjavur,102,80,0,0,
04-06-2020,Tamil Nadu,Thanjavur,103,83,0,0,
05-06-2020,Tamil Nadu,Thanjavur,104,85,0,0,
06-06-2020,Tamil Nadu,Thanjavur,106,85,0,0,
07-06-2020,Tamil Nadu,Thanjavur,113,88,0,0,17820
08-06-2020,Tamil Nadu,Thanjavur,117,89,0,0,17820
09-06-2020,Tamil Nadu,Thanjavur,125,89,0,0,17820
10-06-2020,Tamil Nadu,Thanjavur,127,90,0,0,17820
11-06-2020,Tamil Nadu,Thanjavur,133,89,0,0,17820
12-06-2020,Tamil Nadu,Thanjavur,140,91,0,0,17820
13-06-2020,Tamil Nadu,Thanjavur,150,96,1,0,17820
14-06-2020,Tamil Nadu,Thanjavur,155,101,1,0,17820
15-06-2020,Tamil Nadu,Thanjavur,167,106,1,0,17820
16-06-2020,Tamil Nadu,Thanjavur,171,106,1,0,17820
17-06-2020,Tamil Nadu,Thanjavur,183,111,1,0,17820
18-06-2020,Tamil Nadu,Thanjavur,204,117,1,0,17820
19-06-2020,Tamil Nadu,Thanjavur,213,118,1,0,23680
20-06-2020,Tamil Nadu,Thanjavur,223,124,1,0,24097
21-06-2020,Tamil Nadu,Thanjavur,272,128,1,0,24097
22-06-2020,Tamil Nadu,Thanjavur,308,130,1,0,24097
23-06-2020,Tamil Nadu,Thanjavur,319,134,1,0,24097
24-06-2020,Tamil Nadu,Thanjavur,335,150,1,0,24097
25-06-2020,Tamil Nadu,Thanjavur,357,153,1,0,24097
26-06-2020,Tamil Nadu,Thanjavur,382,156,1,0,24097
27-06-2020,Tamil Nadu,Thanjavur,396,169,1,0,24097
28-06-2020,Tamil Nadu,Thanjavur,420,176,1,0,24097
29-06-2020,Tamil Nadu,Thanjavur,424,193,1,0,24097
30-06-2020,Tamil Nadu,Thanjavur,448,206,1,0,24097
01-07-2020,Tamil Nadu,Thanjavur,455,227,1,0,24097
02-07-2020,Tamil Nadu,Thanjavur,465,274,2,0,24097
03-07-2020,Tamil Nadu,Thanjavur,478,293,2,0,24097
04-07-2020,Tamil Nadu,Thanjavur,481,310,2,0,24097
05-07-2020,Tamil Nadu,Thanjavur,496,310,2,0,24097
06-07-2020,Tamil Nadu,Thanjavur,499,325,2,0,24097
07-07-2020,Tamil Nadu,Thanjavur,533,359,2,0,24097
08-07-2020,Tamil Nadu,Thanjavur,544,371,3,0,24097
09-07-2020,Tamil Nadu,Thanjavur,576,384,5,0,24097
10-07-2020,Tamil Nadu,Thanjavur,625,395,5,0,24097
11-07-2020,Tamil Nadu,Thanjavur,652,409,5,0,24097
12-07-2020,Tamil Nadu,Thanjavur,687,415,6,0,24097
13-07-2020,Tamil Nadu,Thanjavur,709,421,9,0,24097
14-07-2020,Tamil Nadu,Thanjavur,738,422,11,0,24097
15-07-2020,Tamil Nadu,Thanjavur,809,439,12,0,24097
16-07-2020,Tamil Nadu,Thanjavur,835,469,13,0,24097
17-07-2020,Tamil Nadu,Thanjavur,952,486,13,0,24097
18-07-2020,Tamil Nadu,Thanjavur,1131,508,16,0,24097
19-07-2020,Tamil Nadu,Thanjavur,1161,529,16,0,24097
20-07-2020,Tamil Nadu,Thanjavur,1245,564,16,0,24097
21-07-2020,Tamil Nadu,Thanjavur,1316,589,16,0,24097
22-07-2020,Tamil Nadu,Thanjavur,1422,642,16,0,24097
23-07-2020,Tamil Nadu,Thanjavur,1542,686,17,0,67445
24-07-2020,Tamil Nadu,Thanjavur,1730,936,17,0,67445
25-07-2020,Tamil Nadu,Thanjavur,1892,943,17,0,67445
26-07-2020,Tamil Nadu,Thanjavur,2045,1064,18,0,67445
27-07-2020,Tamil Nadu,Thanjavur,2160,1175,18,0,67445
28-07-2020,Tamil Nadu,Thanjavur,2366,1346,20,0,67445
29-07-2020,Tamil Nadu,Thanjavur,2554,1460,20,0,67445
30-07-2020,Tamil Nadu,Thanjavur,2651,1534,26,0,67445
31-07-2020,Tamil Nadu,Thanjavur,2748,1606,28,0,67445
01-08-2020,Tamil Nadu,Thanjavur,2915,1894,28,0,67445
02-08-2020,Tamil Nadu,Thanjavur,3008,2006,29,0,67445
03-08-2020,Tamil Nadu,Thanjavur,3154,2147,31,0,67445
04-08-2020,Tamil Nadu,Thanjavur,3243,2347,32,0,67445
05-08-2020,Tamil Nadu,Thanjavur,3322,2476,34,0,67445
06-08-2020,Tamil Nadu,Thanjavur,3484,2567,36,0,67445
07-08-2020,Tamil Nadu,Thanjavur,3701,2634,39,0,67445
08-08-2020,Tamil Nadu,Thanjavur,3934,2715,42,0,67445
09-08-2020,Tamil Nadu,Thanjavur,4089,2756,45,0,67445
10-08-2020,Tamil Nadu,Thanjavur,4215,2889,49,0,67445
11-08-2020,Tamil Nadu,Thanjavur,4346,2974,55,0,67445
12-08-2020,Tamil Nadu,Thanjavur,4406,3169,55,0,67445
13-08-2020,Tamil Nadu,Thanjavur,4561,3356,59,0,67445
14-08-2020,Tamil Nadu,Thanjavur,4652,3498,61,0,67445
15-08-2020,Tamil Nadu,Thanjavur,4764,3614,68,0,67445
16-08-2020,Tamil Nadu,Thanjavur,4888,3808,73,0,67445
17-08-2020,Tamil Nadu,Thanjavur,5000,3999,75,0,67445
18-08-2020,Tamil Nadu,Thanjavur,5130,4082,80,0,67445
19-08-2020,Tamil Nadu,Thanjavur,5245,4338,82,0,67445
20-08-2020,Tamil Nadu,Thanjavur,5358,4415,84,0,67445
21-08-2020,Tamil Nadu,Thanjavur,5457,4491,86,0,67445
22-08-2020,Tamil Nadu,Thanjavur,5566,4573,88,0,67445
23-08-2020,Tamil Nadu,Thanjavur,5682,4755,91,0,67445
24-08-2020,Tamil Nadu,Thanjavur,5796,4821,95,0,67445
25-08-2020,Tamil Nadu,Thanjavur,5871,4973,101,0,67445
26-08-2020,Tamil Nadu,Thanjavur,5986,5085,106,0,67445
27-08-2020,Tamil Nadu,Thanjavur,6108,5209,107,0,67445
28-08-2020,Tamil Nadu,Thanjavur,6238,5347,109,0,67445
29-08-2020,Tamil Nadu,Thanjavur,6373,5450,111,0,67445
30-08-2020,Tamil Nadu,Thanjavur,6494,5543,114,0,67445
31-08-2020,Tamil Nadu,Thanjavur,6610,5636,116,0,67445
01-09-2020,Tamil Nadu,Thanjavur,6737,5762,117,0,67445
02-09-2020,Tamil Nadu,Thanjavur,6886,5785,117,0,67445
03-09-2020,Tamil Nadu,Thanjavur,7026,5918,119,0,67445
04-09-2020,Tamil Nadu,Thanjavur,7191,6090,119,0,67445
05-09-2020,Tamil Nadu,Thanjavur,7305,6181,120,0,67445
06-09-2020,Tamil Nadu,Thanjavur,7450,6356,121,0,67445
07-09-2020,Tamil Nadu,Thanjavur,7572,6368,123,0,67445
08-09-2020,Tamil Nadu,Thanjavur,7691,6554,123,0,67445
09-09-2020,Tamil Nadu,Thanjavur,7822,6777,124,0,67445
10-09-2020,Tamil Nadu,Thanjavur,7906,6974,126,0,67445
11-09-2020,Tamil Nadu,Thanjavur,8051,7145,128,0,67445
12-09-2020,Tamil Nadu,Thanjavur,8192,7249,128,0,67445
13-09-2020,Tamil Nadu,Thanjavur,8340,7335,128,0,67445
14-09-2020,Tamil Nadu,Thanjavur,8466,7446,130,0,67445
15-09-2020,Tamil Nadu,Thanjavur,8626,7497,132,0,67445
