Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Thoothukkudi,27,23,2,0,
27-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
28-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
29-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
30-04-2020,Tamil Nadu,Thoothukkudi,27,25,1,0,
01-05-2020,Tamil Nadu,Thoothukkudi,27,26,1,0,
02-05-2020,Tamil Nadu,Thoothukkudi,27,26,1,0,
03-05-2020,Tamil Nadu,Thoothukkudi,27,26,1,0,
04-05-2020,Tamil Nadu,Thoothukkudi,27,26,1,0,
05-05-2020,Tamil Nadu,Thoothukkudi,27,26,1,0,
06-05-2020,Tamil Nadu,Thoothukkudi,29,26,1,0,
07-05-2020,Tamil Nadu,Thoothukkudi,30,26,1,0,
08-05-2020,Tamil Nadu,Thoothukkudi,30,26,1,0,
09-05-2020,Tamil Nadu,Thoothukkudi,30,26,1,0,
10-05-2020,Tamil Nadu,Thoothukkudi,30,26,1,0,
11-05-2020,Tamil Nadu,Thoothukkudi,33,26,1,0,
12-05-2020,Tamil Nadu,Thoothukkudi,35,26,1,0,
13-05-2020,Tamil Nadu,Thoothukkudi,36,26,1,0,
14-05-2020,Tamil Nadu,Thoothukkudi,38,26,1,0,
15-05-2020,Tamil Nadu,Thoothukkudi,48,26,2,0,
16-05-2020,Tamil Nadu,Thoothukkudi,56,26,2,0,
17-05-2020,Tamil Nadu,Thoothukkudi,69,28,2,0,
18-05-2020,Tamil Nadu,Thoothukkudi,84,28,2,0,
19-05-2020,Tamil Nadu,Thoothukkudi,90,29,2,0,
20-05-2020,Tamil Nadu,Thoothukkudi,112,29,2,0,
21-05-2020,Tamil Nadu,Thoothukkudi,134,29,2,0,
22-05-2020,Tamil Nadu,Thoothukkudi,143,34,2,0,
23-05-2020,Tamil Nadu,Thoothukkudi,148,36,2,0,
24-05-2020,Tamil Nadu,Thoothukkudi,159,39,2,0,
25-05-2020,Tamil Nadu,Thoothukkudi,176,46,2,0,
26-05-2020,Tamil Nadu,Thoothukkudi,186,57,2,0,
27-05-2020,Tamil Nadu,Thoothukkudi,194,78,2,0,
28-05-2020,Tamil Nadu,Thoothukkudi,198,86,2,0,
29-05-2020,Tamil Nadu,Thoothukkudi,199,104,2,0,
30-05-2020,Tamil Nadu,Thoothukkudi,216,127,2,0,
31-05-2020,Tamil Nadu,Thoothukkudi,226,135,2,0,
01-06-2020,Tamil Nadu,Thoothukkudi,227,146,2,0,
02-06-2020,Tamil Nadu,Thoothukkudi,278,149,2,0,
03-06-2020,Tamil Nadu,Thoothukkudi,295,157,2,0,
04-06-2020,Tamil Nadu,Thoothukkudi,301,162,2,0,
05-06-2020,Tamil Nadu,Thoothukkudi,312,168,2,0,
06-06-2020,Tamil Nadu,Thoothukkudi,315,176,2,0,
07-06-2020,Tamil Nadu,Thoothukkudi,329,192,2,0,13227
08-06-2020,Tamil Nadu,Thoothukkudi,355,199,2,0,13227
09-06-2020,Tamil Nadu,Thoothukkudi,365,216,2,0,13227
10-06-2020,Tamil Nadu,Thoothukkudi,389,226,2,0,13227
11-06-2020,Tamil Nadu,Thoothukkudi,379,252,2,0,13227
12-06-2020,Tamil Nadu,Thoothukkudi,397,277,2,0,13227
13-06-2020,Tamil Nadu,Thoothukkudi,427,294,2,0,13227
14-06-2020,Tamil Nadu,Thoothukkudi,398,295,2,0,13227
15-06-2020,Tamil Nadu,Thoothukkudi,436,302,2,0,13227
16-06-2020,Tamil Nadu,Thoothukkudi,437,306,2,0,13227
17-06-2020,Tamil Nadu,Thoothukkudi,487,318,2,0,13227
18-06-2020,Tamil Nadu,Thoothukkudi,514,331,2,0,13227
19-06-2020,Tamil Nadu,Thoothukkudi,529,347,3,0,18327
20-06-2020,Tamil Nadu,Thoothukkudi,575,360,3,0,19085
21-06-2020,Tamil Nadu,Thoothukkudi,577,367,3,0,19085
22-06-2020,Tamil Nadu,Thoothukkudi,639,391,4,0,19085
23-06-2020,Tamil Nadu,Thoothukkudi,678,415,4,0,19085
24-06-2020,Tamil Nadu,Thoothukkudi,732,450,4,0,19085
25-06-2020,Tamil Nadu,Thoothukkudi,756,495,4,0,19085
26-06-2020,Tamil Nadu,Thoothukkudi,789,513,4,0,19085
27-06-2020,Tamil Nadu,Thoothukkudi,832,536,4,0,19085
28-06-2020,Tamil Nadu,Thoothukkudi,866,576,4,0,19085
29-06-2020,Tamil Nadu,Thoothukkudi,903,616,4,0,19085
30-06-2020,Tamil Nadu,Thoothukkudi,943,662,4,0,19085
01-07-2020,Tamil Nadu,Thoothukkudi,958,699,4,0,19085
02-07-2020,Tamil Nadu,Thoothukkudi,1028,727,4,0,19085
03-07-2020,Tamil Nadu,Thoothukkudi,1055,758,4,0,19085
04-07-2020,Tamil Nadu,Thoothukkudi,1120,815,4,0,19085
05-07-2020,Tamil Nadu,Thoothukkudi,1162,847,4,0,19085
06-07-2020,Tamil Nadu,Thoothukkudi,1271,865,5,0,19085
07-07-2020,Tamil Nadu,Thoothukkudi,1416,875,6,0,19085
08-07-2020,Tamil Nadu,Thoothukkudi,1558,923,6,0,19085
09-07-2020,Tamil Nadu,Thoothukkudi,1754,953,6,0,19085
10-07-2020,Tamil Nadu,Thoothukkudi,1949,1001,8,0,19085
11-07-2020,Tamil Nadu,Thoothukkudi,2124,1017,11,0,19085
12-07-2020,Tamil Nadu,Thoothukkudi,2261,1048,14,0,19085
13-07-2020,Tamil Nadu,Thoothukkudi,2385,1095,16,0,19085
14-07-2020,Tamil Nadu,Thoothukkudi,2497,1121,17,0,19085
15-07-2020,Tamil Nadu,Thoothukkudi,2766,1128,19,0,19085
16-07-2020,Tamil Nadu,Thoothukkudi,2940,1212,21,0,19085
17-07-2020,Tamil Nadu,Thoothukkudi,3129,1339,22,0,19085
18-07-2020,Tamil Nadu,Thoothukkudi,3290,1381,23,0,19085
19-07-2020,Tamil Nadu,Thoothukkudi,3441,1425,24,0,19085
20-07-2020,Tamil Nadu,Thoothukkudi,3643,1541,25,0,19085
21-07-2020,Tamil Nadu,Thoothukkudi,3914,1781,26,0,19085
22-07-2020,Tamil Nadu,Thoothukkudi,4241,1983,26,0,19085
23-07-2020,Tamil Nadu,Thoothukkudi,4656,2158,26,0,49288
24-07-2020,Tamil Nadu,Thoothukkudi,4971,2590,27,0,49288
25-07-2020,Tamil Nadu,Thoothukkudi,5291,2897,28,0,49288
26-07-2020,Tamil Nadu,Thoothukkudi,5542,3199,29,0,49288
27-07-2020,Tamil Nadu,Thoothukkudi,5896,3428,29,0,49288
28-07-2020,Tamil Nadu,Thoothukkudi,6278,3747,36,0,49288
29-07-2020,Tamil Nadu,Thoothukkudi,6591,4124,38,0,49288
30-07-2020,Tamil Nadu,Thoothukkudi,6812,4494,43,0,49288
31-07-2020,Tamil Nadu,Thoothukkudi,7107,4846,47,0,49288
01-08-2020,Tamil Nadu,Thoothukkudi,7350,5183,48,0,49288
02-08-2020,Tamil Nadu,Thoothukkudi,7628,5424,54,0,49288
03-08-2020,Tamil Nadu,Thoothukkudi,7846,5651,58,0,49288
04-08-2020,Tamil Nadu,Thoothukkudi,8035,6000,58,0,49288
05-08-2020,Tamil Nadu,Thoothukkudi,8210,6311,59,0,49288
06-08-2020,Tamil Nadu,Thoothukkudi,8450,6557,61,0,49288
07-08-2020,Tamil Nadu,Thoothukkudi,8648,6797,67,0,49288
08-08-2020,Tamil Nadu,Thoothukkudi,8905,7026,69,0,49288
09-08-2020,Tamil Nadu,Thoothukkudi,9159,7263,75,0,49288
10-08-2020,Tamil Nadu,Thoothukkudi,9357,7484,80,0,49288
11-08-2020,Tamil Nadu,Thoothukkudi,9469,7718,80,0,49288
12-08-2020,Tamil Nadu,Thoothukkudi,9626,7925,82,0,49288
13-08-2020,Tamil Nadu,Thoothukkudi,9730,8150,82,0,49288
14-08-2020,Tamil Nadu,Thoothukkudi,9790,8372,83,0,49288
15-08-2020,Tamil Nadu,Thoothukkudi,9869,8556,86,0,49288
16-08-2020,Tamil Nadu,Thoothukkudi,9964,8751,89,0,49288
17-08-2020,Tamil Nadu,Thoothukkudi,10040,8929,89,0,49288
18-08-2020,Tamil Nadu,Thoothukkudi,10108,9146,90,0,49288
19-08-2020,Tamil Nadu,Thoothukkudi,10210,9331,93,0,49288
20-08-2020,Tamil Nadu,Thoothukkudi,10293,9541,94,0,49288
21-08-2020,Tamil Nadu,Thoothukkudi,10422,9690,95,0,49288
22-08-2020,Tamil Nadu,Thoothukkudi,10544,9837,97,0,49288
23-08-2020,Tamil Nadu,Thoothukkudi,10635,9949,98,0,49288
24-08-2020,Tamil Nadu,Thoothukkudi,10736,10006,103,0,49288
25-08-2020,Tamil Nadu,Thoothukkudi,10801,10028,105,0,49288
26-08-2020,Tamil Nadu,Thoothukkudi,10909,10050,107,0,49288
27-08-2020,Tamil Nadu,Thoothukkudi,11008,10082,107,0,49288
28-08-2020,Tamil Nadu,Thoothukkudi,11112,10143,110,0,49288
29-08-2020,Tamil Nadu,Thoothukkudi,11201,10241,111,0,49288
30-08-2020,Tamil Nadu,Thoothukkudi,11296,10318,111,0,49288
31-08-2020,Tamil Nadu,Thoothukkudi,11409,10381,112,0,49288
01-09-2020,Tamil Nadu,Thoothukkudi,11475,10478,113,0,49288
02-09-2020,Tamil Nadu,Thoothukkudi,11532,10577,114,0,49288
03-09-2020,Tamil Nadu,Thoothukkudi,11587,10682,114,0,49288
04-09-2020,Tamil Nadu,Thoothukkudi,11633,10761,115,0,49288
05-09-2020,Tamil Nadu,Thoothukkudi,11680,10856,115,0,49288
06-09-2020,Tamil Nadu,Thoothukkudi,11738,10961,115,0,49288
07-09-2020,Tamil Nadu,Thoothukkudi,11829,11000,115,0,49288
08-09-2020,Tamil Nadu,Thoothukkudi,11894,11065,116,0,49288
09-09-2020,Tamil Nadu,Thoothukkudi,11952,11148,117,0,49288
10-09-2020,Tamil Nadu,Thoothukkudi,12066,11240,118,0,49288
11-09-2020,Tamil Nadu,Thoothukkudi,12167,11339,118,0,49288
12-09-2020,Tamil Nadu,Thoothukkudi,12251,11438,119,0,49288
13-09-2020,Tamil Nadu,Thoothukkudi,12300,11500,119,0,49288
14-09-2020,Tamil Nadu,Thoothukkudi,12374,11546,119,0,49288
15-09-2020,Tamil Nadu,Thoothukkudi,12458,11620,119,0,49288
16-09-2020,Tamil Nadu,Thoothukkudi,12543,11660,119,0,49288
17-09-2020,Tamil Nadu,Thoothukkudi,12620,11712,119,0,49288
18-09-2020,Tamil Nadu,Thoothukkudi,12710,11792,119,0,49288
19-09-2020,Tamil Nadu,Thoothukkudi,12775,11886,119,0,49288
20-09-2020,Tamil Nadu,Thoothukkudi,12858,11959,120,0,49288
21-09-2020,Tamil Nadu,Thoothukkudi,12956,12033,120,0,49288
22-09-2020,Tamil Nadu,Thoothukkudi,13016,12121,120,0,49288
23-09-2020,Tamil Nadu,Thoothukkudi,13071,12201,120,0,49288
24-09-2020,Tamil Nadu,Thoothukkudi,13110,12261,120,0,49288
25-09-2020,Tamil Nadu,Thoothukkudi,13164,12362,120,0,49288
26-09-2020,Tamil Nadu,Thoothukkudi,13214,12461,121,0,49288
