Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Vellore,23,13,1,0,
27-04-2020,Tamil Nadu,Vellore,23,13,1,0,
28-04-2020,Tamil Nadu,Vellore,23,13,1,0,
29-04-2020,Tamil Nadu,Vellore,23,14,1,0,
30-04-2020,Tamil Nadu,Vellore,23,14,1,0,
01-05-2020,Tamil Nadu,Vellore,23,14,1,0,
02-05-2020,Tamil Nadu,Vellore,23,16,1,0,
03-05-2020,Tamil Nadu,Vellore,23,16,1,0,
04-05-2020,Tamil Nadu,Vellore,23,16,1,0,
05-05-2020,Tamil Nadu,Vellore,23,16,1,0,
06-05-2020,Tamil Nadu,Vellore,29,16,1,0,
07-05-2020,Tamil Nadu,Vellore,30,16,1,0,
08-05-2020,Tamil Nadu,Vellore,30,17,1,0,
09-05-2020,Tamil Nadu,Vellore,30,17,1,0,
10-05-2020,Tamil Nadu,Vellore,33,17,1,0,
11-05-2020,Tamil Nadu,Vellore,34,18,1,0,
12-05-2020,Tamil Nadu,Vellore,35,18,1,0,
13-05-2020,Tamil Nadu,Vellore,35,20,1,0,
14-05-2020,Tamil Nadu,Vellore,34,20,1,0,
15-05-2020,Tamil Nadu,Vellore,34,20,1,0,
16-05-2020,Tamil Nadu,Vellore,35,21,1,0,
17-05-2020,Tamil Nadu,Vellore,35,22,1,0,
18-05-2020,Tamil Nadu,Vellore,35,22,1,0,
19-05-2020,Tamil Nadu,Vellore,35,26,1,0,
20-05-2020,Tamil Nadu,Vellore,35,26,1,0,
21-05-2020,Tamil Nadu,Vellore,36,28,1,0,
22-05-2020,Tamil Nadu,Vellore,39,28,1,0,
23-05-2020,Tamil Nadu,Vellore,39,31,1,0,
24-05-2020,Tamil Nadu,Vellore,39,31,1,0,
25-05-2020,Tamil Nadu,Vellore,39,31,1,0,
26-05-2020,Tamil Nadu,Vellore,42,31,1,0,
27-05-2020,Tamil Nadu,Vellore,40,33,1,0,
28-05-2020,Tamil Nadu,Vellore,42,33,1,0,
29-05-2020,Tamil Nadu,Vellore,42,33,1,0,
30-05-2020,Tamil Nadu,Vellore,42,33,1,0,
31-05-2020,Tamil Nadu,Vellore,43,34,1,0,
01-06-2020,Tamil Nadu,Vellore,47,34,1,0,
02-06-2020,Tamil Nadu,Vellore,47,34,1,0,
03-06-2020,Tamil Nadu,Vellore,51,37,1,0,
04-06-2020,Tamil Nadu,Vellore,52,38,2,0,
05-06-2020,Tamil Nadu,Vellore,55,38,2,0,
06-06-2020,Tamil Nadu,Vellore,55,38,2,0,
07-06-2020,Tamil Nadu,Vellore,64,38,3,0,16279
08-06-2020,Tamil Nadu,Vellore,95,38,3,0,16279
09-06-2020,Tamil Nadu,Vellore,111,41,3,0,16279
10-06-2020,Tamil Nadu,Vellore,122,43,3,0,16279
11-06-2020,Tamil Nadu,Vellore,131,43,3,0,16279
12-06-2020,Tamil Nadu,Vellore,129,48,3,0,16279
13-06-2020,Tamil Nadu,Vellore,142,49,3,0,16279
14-06-2020,Tamil Nadu,Vellore,152,50,3,0,16279
15-06-2020,Tamil Nadu,Vellore,173,56,3,0,16279
16-06-2020,Tamil Nadu,Vellore,179,56,3,0,16279
17-06-2020,Tamil Nadu,Vellore,194,68,3,0,16279
18-06-2020,Tamil Nadu,Vellore,248,78,3,0,16279
19-06-2020,Tamil Nadu,Vellore,354,81,3,0,21123
20-06-2020,Tamil Nadu,Vellore,389,103,3,0,21909
21-06-2020,Tamil Nadu,Vellore,477,106,3,0,21909
22-06-2020,Tamil Nadu,Vellore,491,111,3,0,21909
23-06-2020,Tamil Nadu,Vellore,526,114,3,0,21909
24-06-2020,Tamil Nadu,Vellore,580,153,3,0,21909
25-06-2020,Tamil Nadu,Vellore,750,168,3,0,21909
26-06-2020,Tamil Nadu,Vellore,901,214,3,0,21909
27-06-2020,Tamil Nadu,Vellore,1011,193,3,0,21909
28-06-2020,Tamil Nadu,Vellore,1095,246,4,0,21909
29-06-2020,Tamil Nadu,Vellore,1241,286,4,0,21909
30-06-2020,Tamil Nadu,Vellore,1308,340,4,0,21909
01-07-2020,Tamil Nadu,Vellore,1384,345,4,0,21909
02-07-2020,Tamil Nadu,Vellore,1521,380,4,0,21909
03-07-2020,Tamil Nadu,Vellore,1667,443,4,0,21909
04-07-2020,Tamil Nadu,Vellore,1752,537,6,0,21909
05-07-2020,Tamil Nadu,Vellore,1932,579,6,0,21909
06-07-2020,Tamil Nadu,Vellore,1980,687,6,0,21909
07-07-2020,Tamil Nadu,Vellore,2097,771,6,0,21909
08-07-2020,Tamil Nadu,Vellore,2258,818,6,0,21909
09-07-2020,Tamil Nadu,Vellore,2344,897,6,0,21909
10-07-2020,Tamil Nadu,Vellore,2486,982,6,0,21909
11-07-2020,Tamil Nadu,Vellore,2622,1034,6,0,21909
12-07-2020,Tamil Nadu,Vellore,2772,1038,6,0,21909
13-07-2020,Tamil Nadu,Vellore,2902,1072,6,0,21909
