Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Viluppuram,51,22,2,0,
27-04-2020,Tamil Nadu,Viluppuram,52,22,2,0,
28-04-2020,Tamil Nadu,Viluppuram,52,22,2,0,
29-04-2020,Tamil Nadu,Viluppuram,54,23,2,0,
30-04-2020,Tamil Nadu,Viluppuram,54,23,2,0,
01-05-2020,Tamil Nadu,Viluppuram,55,26,2,0,
02-05-2020,Tamil Nadu,Viluppuram,57,27,2,0,
03-05-2020,Tamil Nadu,Viluppuram,90,27,2,0,
04-05-2020,Tamil Nadu,Viluppuram,139,29,2,0,
05-05-2020,Tamil Nadu,Viluppuram,164,29,2,0,
06-05-2020,Tamil Nadu,Viluppuram,169,29,2,0,
07-05-2020,Tamil Nadu,Viluppuram,214,32,2,0,
08-05-2020,Tamil Nadu,Viluppuram,235,32,2,0,
09-05-2020,Tamil Nadu,Viluppuram,302,35,2,0,
10-05-2020,Tamil Nadu,Viluppuram,308,42,2,0,
11-05-2020,Tamil Nadu,Viluppuram,308,48,2,0,
12-05-2020,Tamil Nadu,Viluppuram,309,53,2,0,
13-05-2020,Tamil Nadu,Viluppuram,316,53,2,0,
14-05-2020,Tamil Nadu,Viluppuram,306,53,2,0,
15-05-2020,Tamil Nadu,Viluppuram,306,128,2,0,
16-05-2020,Tamil Nadu,Viluppuram,308,153,2,0,
17-05-2020,Tamil Nadu,Viluppuram,308,276,2,0,
18-05-2020,Tamil Nadu,Viluppuram,312,276,2,0,
19-05-2020,Tamil Nadu,Viluppuram,312,278,2,0,
20-05-2020,Tamil Nadu,Viluppuram,319,278,2,0,
21-05-2020,Tamil Nadu,Viluppuram,323,294,2,0,
22-05-2020,Tamil Nadu,Viluppuram,323,296,2,0,
23-05-2020,Tamil Nadu,Viluppuram,327,300,2,0,
24-05-2020,Tamil Nadu,Viluppuram,327,300,2,0,
25-05-2020,Tamil Nadu,Viluppuram,327,300,2,0,
26-05-2020,Tamil Nadu,Viluppuram,327,303,2,0,
27-05-2020,Tamil Nadu,Viluppuram,339,305,2,0,
28-05-2020,Tamil Nadu,Viluppuram,342,305,2,0,
29-05-2020,Tamil Nadu,Viluppuram,343,307,2,0,
30-05-2020,Tamil Nadu,Viluppuram,366,315,2,0,
31-05-2020,Tamil Nadu,Viluppuram,367,318,2,0,
01-06-2020,Tamil Nadu,Viluppuram,375,318,2,0,
02-06-2020,Tamil Nadu,Viluppuram,376,323,2,0,
03-06-2020,Tamil Nadu,Viluppuram,377,323,2,0,
04-06-2020,Tamil Nadu,Viluppuram,356,323,2,0,
05-06-2020,Tamil Nadu,Viluppuram,363,323,2,0,
06-06-2020,Tamil Nadu,Viluppuram,369,323,2,0,
07-06-2020,Tamil Nadu,Viluppuram,380,325,2,0,9795
08-06-2020,Tamil Nadu,Viluppuram,384,327,3,0,9795
09-06-2020,Tamil Nadu,Viluppuram,385,327,3,0,9795
10-06-2020,Tamil Nadu,Viluppuram,392,329,3,0,9795
11-06-2020,Tamil Nadu,Viluppuram,399,333,3,0,9795
12-06-2020,Tamil Nadu,Viluppuram,408,344,3,0,9795
13-06-2020,Tamil Nadu,Viluppuram,421,345,4,0,9795
14-06-2020,Tamil Nadu,Viluppuram,437,363,5,0,9795
15-06-2020,Tamil Nadu,Viluppuram,440,364,5,0,9795
16-06-2020,Tamil Nadu,Viluppuram,458,371,5,0,9795
17-06-2020,Tamil Nadu,Viluppuram,478,371,6,0,9795
18-06-2020,Tamil Nadu,Viluppuram,505,376,7,0,9795
19-06-2020,Tamil Nadu,Viluppuram,528,384,7,0,17772
20-06-2020,Tamil Nadu,Viluppuram,551,387,8,0,18440
21-06-2020,Tamil Nadu,Viluppuram,581,390,10,0,18440
22-06-2020,Tamil Nadu,Viluppuram,606,391,12,0,18440
23-06-2020,Tamil Nadu,Viluppuram,617,396,12,0,18440
24-06-2020,Tamil Nadu,Viluppuram,654,424,12,0,18440
25-06-2020,Tamil Nadu,Viluppuram,695,433,12,0,18440
26-06-2020,Tamil Nadu,Viluppuram,712,434,12,0,18440
27-06-2020,Tamil Nadu,Viluppuram,765,452,13,0,18440
28-06-2020,Tamil Nadu,Viluppuram,814,466,14,0,18440
29-06-2020,Tamil Nadu,Viluppuram,867,490,14,0,18440
30-06-2020,Tamil Nadu,Viluppuram,915,499,15,0,18440
01-07-2020,Tamil Nadu,Viluppuram,944,576,15,0,18440
02-07-2020,Tamil Nadu,Viluppuram,986,582,16,0,18440
03-07-2020,Tamil Nadu,Viluppuram,1020,601,17,0,18440
04-07-2020,Tamil Nadu,Viluppuram,1077,604,17,0,18440
05-07-2020,Tamil Nadu,Viluppuram,1186,604,17,0,18440
06-07-2020,Tamil Nadu,Viluppuram,1232,607,18,0,18440
07-07-2020,Tamil Nadu,Viluppuram,1233,728,18,0,18440
08-07-2020,Tamil Nadu,Viluppuram,1339,760,18,0,18440
09-07-2020,Tamil Nadu,Viluppuram,1370,781,18,0,18440
10-07-2020,Tamil Nadu,Viluppuram,1411,883,19,0,18440
11-07-2020,Tamil Nadu,Viluppuram,1455,921,19,0,18440
12-07-2020,Tamil Nadu,Viluppuram,1459,954,19,0,18440
13-07-2020,Tamil Nadu,Viluppuram,1602,993,19,0,18440
14-07-2020,Tamil Nadu,Viluppuram,1723,1034,20,0,18440
15-07-2020,Tamil Nadu,Viluppuram,1820,1077,22,0,18440
16-07-2020,Tamil Nadu,Viluppuram,1926,1197,25,0,18440
17-07-2020,Tamil Nadu,Viluppuram,2039,1235,26,0,18440
18-07-2020,Tamil Nadu,Viluppuram,2136,1266,27,0,18440
19-07-2020,Tamil Nadu,Viluppuram,2212,1403,28,0,18440
20-07-2020,Tamil Nadu,Viluppuram,2299,1493,29,0,18440
21-07-2020,Tamil Nadu,Viluppuram,2396,1641,29,0,18440
22-07-2020,Tamil Nadu,Viluppuram,2501,1762,29,0,18440
23-07-2020,Tamil Nadu,Viluppuram,2613,1832,31,0,52064
24-07-2020,Tamil Nadu,Viluppuram,2766,1985,31,0,52064
25-07-2020,Tamil Nadu,Viluppuram,2923,2100,32,0,52064
26-07-2020,Tamil Nadu,Viluppuram,3131,2223,32,0,52064
27-07-2020,Tamil Nadu,Viluppuram,3270,2275,32,0,52064
28-07-2020,Tamil Nadu,Viluppuram,3361,2356,33,0,52064
29-07-2020,Tamil Nadu,Viluppuram,3499,2504,33,0,52064
30-07-2020,Tamil Nadu,Viluppuram,3594,2640,35,0,52064
31-07-2020,Tamil Nadu,Viluppuram,3764,2795,35,0,52064
