Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
27-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
28-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
29-04-2020,Tamil Nadu,Virudhunagar,32,16,0,0,
30-04-2020,Tamil Nadu,Virudhunagar,32,19,0,0,
01-05-2020,Tamil Nadu,Virudhunagar,32,19,0,0,
02-05-2020,Tamil Nadu,Virudhunagar,32,19,0,0,
03-05-2020,Tamil Nadu,Virudhunagar,32,19,0,0,
04-05-2020,Tamil Nadu,Virudhunagar,34,23,0,0,
05-05-2020,Tamil Nadu,Virudhunagar,35,23,0,0,
06-05-2020,Tamil Nadu,Virudhunagar,35,26,0,0,
07-05-2020,Tamil Nadu,Virudhunagar,35,28,0,0,
08-05-2020,Tamil Nadu,Virudhunagar,38,28,0,0,
09-05-2020,Tamil Nadu,Virudhunagar,38,35,0,0,
10-05-2020,Tamil Nadu,Virudhunagar,40,35,0,0,
11-05-2020,Tamil Nadu,Virudhunagar,41,35,0,0,
12-05-2020,Tamil Nadu,Virudhunagar,45,31,0,0,
13-05-2020,Tamil Nadu,Virudhunagar,45,31,0,0,
14-05-2020,Tamil Nadu,Virudhunagar,44,32,0,0,
15-05-2020,Tamil Nadu,Virudhunagar,46,32,0,0,
16-05-2020,Tamil Nadu,Virudhunagar,47,34,0,0,
17-05-2020,Tamil Nadu,Virudhunagar,51,35,0,0,
18-05-2020,Tamil Nadu,Virudhunagar,54,37,0,0,
19-05-2020,Tamil Nadu,Virudhunagar,55,37,0,0,
20-05-2020,Tamil Nadu,Virudhunagar,61,37,0,0,
21-05-2020,Tamil Nadu,Virudhunagar,69,40,0,0,
22-05-2020,Tamil Nadu,Virudhunagar,95,43,0,0,
23-05-2020,Tamil Nadu,Virudhunagar,97,44,0,0,
24-05-2020,Tamil Nadu,Virudhunagar,110,44,0,0,
25-05-2020,Tamil Nadu,Virudhunagar,127,44,0,0,
26-05-2020,Tamil Nadu,Virudhunagar,128,46,0,0,
27-05-2020,Tamil Nadu,Virudhunagar,116,47,0,0,
28-05-2020,Tamil Nadu,Virudhunagar,119,50,0,0,
29-05-2020,Tamil Nadu,Virudhunagar,120,50,0,0,
30-05-2020,Tamil Nadu,Virudhunagar,121,58,0,0,
31-05-2020,Tamil Nadu,Virudhunagar,123,58,0,0,
01-06-2020,Tamil Nadu,Virudhunagar,124,58,0,0,
02-06-2020,Tamil Nadu,Virudhunagar,127,62,0,0,
03-06-2020,Tamil Nadu,Virudhunagar,128,90,0,0,
04-06-2020,Tamil Nadu,Virudhunagar,136,98,0,0,
05-06-2020,Tamil Nadu,Virudhunagar,143,98,0,0,
06-06-2020,Tamil Nadu,Virudhunagar,144,115,0,0,
07-06-2020,Tamil Nadu,Virudhunagar,149,116,0,0,10803
08-06-2020,Tamil Nadu,Virudhunagar,153,117,0,0,10803
09-06-2020,Tamil Nadu,Virudhunagar,154,124,0,0,10803
10-06-2020,Tamil Nadu,Virudhunagar,159,124,0,0,10803
11-06-2020,Tamil Nadu,Virudhunagar,154,127,0,0,10803
12-06-2020,Tamil Nadu,Virudhunagar,161,127,0,0,10803
13-06-2020,Tamil Nadu,Virudhunagar,163,127,0,0,10803
14-06-2020,Tamil Nadu,Virudhunagar,170,136,1,0,10803
15-06-2020,Tamil Nadu,Virudhunagar,179,138,1,0,10803
16-06-2020,Tamil Nadu,Virudhunagar,188,142,1,0,10803
17-06-2020,Tamil Nadu,Virudhunagar,168,134,1,0,10803
18-06-2020,Tamil Nadu,Virudhunagar,181,134,1,0,10803
19-06-2020,Tamil Nadu,Virudhunagar,179,132,1,0,13819
20-06-2020,Tamil Nadu,Virudhunagar,190,136,1,0,14024
21-06-2020,Tamil Nadu,Virudhunagar,203,138,1,0,14024
22-06-2020,Tamil Nadu,Virudhunagar,208,139,1,0,14024
23-06-2020,Tamil Nadu,Virudhunagar,234,140,1,0,14024
24-06-2020,Tamil Nadu,Virudhunagar,275,148,1,0,14024
25-06-2020,Tamil Nadu,Virudhunagar,283,153,3,0,14024
26-06-2020,Tamil Nadu,Virudhunagar,314,158,4,0,14024
27-06-2020,Tamil Nadu,Virudhunagar,313,170,5,0,14024
28-06-2020,Tamil Nadu,Virudhunagar,363,175,5,0,14024
29-06-2020,Tamil Nadu,Virudhunagar,444,202,6,0,14024
30-06-2020,Tamil Nadu,Virudhunagar,493,209,6,0,14024
01-07-2020,Tamil Nadu,Virudhunagar,538,231,7,0,14024
02-07-2020,Tamil Nadu,Virudhunagar,614,249,7,0,14024
03-07-2020,Tamil Nadu,Virudhunagar,679,296,7,0,14024
04-07-2020,Tamil Nadu,Virudhunagar,782,346,7,0,14024
05-07-2020,Tamil Nadu,Virudhunagar,895,385,8,0,14024
06-07-2020,Tamil Nadu,Virudhunagar,975,438,9,0,14024
07-07-2020,Tamil Nadu,Virudhunagar,1228,548,10,0,14024
08-07-2020,Tamil Nadu,Virudhunagar,1298,602,10,0,14024
09-07-2020,Tamil Nadu,Virudhunagar,1595,644,10,0,14024
10-07-2020,Tamil Nadu,Virudhunagar,1738,784,11,0,14024
11-07-2020,Tamil Nadu,Virudhunagar,1833,827,12,0,14024
12-07-2020,Tamil Nadu,Virudhunagar,2073,919,16,0,14024
13-07-2020,Tamil Nadu,Virudhunagar,2099,983,17,0,14024
14-07-2020,Tamil Nadu,Virudhunagar,2427,983,19,0,14024
15-07-2020,Tamil Nadu,Virudhunagar,2603,1004,22,0,14024
16-07-2020,Tamil Nadu,Virudhunagar,2749,1065,24,0,14024
17-07-2020,Tamil Nadu,Virudhunagar,2948,1065,24,0,14024
18-07-2020,Tamil Nadu,Virudhunagar,3127,1219,26,0,14024
19-07-2020,Tamil Nadu,Virudhunagar,3393,1295,27,0,14024
20-07-2020,Tamil Nadu,Virudhunagar,3563,1626,28,0,14024
21-07-2020,Tamil Nadu,Virudhunagar,3924,1710,28,0,14024
22-07-2020,Tamil Nadu,Virudhunagar,4287,2181,34,0,14024
23-07-2020,Tamil Nadu,Virudhunagar,4767,2493,37,0,28620
24-07-2020,Tamil Nadu,Virudhunagar,5193,2947,43,0,28620
25-07-2020,Tamil Nadu,Virudhunagar,5573,3164,52,0,28620
26-07-2020,Tamil Nadu,Virudhunagar,5959,3290,57,0,28620
27-07-2020,Tamil Nadu,Virudhunagar,6302,3918,63,0,28620
28-07-2020,Tamil Nadu,Virudhunagar,6884,4331,69,0,28620
29-07-2020,Tamil Nadu,Virudhunagar,7256,4664,74,0,28620
30-07-2020,Tamil Nadu,Virudhunagar,7502,4769,79,0,28620
31-07-2020,Tamil Nadu,Virudhunagar,7865,4957,85,0,28620
01-08-2020,Tamil Nadu,Virudhunagar,8151,6041,90,0,28620
02-08-2020,Tamil Nadu,Virudhunagar,8491,6098,96,0,28620
03-08-2020,Tamil Nadu,Virudhunagar,8843,6336,105,0,28620
04-08-2020,Tamil Nadu,Virudhunagar,9269,6783,109,0,28620
05-08-2020,Tamil Nadu,Virudhunagar,9339,7237,109,0,28620
06-08-2020,Tamil Nadu,Virudhunagar,9441,7416,114,0,28620
07-08-2020,Tamil Nadu,Virudhunagar,9542,7621,116,0,28620
08-08-2020,Tamil Nadu,Virudhunagar,9773,7728,121,0,28620
09-08-2020,Tamil Nadu,Virudhunagar,9966,8066,134,0,28620
10-08-2020,Tamil Nadu,Virudhunagar,10155,8421,139,0,28620
11-08-2020,Tamil Nadu,Virudhunagar,10337,8795,139,0,28620
12-08-2020,Tamil Nadu,Virudhunagar,10629,9055,142,0,28620
13-08-2020,Tamil Nadu,Virudhunagar,10849,9280,144,0,28620
14-08-2020,Tamil Nadu,Virudhunagar,10938,9492,146,0,28620
15-08-2020,Tamil Nadu,Virudhunagar,11107,9684,152,0,28620
16-08-2020,Tamil Nadu,Virudhunagar,11183,10063,157,0,28620
17-08-2020,Tamil Nadu,Virudhunagar,11400,10221,158,0,28620
