Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Chennai,528,161,12,0,
27-04-2020,Tamil Nadu,Chennai,575,195,12,0,
28-04-2020,Tamil Nadu,Chennai,678,195,13,0,
29-04-2020,Tamil Nadu,Chennai,772,210,15,0,
30-04-2020,Tamil Nadu,Chennai,910,214,15,0,
01-05-2020,Tamil Nadu,Chennai,1086,222,16,0,
02-05-2020,Tamil Nadu,Chennai,1260,223,17,0,
03-05-2020,Tamil Nadu,Chennai,1463,250,17,0,
04-05-2020,Tamil Nadu,Chennai,1729,267,18,0,
05-05-2020,Tamil Nadu,Chennai,2007,319,20,0,
06-05-2020,Tamil Nadu,Chennai,2331,330,22,0,
07-05-2020,Tamil Nadu,Chennai,2647,339,23,0,
08-05-2020,Tamil Nadu,Chennai,3046,374,25,0,
09-05-2020,Tamil Nadu,Chennai,3325,545,28,0,
10-05-2020,Tamil Nadu,Chennai,3834,639,29,0,
11-05-2020,Tamil Nadu,Chennai,4372,706,33,0,
12-05-2020,Tamil Nadu,Chennai,4882,749,40,0,
13-05-2020,Tamil Nadu,Chennai,5262,749,43,0,
14-05-2020,Tamil Nadu,Chennai,5637,758,45,0,
15-05-2020,Tamil Nadu,Chennai,5947,783,49,0,
16-05-2020,Tamil Nadu,Chennai,6279,1202,52,0,
17-05-2020,Tamil Nadu,Chennai,6761,1476,54,0,
18-05-2020,Tamil Nadu,Chennai,7125,1600,57,0,85000
19-05-2020,Tamil Nadu,Chennai,7677,1922,59,0,85000
20-05-2020,Tamil Nadu,Chennai,8234,2823,61,0,85000
21-05-2020,Tamil Nadu,Chennai,8801,3048,68,0,85000
22-05-2020,Tamil Nadu,Chennai,9370,3773,70,0,85000
23-05-2020,Tamil Nadu,Chennai,9995,4051,75,0,85000
24-05-2020,Tamil Nadu,Chennai,10582,4844,81,0,85000
25-05-2020,Tamil Nadu,Chennai,11131,5135,87,0,85000
26-05-2020,Tamil Nadu,Chennai,11640,5492,94,0,85000
27-05-2020,Tamil Nadu,Chennai,12202,5800,98,0,85000
28-05-2020,Tamil Nadu,Chennai,12761,6304,109,0,85000
29-05-2020,Tamil Nadu,Chennai,13379,6895,116,0,85000
30-05-2020,Tamil Nadu,Chennai,13995,7321,122,0,85000
31-05-2020,Tamil Nadu,Chennai,14799,7891,132,0,85000
01-06-2020,Tamil Nadu,Chennai,15766,8181,141,0,85000
02-06-2020,Tamil Nadu,Chennai,16575,8554,153,0,85000
03-06-2020,Tamil Nadu,Chennai,17587,9034,153,0,85000
04-06-2020,Tamil Nadu,Chennai,18693,9459,167,0,85000
05-06-2020,Tamil Nadu,Chennai,19809,10210,179,0,85000
06-06-2020,Tamil Nadu,Chennai,20993,10572,198,0,85000
07-06-2020,Tamil Nadu,Chennai,22149,10954,213,0,121950
08-06-2020,Tamil Nadu,Chennai,23298,11256,225,0,121950
09-06-2020,Tamil Nadu,Chennai,24545,11730,241,0,121950
10-06-2020,Tamil Nadu,Chennai,25937,12591,257,0,121950
11-06-2020,Tamil Nadu,Chennai,27398,13808,276,0,121950
12-06-2020,Tamil Nadu,Chennai,28924,14723,291,0,121950
13-06-2020,Tamil Nadu,Chennai,30444,15947,314,0,121950
14-06-2020,Tamil Nadu,Chennai,31896,16881,344,0,121950
15-06-2020,Tamil Nadu,Chennai,33244,17476,379,0,121950
16-06-2020,Tamil Nadu,Chennai,34245,18565,419,0,185000
17-06-2020,Tamil Nadu,Chennai,35556,19027,458,0,185000
18-06-2020,Tamil Nadu,Chennai,37070,19686,498,0,185000
19-06-2020,Tamil Nadu,Chennai,38327,21098,526,0,165609
20-06-2020,Tamil Nadu,Chennai,39641,21796,556,0,170701
21-06-2020,Tamil Nadu,Chennai,41172,22887,598,0,170701
22-06-2020,Tamil Nadu,Chennai,42752,23756,620,0,170701
23-06-2020,Tamil Nadu,Chennai,44205,24670,642,0,170701
24-06-2020,Tamil Nadu,Chennai,45814,26472,665,0,170701
25-06-2020,Tamil Nadu,Chennai,47650,27986,691,0,170701
26-06-2020,Tamil Nadu,Chennai,49690,28823,727,0,170701
27-06-2020,Tamil Nadu,Chennai,51699,31045,773,0,170701
28-06-2020,Tamil Nadu,Chennai,53762,31858,806,0,170701
29-06-2020,Tamil Nadu,Chennai,55969,33441,843,0,170701
30-06-2020,Tamil Nadu,Chennai,58327,34828,885,0,170701
01-07-2020,Tamil Nadu,Chennai,60533,36826,926,0,250753
02-07-2020,Tamil Nadu,Chennai,62598,38947,961,0,260897
03-07-2020,Tamil Nadu,Chennai,64689,40111,993,0,271039
04-07-2020,Tamil Nadu,Chennai,66538,41309,1030,0,282153
05-07-2020,Tamil Nadu,Chennai,68254,42309,1051,0,292458
06-07-2020,Tamil Nadu,Chennai,70017,44882,1079,0,301873
07-07-2020,Tamil Nadu,Chennai,71230,47735,1117,0,312012
08-07-2020,Tamil Nadu,Chennai,72500,49587,1143,0,320140
09-07-2020,Tamil Nadu,Chennai,73728,52287,1166,0,328795
10-07-2020,Tamil Nadu,Chennai,74969,55156,1193,0,337984
11-07-2020,Tamil Nadu,Chennai,76158,56947,1218,0,346392
12-07-2020,Tamil Nadu,Chennai,77338,58615,1250,0,356440
13-07-2020,Tamil Nadu,Chennai,78573,60694,1274,0,365041
14-07-2020,Tamil Nadu,Chennai,79662,62552,1292,0,374524
15-07-2020,Tamil Nadu,Chennai,80961,64036,1315,0,385184
16-07-2020,Tamil Nadu,Chennai,82128,65748,1338,0,396518
17-07-2020,Tamil Nadu,Chennai,83377,67077,1373,0,408777
18-07-2020,Tamil Nadu,Chennai,84598,68193,1404,0,421580
19-07-2020,Tamil Nadu,Chennai,85859,69382,1431,0,435610
20-07-2020,Tamil Nadu,Chennai,87235,70651,1453,0,449384
21-07-2020,Tamil Nadu,Chennai,88377,71949,1472,0,460327
22-07-2020,Tamil Nadu,Chennai,89561,73681,1936,0,472778
23-07-2020,Tamil Nadu,Chennai,90900,75384,1944,0,490804
24-07-2020,Tamil Nadu,Chennai,92206,76494,1966,0,503350
25-07-2020,Tamil Nadu,Chennai,93537,77625,1986,0,514387
26-07-2020,Tamil Nadu,Chennai,94695,78940,2008,0,525410
27-07-2020,Tamil Nadu,Chennai,95857,80761,2029,0,536604
28-07-2020,Tamil Nadu,Chennai,96438,81530,2053,0,547951
29-07-2020,Tamil Nadu,Chennai,97575,82764,2073,0,560610
30-07-2020,Tamil Nadu,Chennai,98767,83890,2092,0,573490
31-07-2020,Tamil Nadu,Chennai,99794,84916,2110,0,584866
01-08-2020,Tamil Nadu,Chennai,100877,86301,2137,0,596908
02-08-2020,Tamil Nadu,Chennai,101951,87604,2154,0,609334
03-08-2020,Tamil Nadu,Chennai,102985,88826,2173,0,620417
04-08-2020,Tamil Nadu,Chennai,104027,89969,2199,0,630644
05-08-2020,Tamil Nadu,Chennai,105004,90966,2224,0,642429
06-08-2020,Tamil Nadu,Chennai,106096,92128,2245,0,654024
07-08-2020,Tamil Nadu,Chennai,107109,93231,2269,0,666230
08-08-2020,Tamil Nadu,Chennai,108124,94100,2287,0,680257
09-08-2020,Tamil Nadu,Chennai,109117,95161,2299,0,693049
10-08-2020,Tamil Nadu,Chennai,110121,96466,2324,0,705436
11-08-2020,Tamil Nadu,Chennai,111054,97574,2347,0,716464
12-08-2020,Tamil Nadu,Chennai,112059,98736,2367,0,728913
13-08-2020,Tamil Nadu,Chennai,113058,99806,2381,0,739938
14-08-2020,Tamil Nadu,Chennai,114260,100643,2405,0,752683
15-08-2020,Tamil Nadu,Chennai,115444,101689,2431,0,764433
16-08-2020,Tamil Nadu,Chennai,116650,102698,2451,0,775808
17-08-2020,Tamil Nadu,Chennai,117839,103358,2475,0,787604
18-08-2020,Tamil Nadu,Chennai,119059,104455,2498,0,799029
19-08-2020,Tamil Nadu,Chennai,120267,105494,2514,0,811554
20-08-2020,Tamil Nadu,Chennai,121450,106626,2534,0,824214
21-08-2020,Tamil Nadu,Chennai,122757,107492,2554,0,837196
22-08-2020,Tamil Nadu,Chennai,124071,108545,2561,0,849301
23-08-2020,Tamil Nadu,Chennai,125389,109585,2578,0,861926
24-08-2020,Tamil Nadu,Chennai,126677,110819,2600,0,875050
25-08-2020,Tamil Nadu,Chennai,127949,111955,2620,0,887153
26-08-2020,Tamil Nadu,Chennai,129247,113092,2635,0,900493
27-08-2020,Tamil Nadu,Chennai,130564,114448,2663,0,913950
28-08-2020,Tamil Nadu,Chennai,131869,115649,2687,0,927777
29-08-2020,Tamil Nadu,Chennai,133173,116808,2709,0,941342
30-08-2020,Tamil Nadu,Chennai,134436,118235,2726,0,954442
31-08-2020,Tamil Nadu,Chennai,135597,119626,2744,0,967585
01-09-2020,Tamil Nadu,Chennai,136697,120820,2767,0,980908
02-09-2020,Tamil Nadu,Chennai,137732,122407,2785,0,994038
03-09-2020,Tamil Nadu,Chennai,138724,123851,2811,0,1005363
