Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Coimbatore,141,94,0,0,
27-04-2020,Tamil Nadu,Coimbatore,141,120,0,0,
28-04-2020,Tamil Nadu,Coimbatore,141,120,0,0,
29-04-2020,Tamil Nadu,Coimbatore,141,121,0,0,
30-04-2020,Tamil Nadu,Coimbatore,141,125,0,0,
01-05-2020,Tamil Nadu,Coimbatore,141,127,0,0,
02-05-2020,Tamil Nadu,Coimbatore,142,127,0,0,
03-05-2020,Tamil Nadu,Coimbatore,146,133,1,0,
04-05-2020,Tamil Nadu,Coimbatore,146,133,1,0,
05-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
06-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
07-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
08-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
09-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
10-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
11-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
12-05-2020,Tamil Nadu,Coimbatore,146,140,1,0,
13-05-2020,Tamil Nadu,Coimbatore,146,144,1,0,
14-05-2020,Tamil Nadu,Coimbatore,146,144,1,0,
15-05-2020,Tamil Nadu,Coimbatore,146,144,1,0,
16-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
17-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
18-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
19-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
20-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
21-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
22-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
23-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
24-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
25-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
26-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
27-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
28-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
29-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
30-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
31-05-2020,Tamil Nadu,Coimbatore,145,144,1,0,
01-06-2020,Tamil Nadu,Coimbatore,150,144,1,0,
02-06-2020,Tamil Nadu,Coimbatore,150,144,1,0,
03-06-2020,Tamil Nadu,Coimbatore,159,144,1,0,
04-06-2020,Tamil Nadu,Coimbatore,153,144,1,0,
05-06-2020,Tamil Nadu,Coimbatore,153,144,1,0,
06-06-2020,Tamil Nadu,Coimbatore,158,145,1,0,
07-06-2020,Tamil Nadu,Coimbatore,161,145,1,0,22872
08-06-2020,Tamil Nadu,Coimbatore,161,147,1,0,22872
09-06-2020,Tamil Nadu,Coimbatore,166,147,1,0,22872
10-06-2020,Tamil Nadu,Coimbatore,167,147,1,0,22872
11-06-2020,Tamil Nadu,Coimbatore,170,148,1,0,22872
12-06-2020,Tamil Nadu,Coimbatore,173,148,1,0,22872
13-06-2020,Tamil Nadu,Coimbatore,173,149,0,0,22872
14-06-2020,Tamil Nadu,Coimbatore,176,149,1,0,22872
15-06-2020,Tamil Nadu,Coimbatore,180,149,1,0,22872
16-06-2020,Tamil Nadu,Coimbatore,183,150,1,0,22872
17-06-2020,Tamil Nadu,Coimbatore,187,158,1,0,22872
