Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
27-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
28-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
29-04-2020,Tamil Nadu,Cuddalore,26,18,0,0,
30-04-2020,Tamil Nadu,Cuddalore,27,21,0,0,
01-05-2020,Tamil Nadu,Cuddalore,28,26,0,0,
02-05-2020,Tamil Nadu,Cuddalore,30,26,0,0,
03-05-2020,Tamil Nadu,Cuddalore,39,26,0,0,
04-05-2020,Tamil Nadu,Cuddalore,161,26,0,0,
05-05-2020,Tamil Nadu,Cuddalore,229,26,0,0,
06-05-2020,Tamil Nadu,Cuddalore,324,26,0,0,
07-05-2020,Tamil Nadu,Cuddalore,356,26,0,0,
08-05-2020,Tamil Nadu,Cuddalore,390,26,0,0,
09-05-2020,Tamil Nadu,Cuddalore,393,27,0,0,
10-05-2020,Tamil Nadu,Cuddalore,394,27,0,0,
11-05-2020,Tamil Nadu,Cuddalore,394,27,1,0,
12-05-2020,Tamil Nadu,Cuddalore,395,28,1,0,
13-05-2020,Tamil Nadu,Cuddalore,412,28,1,0,
14-05-2020,Tamil Nadu,Cuddalore,413,28,1,0,
15-05-2020,Tamil Nadu,Cuddalore,416,37,1,0,
16-05-2020,Tamil Nadu,Cuddalore,416,251,1,0,
17-05-2020,Tamil Nadu,Cuddalore,417,259,1,0,
18-05-2020,Tamil Nadu,Cuddalore,418,362,1,0,
19-05-2020,Tamil Nadu,Cuddalore,420,377,1,0,
20-05-2020,Tamil Nadu,Cuddalore,420,381,1,0,
21-05-2020,Tamil Nadu,Cuddalore,421,401,1,0,
22-05-2020,Tamil Nadu,Cuddalore,421,405,1,0,
23-05-2020,Tamil Nadu,Cuddalore,423,407,1,0,
24-05-2020,Tamil Nadu,Cuddalore,427,409,1,0,
25-05-2020,Tamil Nadu,Cuddalore,427,414,1,0,
26-05-2020,Tamil Nadu,Cuddalore,435,414,1,0,
27-05-2020,Tamil Nadu,Cuddalore,439,416,1,0,
28-05-2020,Tamil Nadu,Cuddalore,443,416,1,0,
29-05-2020,Tamil Nadu,Cuddalore,448,419,1,0,
30-05-2020,Tamil Nadu,Cuddalore,454,420,1,0,
31-05-2020,Tamil Nadu,Cuddalore,462,420,1,0,
01-06-2020,Tamil Nadu,Cuddalore,463,421,1,0,
02-06-2020,Tamil Nadu,Cuddalore,464,421,1,0,
03-06-2020,Tamil Nadu,Cuddalore,470,432,1,0,
04-06-2020,Tamil Nadu,Cuddalore,472,432,1,0,
05-06-2020,Tamil Nadu,Cuddalore,475,435,1,0,
06-06-2020,Tamil Nadu,Cuddalore,475,439,1,0,
07-06-2020,Tamil Nadu,Cuddalore,481,443,1,0,11918
08-06-2020,Tamil Nadu,Cuddalore,491,451,1,0,11918
09-06-2020,Tamil Nadu,Cuddalore,491,454,1,0,11918
10-06-2020,Tamil Nadu,Cuddalore,498,455,1,0,11918
11-06-2020,Tamil Nadu,Cuddalore,517,455,1,0,11918
12-06-2020,Tamil Nadu,Cuddalore,521,455,1,0,11918
13-06-2020,Tamil Nadu,Cuddalore,533,455,1,0,11918
14-06-2020,Tamil Nadu,Cuddalore,533,455,1,0,11918
15-06-2020,Tamil Nadu,Cuddalore,560,456,1,0,11918
16-06-2020,Tamil Nadu,Cuddalore,568,456,1,0,11918
17-06-2020,Tamil Nadu,Cuddalore,645,469,1,0,11918
18-06-2020,Tamil Nadu,Cuddalore,646,472,2,0,11918
19-06-2020,Tamil Nadu,Cuddalore,647,475,3,0,13863
20-06-2020,Tamil Nadu,Cuddalore,663,479,3,0,14192
21-06-2020,Tamil Nadu,Cuddalore,765,479,3,0,14192
22-06-2020,Tamil Nadu,Cuddalore,823,492,3,0,14192
23-06-2020,Tamil Nadu,Cuddalore,850,509,5,0,14192
24-06-2020,Tamil Nadu,Cuddalore,892,522,5,0,14192
25-06-2020,Tamil Nadu,Cuddalore,912,530,5,0,14192
26-06-2020,Tamil Nadu,Cuddalore,929,535,5,0,14192
27-06-2020,Tamil Nadu,Cuddalore,940,557,5,0,14192
28-06-2020,Tamil Nadu,Cuddalore,982,619,5,0,14192
29-06-2020,Tamil Nadu,Cuddalore,1007,631,5,0,14192
30-06-2020,Tamil Nadu,Cuddalore,1073,641,5,0,14192
01-07-2020,Tamil Nadu,Cuddalore,1081,726,5,0,14192
02-07-2020,Tamil Nadu,Cuddalore,1124,775,5,0,14192
03-07-2020,Tamil Nadu,Cuddalore,1143,813,5,0,14192
04-07-2020,Tamil Nadu,Cuddalore,1218,856,5,0,14192
05-07-2020,Tamil Nadu,Cuddalore,1257,887,5,0,14192
06-07-2020,Tamil Nadu,Cuddalore,1277,894,5,0,14192
07-07-2020,Tamil Nadu,Cuddalore,1342,927,5,0,14192
08-07-2020,Tamil Nadu,Cuddalore,1413,968,5,0,14192
09-07-2020,Tamil Nadu,Cuddalore,1480,989,5,0,14192
10-07-2020,Tamil Nadu,Cuddalore,1493,1025,5,0,14192
11-07-2020,Tamil Nadu,Cuddalore,1510,1067,6,0,14192
12-07-2020,Tamil Nadu,Cuddalore,1526,1083,6,0,14192
13-07-2020,Tamil Nadu,Cuddalore,1551,1118,6,0,14192
14-07-2020,Tamil Nadu,Cuddalore,1565,1154,6,0,14192
15-07-2020,Tamil Nadu,Cuddalore,1624,1164,6,0,14192
16-07-2020,Tamil Nadu,Cuddalore,1646,1218,6,0,14192
17-07-2020,Tamil Nadu,Cuddalore,1690,1278,6,0,14192
18-07-2020,Tamil Nadu,Cuddalore,1725,1332,6,0,14192
19-07-2020,Tamil Nadu,Cuddalore,1770,1367,8,0,14192
20-07-2020,Tamil Nadu,Cuddalore,1863,1406,9,0,14192
21-07-2020,Tamil Nadu,Cuddalore,1921,1424,10,0,14192
22-07-2020,Tamil Nadu,Cuddalore,1991,1456,18,0,14192
23-07-2020,Tamil Nadu,Cuddalore,2070,1496,21,0,36434
24-07-2020,Tamil Nadu,Cuddalore,2162,1532,21,0,36434
25-07-2020,Tamil Nadu,Cuddalore,2250,1570,21,0,36434
26-07-2020,Tamil Nadu,Cuddalore,2415,1595,21,0,36434
27-07-2020,Tamil Nadu,Cuddalore,2525,1629,21,0,36434
