Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
27-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
28-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
29-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
30-04-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
01-05-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
02-05-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
03-05-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
04-05-2020,Tamil Nadu,Dharmapuri,1,0,0,0,
05-05-2020,Tamil Nadu,Dharmapuri,2,0,0,0,
06-05-2020,Tamil Nadu,Dharmapuri,2,0,0,0,
07-05-2020,Tamil Nadu,Dharmapuri,2,0,0,0,
08-05-2020,Tamil Nadu,Dharmapuri,4,1,0,0,
09-05-2020,Tamil Nadu,Dharmapuri,4,1,0,0,
10-05-2020,Tamil Nadu,Dharmapuri,4,1,0,0,
11-05-2020,Tamil Nadu,Dharmapuri,6,1,0,0,
12-05-2020,Tamil Nadu,Dharmapuri,6,1,0,0,
13-05-2020,Tamil Nadu,Dharmapuri,6,1,0,0,
14-05-2020,Tamil Nadu,Dharmapuri,5,1,0,0,
15-05-2020,Tamil Nadu,Dharmapuri,5,1,0,0,
16-05-2020,Tamil Nadu,Dharmapuri,5,1,0,0,
17-05-2020,Tamil Nadu,Dharmapuri,5,2,0,0,
18-05-2020,Tamil Nadu,Dharmapuri,5,4,0,0,
19-05-2020,Tamil Nadu,Dharmapuri,5,4,0,0,
20-05-2020,Tamil Nadu,Dharmapuri,5,4,0,0,
21-05-2020,Tamil Nadu,Dharmapuri,5,4,0,0,
22-05-2020,Tamil Nadu,Dharmapuri,5,5,0,0,
23-05-2020,Tamil Nadu,Dharmapuri,5,5,0,0,
24-05-2020,Tamil Nadu,Dharmapuri,5,5,0,0,
25-05-2020,Tamil Nadu,Dharmapuri,6,5,0,0,
26-05-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
27-05-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
28-05-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
29-05-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
30-05-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
31-05-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
01-06-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
02-06-2020,Tamil Nadu,Dharmapuri,8,5,0,0,
03-06-2020,Tamil Nadu,Dharmapuri,9,5,0,0,
04-06-2020,Tamil Nadu,Dharmapuri,11,5,0,0,
05-06-2020,Tamil Nadu,Dharmapuri,11,5,0,0,
06-06-2020,Tamil Nadu,Dharmapuri,11,8,0,0,
07-06-2020,Tamil Nadu,Dharmapuri,13,8,0,0,9854
08-06-2020,Tamil Nadu,Dharmapuri,18,8,0,0,9854
09-06-2020,Tamil Nadu,Dharmapuri,19,8,0,0,9854
10-06-2020,Tamil Nadu,Dharmapuri,23,8,0,0,9854
11-06-2020,Tamil Nadu,Dharmapuri,23,8,0,0,9854
12-06-2020,Tamil Nadu,Dharmapuri,24,8,0,0,9854
13-06-2020,Tamil Nadu,Dharmapuri,26,10,0,0,9854
14-06-2020,Tamil Nadu,Dharmapuri,27,11,0,0,9854
15-06-2020,Tamil Nadu,Dharmapuri,20,11,0,0,9854
16-06-2020,Tamil Nadu,Dharmapuri,20,11,0,0,9854
17-06-2020,Tamil Nadu,Dharmapuri,30,11,0,0,9854
18-06-2020,Tamil Nadu,Dharmapuri,25,15,0,0,9854
19-06-2020,Tamil Nadu,Dharmapuri,28,15,0,0,12006
20-06-2020,Tamil Nadu,Dharmapuri,30,16,0,0,12251
21-06-2020,Tamil Nadu,Dharmapuri,35,17,0,0,12251
22-06-2020,Tamil Nadu,Dharmapuri,32,17,0,0,12251
23-06-2020,Tamil Nadu,Dharmapuri,43,18,0,0,12251
24-06-2020,Tamil Nadu,Dharmapuri,45,19,0,0,12251
25-06-2020,Tamil Nadu,Dharmapuri,47,19,0,0,12251
26-06-2020,Tamil Nadu,Dharmapuri,53,19,0,0,12251
27-06-2020,Tamil Nadu,Dharmapuri,61,19,0,0,12251
28-06-2020,Tamil Nadu,Dharmapuri,69,24,0,0,12251
29-06-2020,Tamil Nadu,Dharmapuri,70,27,0,0,12251
