Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Kallakurichi,6,3,0,0,
27-04-2020,Tamil Nadu,Kallakurichi,6,3,0,0,
28-04-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
29-04-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
30-04-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
01-05-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
02-05-2020,Tamil Nadu,Kallakurichi,9,3,0,0,
03-05-2020,Tamil Nadu,Kallakurichi,15,3,0,0,
04-05-2020,Tamil Nadu,Kallakurichi,15,3,0,0,
05-05-2020,Tamil Nadu,Kallakurichi,53,3,0,0,
06-05-2020,Tamil Nadu,Kallakurichi,53,4,0,0,
07-05-2020,Tamil Nadu,Kallakurichi,54,4,0,0,
08-05-2020,Tamil Nadu,Kallakurichi,54,4,0,0,
09-05-2020,Tamil Nadu,Kallakurichi,55,4,0,0,
10-05-2020,Tamil Nadu,Kallakurichi,55,5,0,0,
11-05-2020,Tamil Nadu,Kallakurichi,55,5,0,0,
12-05-2020,Tamil Nadu,Kallakurichi,57,10,0,0,
13-05-2020,Tamil Nadu,Kallakurichi,57,10,0,0,
14-05-2020,Tamil Nadu,Kallakurichi,61,10,0,0,
15-05-2020,Tamil Nadu,Kallakurichi,61,14,0,0,
16-05-2020,Tamil Nadu,Kallakurichi,78,14,0,0,
17-05-2020,Tamil Nadu,Kallakurichi,95,39,0,0,
18-05-2020,Tamil Nadu,Kallakurichi,100,39,0,0,
19-05-2020,Tamil Nadu,Kallakurichi,111,44,0,0,
20-05-2020,Tamil Nadu,Kallakurichi,112,58,0,0,
21-05-2020,Tamil Nadu,Kallakurichi,120,58,0,0,
22-05-2020,Tamil Nadu,Kallakurichi,121,61,0,0,
23-05-2020,Tamil Nadu,Kallakurichi,121,61,0,0,
24-05-2020,Tamil Nadu,Kallakurichi,136,61,0,0,
25-05-2020,Tamil Nadu,Kallakurichi,146,79,0,0,
26-05-2020,Tamil Nadu,Kallakurichi,154,93,0,0,
27-05-2020,Tamil Nadu,Kallakurichi,220,93,0,0,
28-05-2020,Tamil Nadu,Kallakurichi,223,99,0,0,
29-05-2020,Tamil Nadu,Kallakurichi,242,110,0,0,
30-05-2020,Tamil Nadu,Kallakurichi,249,110,0,0,
31-05-2020,Tamil Nadu,Kallakurichi,251,111,0,0,
01-06-2020,Tamil Nadu,Kallakurichi,251,121,0,0,
02-06-2020,Tamil Nadu,Kallakurichi,255,136,0,0,
03-06-2020,Tamil Nadu,Kallakurichi,259,145,0,0,
04-06-2020,Tamil Nadu,Kallakurichi,252,153,0,0,
05-06-2020,Tamil Nadu,Kallakurichi,264,153,0,0,
06-06-2020,Tamil Nadu,Kallakurichi,264,153,0,0,
07-06-2020,Tamil Nadu,Kallakurichi,272,153,0,0,8653
08-06-2020,Tamil Nadu,Kallakurichi,292,234,0,0,8653
09-06-2020,Tamil Nadu,Kallakurichi,295,235,0,0,8653
10-06-2020,Tamil Nadu,Kallakurichi,299,238,0,0,8653
11-06-2020,Tamil Nadu,Kallakurichi,303,243,0,0,8653
12-06-2020,Tamil Nadu,Kallakurichi,319,245,0,0,8653
13-06-2020,Tamil Nadu,Kallakurichi,330,247,0,0,8653
14-06-2020,Tamil Nadu,Kallakurichi,344,247,0,0,8653
15-06-2020,Tamil Nadu,Kallakurichi,337,261,0,0,8653
16-06-2020,Tamil Nadu,Kallakurichi,338,262,0,0,8653
17-06-2020,Tamil Nadu,Kallakurichi,354,268,0,0,8653
18-06-2020,Tamil Nadu,Kallakurichi,357,282,0,0,8653
19-06-2020,Tamil Nadu,Kallakurichi,364,284,0,0,11108
20-06-2020,Tamil Nadu,Kallakurichi,366,292,0,0,11460
