Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Karur,41,41,0,0,
27-04-2020,Tamil Nadu,Karur,41,41,0,0,
28-04-2020,Tamil Nadu,Karur,41,41,0,0,
29-04-2020,Tamil Nadu,Karur,41,41,0,0,
30-04-2020,Tamil Nadu,Karur,41,41,0,0,
01-05-2020,Tamil Nadu,Karur,42,42,0,0,
02-05-2020,Tamil Nadu,Karur,42,42,0,0,
03-05-2020,Tamil Nadu,Karur,42,42,0,0,
04-05-2020,Tamil Nadu,Karur,43,42,0,0,
05-05-2020,Tamil Nadu,Karur,43,42,0,0,
06-05-2020,Tamil Nadu,Karur,44,42,0,0,
07-05-2020,Tamil Nadu,Karur,46,42,0,0,
08-05-2020,Tamil Nadu,Karur,46,42,0,0,
09-05-2020,Tamil Nadu,Karur,46,42,0,0,
10-05-2020,Tamil Nadu,Karur,47,42,0,0,
11-05-2020,Tamil Nadu,Karur,47,42,0,0,
12-05-2020,Tamil Nadu,Karur,51,42,0,0,
13-05-2020,Tamil Nadu,Karur,53,42,0,0,
14-05-2020,Tamil Nadu,Karur,56,43,0,0,
15-05-2020,Tamil Nadu,Karur,56,44,0,0,
16-05-2020,Tamil Nadu,Karur,56,45,0,0,
17-05-2020,Tamil Nadu,Karur,72,45,0,0,
18-05-2020,Tamil Nadu,Karur,73,45,0,0,
19-05-2020,Tamil Nadu,Karur,79,45,0,0,
20-05-2020,Tamil Nadu,Karur,79,52,0,0,
21-05-2020,Tamil Nadu,Karur,80,55,0,0,
22-05-2020,Tamil Nadu,Karur,80,55,0,0,
23-05-2020,Tamil Nadu,Karur,80,55,0,0,
24-05-2020,Tamil Nadu,Karur,80,55,0,0,
25-05-2020,Tamil Nadu,Karur,80,66,0,0,
26-05-2020,Tamil Nadu,Karur,80,67,0,0,
27-05-2020,Tamil Nadu,Karur,80,67,0,0,
28-05-2020,Tamil Nadu,Karur,80,73,0,0,
