Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
27-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
28-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
29-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
30-04-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
01-05-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
02-05-2020,Tamil Nadu,Tiruvannamalai,11,10,0,0,
03-05-2020,Tamil Nadu,Tiruvannamalai,12,10,0,0,
04-05-2020,Tamil Nadu,Tiruvannamalai,23,10,0,0,
05-05-2020,Tamil Nadu,Tiruvannamalai,23,10,0,0,
06-05-2020,Tamil Nadu,Tiruvannamalai,40,10,0,0,
07-05-2020,Tamil Nadu,Tiruvannamalai,57,10,0,0,
08-05-2020,Tamil Nadu,Tiruvannamalai,68,10,0,0,
09-05-2020,Tamil Nadu,Tiruvannamalai,83,12,0,0,
10-05-2020,Tamil Nadu,Tiruvannamalai,83,13,0,0,
11-05-2020,Tamil Nadu,Tiruvannamalai,93,13,0,0,
12-05-2020,Tamil Nadu,Tiruvannamalai,106,13,0,0,
13-05-2020,Tamil Nadu,Tiruvannamalai,129,13,0,0,
14-05-2020,Tamil Nadu,Tiruvannamalai,136,13,0,0,
15-05-2020,Tamil Nadu,Tiruvannamalai,140,14,0,0,
16-05-2020,Tamil Nadu,Tiruvannamalai,147,14,0,0,
17-05-2020,Tamil Nadu,Tiruvannamalai,150,41,0,0,
18-05-2020,Tamil Nadu,Tiruvannamalai,154,41,0,0,
19-05-2020,Tamil Nadu,Tiruvannamalai,154,41,0,0,
20-05-2020,Tamil Nadu,Tiruvannamalai,165,50,0,0,
21-05-2020,Tamil Nadu,Tiruvannamalai,170,62,0,0,
22-05-2020,Tamil Nadu,Tiruvannamalai,172,75,0,0,
23-05-2020,Tamil Nadu,Tiruvannamalai,183,81,0,0,
24-05-2020,Tamil Nadu,Tiruvannamalai,187,81,0,0,
25-05-2020,Tamil Nadu,Tiruvannamalai,228,81,0,0,
26-05-2020,Tamil Nadu,Tiruvannamalai,242,90,1,0,
27-05-2020,Tamil Nadu,Tiruvannamalai,264,91,1,0,
28-05-2020,Tamil Nadu,Tiruvannamalai,304,92,2,0,
29-05-2020,Tamil Nadu,Tiruvannamalai,352,107,2,0,
30-05-2020,Tamil Nadu,Tiruvannamalai,361,108,2,0,
31-05-2020,Tamil Nadu,Tiruvannamalai,416,144,2,0,
01-06-2020,Tamil Nadu,Tiruvannamalai,426,145,2,0,
02-06-2020,Tamil Nadu,Tiruvannamalai,440,146,2,0,
03-06-2020,Tamil Nadu,Tiruvannamalai,461,150,2,0,
04-06-2020,Tamil Nadu,Tiruvannamalai,470,153,2,0,
05-06-2020,Tamil Nadu,Tiruvannamalai,483,164,2,0,
06-06-2020,Tamil Nadu,Tiruvannamalai,486,178,2,0,
07-06-2020,Tamil Nadu,Tiruvannamalai,492,240,2,0,21996
08-06-2020,Tamil Nadu,Tiruvannamalai,503,252,2,0,21996
09-06-2020,Tamil Nadu,Tiruvannamalai,522,310,2,0,21996
10-06-2020,Tamil Nadu,Tiruvannamalai,548,326,2,0,21996
11-06-2020,Tamil Nadu,Tiruvannamalai,565,346,2,0,21996
12-06-2020,Tamil Nadu,Tiruvannamalai,586,393,2,0,21996
13-06-2020,Tamil Nadu,Tiruvannamalai,636,413,3,0,21996
14-06-2020,Tamil Nadu,Tiruvannamalai,671,419,4,0,21996
15-06-2020,Tamil Nadu,Tiruvannamalai,701,439,4,0,21996
16-06-2020,Tamil Nadu,Tiruvannamalai,768,459,4,0,21996
17-06-2020,Tamil Nadu,Tiruvannamalai,816,463,4,0,21996
18-06-2020,Tamil Nadu,Tiruvannamalai,843,465,5,0,21996
19-06-2020,Tamil Nadu,Tiruvannamalai,853,440,5,0,26739
20-06-2020,Tamil Nadu,Tiruvannamalai,983,442,6,0,27284
21-06-2020,Tamil Nadu,Tiruvannamalai,1060,455,7,0,27284
22-06-2020,Tamil Nadu,Tiruvannamalai,1199,465,7,0,27284
23-06-2020,Tamil Nadu,Tiruvannamalai,1313,509,7,0,27284
24-06-2020,Tamil Nadu,Tiruvannamalai,1372,546,7,0,27284
25-06-2020,Tamil Nadu,Tiruvannamalai,1428,564,10,0,27284
26-06-2020,Tamil Nadu,Tiruvannamalai,1498,573,9,0,27284
27-06-2020,Tamil Nadu,Tiruvannamalai,1624,616,9,0,27284
28-06-2020,Tamil Nadu,Tiruvannamalai,1767,686,9,0,27284
29-06-2020,Tamil Nadu,Tiruvannamalai,1808,760,10,0,27284
30-06-2020,Tamil Nadu,Tiruvannamalai,1824,804,11,0,27284
01-07-2020,Tamil Nadu,Tiruvannamalai,1859,875,11,0,27284
02-07-2020,Tamil Nadu,Tiruvannamalai,2029,910,11,0,27284
03-07-2020,Tamil Nadu,Tiruvannamalai,2181,1050,12,0,27284
04-07-2020,Tamil Nadu,Tiruvannamalai,2355,1107,14,0,27284
05-07-2020,Tamil Nadu,Tiruvannamalai,2497,1140,15,0,27284
06-07-2020,Tamil Nadu,Tiruvannamalai,2534,1265,18,0,27284
07-07-2020,Tamil Nadu,Tiruvannamalai,2633,1304,18,0,27284
08-07-2020,Tamil Nadu,Tiruvannamalai,2688,1403,18,0,27284
09-07-2020,Tamil Nadu,Tiruvannamalai,2758,1607,20,0,27284
10-07-2020,Tamil Nadu,Tiruvannamalai,2861,1629,20,0,27284
11-07-2020,Tamil Nadu,Tiruvannamalai,2925,1664,21,0,27284
12-07-2020,Tamil Nadu,Tiruvannamalai,3076,1741,22,0,27284
13-07-2020,Tamil Nadu,Tiruvannamalai,3162,1771,23,0,27284
14-07-2020,Tamil Nadu,Tiruvannamalai,3224,1848,24,0,27284
15-07-2020,Tamil Nadu,Tiruvannamalai,3349,1948,25,0,27284
16-07-2020,Tamil Nadu,Tiruvannamalai,3563,2087,26,0,27284
17-07-2020,Tamil Nadu,Tiruvannamalai,3709,2143,30,0,27284
18-07-2020,Tamil Nadu,Tiruvannamalai,3781,2229,32,0,27284
19-07-2020,Tamil Nadu,Tiruvannamalai,3916,2425,32,0,27284
20-07-2020,Tamil Nadu,Tiruvannamalai,4070,2466,32,0,27284
21-07-2020,Tamil Nadu,Tiruvannamalai,4233,2466,35,0,27284
22-07-2020,Tamil Nadu,Tiruvannamalai,4444,2489,39,0,27284
23-07-2020,Tamil Nadu,Tiruvannamalai,4637,2575,42,0,76170
24-07-2020,Tamil Nadu,Tiruvannamalai,4781,2890,44,0,76170
25-07-2020,Tamil Nadu,Tiruvannamalai,4933,3212,48,0,76170
26-07-2020,Tamil Nadu,Tiruvannamalai,5109,3893,51,0,76170
27-07-2020,Tamil Nadu,Tiruvannamalai,5376,3893,51,0,76170
28-07-2020,Tamil Nadu,Tiruvannamalai,5644,3909,53,0,76170
29-07-2020,Tamil Nadu,Tiruvannamalai,5823,4002,55,0,76170
30-07-2020,Tamil Nadu,Tiruvannamalai,6010,4002,57,0,76170
31-07-2020,Tamil Nadu,Tiruvannamalai,6052,4068,62,0,76170
01-08-2020,Tamil Nadu,Tiruvannamalai,6304,4153,62,0,76170
02-08-2020,Tamil Nadu,Tiruvannamalai,6446,4202,65,0,76170
03-08-2020,Tamil Nadu,Tiruvannamalai,6660,4269,69,0,76170
04-08-2020,Tamil Nadu,Tiruvannamalai,6793,4453,73,0,76170
05-08-2020,Tamil Nadu,Tiruvannamalai,6905,4681,76,0,76170
06-08-2020,Tamil Nadu,Tiruvannamalai,7058,4982,81,0,76170
07-08-2020,Tamil Nadu,Tiruvannamalai,7312,5602,87,0,76170
08-08-2020,Tamil Nadu,Tiruvannamalai,7610,5806,89,0,76170
09-08-2020,Tamil Nadu,Tiruvannamalai,7832,5881,94,0,76170
10-08-2020,Tamil Nadu,Tiruvannamalai,7988,6047,94,0,76170
11-08-2020,Tamil Nadu,Tiruvannamalai,8153,6090,100,0,76170
12-08-2020,Tamil Nadu,Tiruvannamalai,8279,6254,101,0,76170
13-08-2020,Tamil Nadu,Tiruvannamalai,8432,6293,106,0,76170
14-08-2020,Tamil Nadu,Tiruvannamalai,8514,6418,114,0,76170
15-08-2020,Tamil Nadu,Tiruvannamalai,8622,6619,118,0,76170
16-08-2020,Tamil Nadu,Tiruvannamalai,8720,6752,122,0,76170
17-08-2020,Tamil Nadu,Tiruvannamalai,8797,7212,126,0,76170
18-08-2020,Tamil Nadu,Tiruvannamalai,8922,7427,127,0,76170
19-08-2020,Tamil Nadu,Tiruvannamalai,9017,7770,129,0,76170
20-08-2020,Tamil Nadu,Tiruvannamalai,9129,7966,133,0,76170
21-08-2020,Tamil Nadu,Tiruvannamalai,9188,8137,136,0,76170
22-08-2020,Tamil Nadu,Tiruvannamalai,9275,8264,139,0,76170
23-08-2020,Tamil Nadu,Tiruvannamalai,9376,8389,139,0,76170
24-08-2020,Tamil Nadu,Tiruvannamalai,9521,8531,143,0,76170
25-08-2020,Tamil Nadu,Tiruvannamalai,9626,8653,147,0,76170
26-08-2020,Tamil Nadu,Tiruvannamalai,9680,8777,150,0,76170
27-08-2020,Tamil Nadu,Tiruvannamalai,9780,8858,151,0,76170
28-08-2020,Tamil Nadu,Tiruvannamalai,9988,8962,154,0,76170
29-08-2020,Tamil Nadu,Tiruvannamalai,10147,8963,156,0,76170
30-08-2020,Tamil Nadu,Tiruvannamalai,10316,9099,157,0,76170
31-08-2020,Tamil Nadu,Tiruvannamalai,10457,9186,163,0,76170
01-09-2020,Tamil Nadu,Tiruvannamalai,10613,9286,166,0,76170
02-09-2020,Tamil Nadu,Tiruvannamalai,10825,9339,169,0,76170
03-09-2020,Tamil Nadu,Tiruvannamalai,10974,9530,171,0,76170
04-09-2020,Tamil Nadu,Tiruvannamalai,11191,9692,174,0,76170
05-09-2020,Tamil Nadu,Tiruvannamalai,11430,9917,174,0,76170
06-09-2020,Tamil Nadu,Tiruvannamalai,11701,10056,176,0,76170
07-09-2020,Tamil Nadu,Tiruvannamalai,11963,10225,180,0,76170
08-09-2020,Tamil Nadu,Tiruvannamalai,12211,10366,182,0,76170
09-09-2020,Tamil Nadu,Tiruvannamalai,12353,10592,185,0,76170
10-09-2020,Tamil Nadu,Tiruvannamalai,12442,10736,187,0,76170
11-09-2020,Tamil Nadu,Tiruvannamalai,12738,10883,189,0,76170
12-09-2020,Tamil Nadu,Tiruvannamalai,12878,11118,192,0,76170
13-09-2020,Tamil Nadu,Tiruvannamalai,13071,11338,194,0,76170
14-09-2020,Tamil Nadu,Tiruvannamalai,13296,11616,194,0,76170
15-09-2020,Tamil Nadu,Tiruvannamalai,13485,11827,197,0,76170
16-09-2020,Tamil Nadu,Tiruvannamalai,13642,12059,202,0,76170
17-09-2020,Tamil Nadu,Tiruvannamalai,13802,12195,202,0,76170
18-09-2020,Tamil Nadu,Tiruvannamalai,13949,12276,204,0,76170
19-09-2020,Tamil Nadu,Tiruvannamalai,14108,12642,207,0,76170
20-09-2020,Tamil Nadu,Tiruvannamalai,14214,12717,207,0,76170
21-09-2020,Tamil Nadu,Tiruvannamalai,14311,12900,208,0,76170
22-09-2020,Tamil Nadu,Tiruvannamalai,14437,13120,211,0,76170
23-09-2020,Tamil Nadu,Tiruvannamalai,14563,13305,213,0,76170
24-09-2020,Tamil Nadu,Tiruvannamalai,14685,13459,216,0,76170
25-09-2020,Tamil Nadu,Tiruvannamalai,14855,13623,219,0,76170
26-09-2020,Tamil Nadu,Tiruvannamalai,14996,13772,222,0,76170
27-09-2020,Tamil Nadu,Tiruvannamalai,15075,13925,223,0,76170
28-09-2020,Tamil Nadu,Tiruvannamalai,15232,14033,227,0,76170
