Date,State,country,cases,Recovered,Deceased,Other,Tested
29-06-2021,Tamil Nadu,Mayiladuthurai,20133,19582,250,0,
30-06-2021,Tamil Nadu,Mayiladuthurai,20177,19635,252,0,
01-07-2021,Tamil Nadu,Mayiladuthurai,20177,19650,252,0,
02-07-2021,Tamil Nadu,Mayiladuthurai,20213,19694,252,0,
03-07-2021,Tamil Nadu,Mayiladuthurai,20250,19726,253,0,
04-07-2021,Tamil Nadu,Mayiladuthurai,20284,19761,255,0,
05-07-2021,Tamil Nadu,Mayiladuthurai,20313,19800,255,0,
06-07-2021,Tamil Nadu,Mayiladuthurai,20335,19828,256,0,
07-07-2021,Tamil Nadu,Mayiladuthurai,20367,19849,257,0,
08-07-2021,Tamil Nadu,Mayiladuthurai,20399,19867,257,0,
09-07-2021,Tamil Nadu,Mayiladuthurai,20430,19883,257,0,
10-07-2021,Tamil Nadu,Mayiladuthurai,20461,19902,257,0,
11-07-2021,Tamil Nadu,Mayiladuthurai,20483,19917,258,0,
12-07-2021,Tamil Nadu,Mayiladuthurai,20508,19936,260,0,
13-07-2021,Tamil Nadu,Mayiladuthurai,20554,19958,260,0,
14-07-2021,Tamil Nadu,Mayiladuthurai,20590,19986,261,0,
15-07-2021,Tamil Nadu,Mayiladuthurai,20618,20018,262,0,
16-07-2021,Tamil Nadu,Mayiladuthurai,20645,20049,263,0,
17-07-2021,Tamil Nadu,Mayiladuthurai,20668,20078,264,0,
18-07-2021,Tamil Nadu,Mayiladuthurai,20689,20109,264,0,
19-07-2021,Tamil Nadu,Mayiladuthurai,20717,20141,265,0,
20-07-2021,Tamil Nadu,Mayiladuthurai,20733,20169,266,0,
21-07-2021,Tamil Nadu,Mayiladuthurai,20769,20195,266,0,
22-07-2021,Tamil Nadu,Mayiladuthurai,20797,20220,265,0,
23-07-2021,Tamil Nadu,Mayiladuthurai,20822,20247,267,0,
24-07-2021,Tamil Nadu,Mayiladuthurai,20855,20279,267,0,
25-07-2021,Tamil Nadu,Mayiladuthurai,20881,20307,267,0,
26-07-2021,Tamil Nadu,Mayiladuthurai,20903,20330,267,0,
27-07-2021,Tamil Nadu,Mayiladuthurai,20937,20356,267,0,
28-07-2021,Tamil Nadu,Mayiladuthurai,20963,20386,267,0,
29-07-2021,Tamil Nadu,Mayiladuthurai,20988,20405,268,0,
30-07-2021,Tamil Nadu,Mayiladuthurai,21003,20429,268,0,
31-07-2021,Tamil Nadu,Mayiladuthurai,21041,20457,269,0,
01-08-2021,Tamil Nadu,Mayiladuthurai,21058,20493,269,0,
02-08-2021,Tamil Nadu,Mayiladuthurai,21088,20531,269,0,
03-08-2021,Tamil Nadu,Mayiladuthurai,21116,20573,269,0,
04-08-2021,Tamil Nadu,Mayiladuthurai,21139,20614,270,0,
05-08-2021,Tamil Nadu,Mayiladuthurai,21171,20647,271,0,
06-08-2021,Tamil Nadu,Mayiladuthurai,21199,20679,271,0,
07-08-2021,Tamil Nadu,Mayiladuthurai,21220,20704,271,0,
08-08-2021,Tamil Nadu,Mayiladuthurai,21250,20726,271,0,
09-08-2021,Tamil Nadu,Mayiladuthurai,21273,20752,271,0,
10-08-2021,Tamil Nadu,Mayiladuthurai,21300,20771,271,0,
11-08-2021,Tamil Nadu,Mayiladuthurai,21325,20795,271,0,
12-08-2021,Tamil Nadu,Mayiladuthurai,21349,20823,271,0,
13-08-2021,Tamil Nadu,Mayiladuthurai,21369,20849,273,0,
14-08-2021,Tamil Nadu,Mayiladuthurai,21399,20874,274,0,
15-08-2021,Tamil Nadu,Mayiladuthurai,21447,20903,274,0,
16-08-2021,Tamil Nadu,Mayiladuthurai,21483,20928,274,0,
17-08-2021,Tamil Nadu,Mayiladuthurai,21517,20957,274,0,
18-08-2021,Tamil Nadu,Mayiladuthurai,21543,20988,274,0,
19-08-2021,Tamil Nadu,Mayiladuthurai,21567,21022,274,0,
20-08-2021,Tamil Nadu,Mayiladuthurai,21589,21054,274,0,
21-08-2021,Tamil Nadu,Mayiladuthurai,21612,21082,274,0,
22-08-2021,Tamil Nadu,Mayiladuthurai,21633,21109,275,0,
23-08-2021,Tamil Nadu,Mayiladuthurai,21654,21131,277,0,
24-08-2021,Tamil Nadu,Mayiladuthurai,21677,21156,277,0,
25-08-2021,Tamil Nadu,Mayiladuthurai,21704,21183,277,0,
26-08-2021,Tamil Nadu,Mayiladuthurai,21737,21212,277,0,
27-08-2021,Tamil Nadu,Mayiladuthurai,21773,21239,277,0,
28-08-2021,Tamil Nadu,Mayiladuthurai,21806,21271,277,0,
29-08-2021,Tamil Nadu,Mayiladuthurai,21835,21308,277,0,
30-08-2021,Tamil Nadu,Mayiladuthurai,21860,21341,278,0,
31-08-2021,Tamil Nadu,Mayiladuthurai,21895,21373,279,0,
01-09-2021,Tamil Nadu,Mayiladuthurai,21928,21394,281,0,
02-09-2021,Tamil Nadu,Mayiladuthurai,21956,21417,281,0,
03-09-2021,Tamil Nadu,Mayiladuthurai,22002,21438,281,0,
04-09-2021,Tamil Nadu,Mayiladuthurai,22029,21462,282,0,
05-09-2021,Tamil Nadu,Mayiladuthurai,22087,21493,282,0,
06-09-2021,Tamil Nadu,Mayiladuthurai,22119,21522,283,0,
07-09-2021,Tamil Nadu,Mayiladuthurai,22160,21559,283,0,
08-09-2021,Tamil Nadu,Mayiladuthurai,22192,21601,285,0,
09-09-2021,Tamil Nadu,Mayiladuthurai,22222,21638,285,0,
10-09-2021,Tamil Nadu,Mayiladuthurai,22277,21681,287,0,
11-09-2021,Tamil Nadu,Mayiladuthurai,22302,21719,289,0,
12-09-2021,Tamil Nadu,Mayiladuthurai,22335,21751,289,0,
13-09-2021,Tamil Nadu,Mayiladuthurai,22357,21775,291,0,
14-09-2021,Tamil Nadu,Mayiladuthurai,22373,21804,291,0,
15-09-2021,Tamil Nadu,Mayiladuthurai,22413,21832,293,0,
16-09-2021,Tamil Nadu,Mayiladuthurai,22446,21871,293,0,
17-09-2021,Tamil Nadu,Mayiladuthurai,22476,21908,294,0,
18-09-2021,Tamil Nadu,Mayiladuthurai,22501,21943,294,0,
19-09-2021,Tamil Nadu,Mayiladuthurai,22526,21981,296,0,
20-09-2021,Tamil Nadu,Mayiladuthurai,22541,22018,296,0,
21-09-2021,Tamil Nadu,Mayiladuthurai,22576,22051,297,0,
22-09-2021,Tamil Nadu,Mayiladuthurai,22597,22079,297,0,
23-09-2021,Tamil Nadu,Mayiladuthurai,22628,22106,299,0,
24-09-2021,Tamil Nadu,Mayiladuthurai,22656,22135,300,0,
25-09-2021,Tamil Nadu,Mayiladuthurai,22682,22161,302,0,
26-09-2021,Tamil Nadu,Mayiladuthurai,22706,22189,302,0,
27-09-2021,Tamil Nadu,Mayiladuthurai,22738,22221,302,0,
28-09-2021,Tamil Nadu,Mayiladuthurai,22763,22249,303,0,
29-09-2021,Tamil Nadu,Mayiladuthurai,22786,22269,304,0,
30-09-2021,Tamil Nadu,Mayiladuthurai,22819,22292,305,0,
01-10-2021,Tamil Nadu,Mayiladuthurai,22843,22317,306,0,
02-10-2021,Tamil Nadu,Mayiladuthurai,22889,22347,306,0,
03-10-2021,Tamil Nadu,Mayiladuthurai,22916,22382,307,0,
04-10-2021,Tamil Nadu,Mayiladuthurai,22943,22410,307,0,
05-10-2021,Tamil Nadu,Mayiladuthurai,22969,22422,308,0,
06-10-2021,Tamil Nadu,Mayiladuthurai,22992,22435,308,0,
07-10-2021,Tamil Nadu,Mayiladuthurai,23020,22449,310,0,
08-10-2021,Tamil Nadu,Mayiladuthurai,23038,22467,311,0,
09-10-2021,Tamil Nadu,Mayiladuthurai,23057,22488,311,0,
10-10-2021,Tamil Nadu,Mayiladuthurai,23073,22504,311,0,
11-10-2021,Tamil Nadu,Mayiladuthurai,23085,22524,312,0,
12-10-2021,Tamil Nadu,Mayiladuthurai,23096,22542,312,0,
13-10-2021,Tamil Nadu,Mayiladuthurai,23107,22566,312,0,
14-10-2021,Tamil Nadu,Mayiladuthurai,23116,22593,314,0,
15-10-2021,Tamil Nadu,Mayiladuthurai,23126,22613,314,0,
16-10-2021,Tamil Nadu,Mayiladuthurai,23142,22631,315,0,
17-10-2021,Tamil Nadu,Mayiladuthurai,23155,22648,315,0,
18-10-2021,Tamil Nadu,Mayiladuthurai,23171,22669,315,0,
19-10-2021,Tamil Nadu,Mayiladuthurai,23181,22692,315,0,
20-10-2021,Tamil Nadu,Mayiladuthurai,23192,22719,315,0,
21-10-2021,Tamil Nadu,Mayiladuthurai,23202,22735,315,0,
22-10-2021,Tamil Nadu,Mayiladuthurai,23212,22753,315,0,
23-10-2021,Tamil Nadu,Mayiladuthurai,23227,22772,316,0,
24-10-2021,Tamil Nadu,Mayiladuthurai,23239,22798,316,0,
25-10-2021,Tamil Nadu,Mayiladuthurai,23250,22818,316,0,
26-10-2021,Tamil Nadu,Mayiladuthurai,23256,22826,316,0,
27-10-2021,Tamil Nadu,Mayiladuthurai,23262,22831,316,0,
28-10-2021,Tamil Nadu,Mayiladuthurai,23264,22840,316,0,
29-10-2021,Tamil Nadu,Mayiladuthurai,23273,22853,316,0,
30-10-2021,Tamil Nadu,Mayiladuthurai,23277,22868,316,0,
