Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
27-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
28-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
29-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
30-04-2020,Tamil Nadu,Nilgiris,9,9,0,0,
01-05-2020,Tamil Nadu,Nilgiris,9,9,0,0,
02-05-2020,Tamil Nadu,Nilgiris,9,9,0,0,
03-05-2020,Tamil Nadu,Nilgiris,9,9,0,0,
04-05-2020,Tamil Nadu,Nilgiris,9,9,0,0,
05-05-2020,Tamil Nadu,Nilgiris,14,9,0,0,
06-05-2020,Tamil Nadu,Nilgiris,14,9,0,0,
07-05-2020,Tamil Nadu,Nilgiris,14,9,0,0,
08-05-2020,Tamil Nadu,Nilgiris,14,9,0,0,
09-05-2020,Tamil Nadu,Nilgiris,15,11,0,0,
10-05-2020,Tamil Nadu,Nilgiris,15,11,0,0,
11-05-2020,Tamil Nadu,Nilgiris,15,11,0,0,
12-05-2020,Tamil Nadu,Nilgiris,15,11,0,0,
13-05-2020,Tamil Nadu,Nilgiris,15,11,0,0,
14-05-2020,Tamil Nadu,Nilgiris,14,11,0,0,
15-05-2020,Tamil Nadu,Nilgiris,14,11,0,0,
16-05-2020,Tamil Nadu,Nilgiris,14,11,0,0,
17-05-2020,Tamil Nadu,Nilgiris,14,11,0,0,
18-05-2020,Tamil Nadu,Nilgiris,14,11,0,0,
19-05-2020,Tamil Nadu,Nilgiris,14,11,0,0,
20-05-2020,Tamil Nadu,Nilgiris,14,12,0,0,
21-05-2020,Tamil Nadu,Nilgiris,14,12,0,0,
22-05-2020,Tamil Nadu,Nilgiris,14,12,0,0,
23-05-2020,Tamil Nadu,Nilgiris,14,13,0,0,
24-05-2020,Tamil Nadu,Nilgiris,14,13,0,0,
25-05-2020,Tamil Nadu,Nilgiris,14,13,0,0,
26-05-2020,Tamil Nadu,Nilgiris,14,13,0,0,
27-05-2020,Tamil Nadu,Nilgiris,14,13,0,0,
28-05-2020,Tamil Nadu,Nilgiris,14,14,0,0,
29-05-2020,Tamil Nadu,Nilgiris,14,14,0,0,
30-05-2020,Tamil Nadu,Nilgiris,14,14,0,0,
31-05-2020,Tamil Nadu,Nilgiris,14,14,0,0,
01-06-2020,Tamil Nadu,Nilgiris,15,14,0,0,
02-06-2020,Tamil Nadu,Nilgiris,15,14,0,0,
03-06-2020,Tamil Nadu,Nilgiris,15,14,0,0,
04-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,
05-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,
06-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,
07-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
08-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
09-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
10-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
11-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
12-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
13-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
14-06-2020,Tamil Nadu,Nilgiris,14,14,0,0,5604
15-06-2020,Tamil Nadu,Nilgiris,17,14,0,0,5604
16-06-2020,Tamil Nadu,Nilgiris,17,14,0,0,5604
17-06-2020,Tamil Nadu,Nilgiris,22,14,0,0,5604
18-06-2020,Tamil Nadu,Nilgiris,26,14,0,0,5604
19-06-2020,Tamil Nadu,Nilgiris,30,14,0,0,8909
20-06-2020,Tamil Nadu,Nilgiris,30,14,0,0,9334
21-06-2020,Tamil Nadu,Nilgiris,29,14,0,0,9334
22-06-2020,Tamil Nadu,Nilgiris,31,14,0,0,9334
23-06-2020,Tamil Nadu,Nilgiris,48,17,0,0,9334
24-06-2020,Tamil Nadu,Nilgiris,48,17,0,0,9334
25-06-2020,Tamil Nadu,Nilgiris,50,21,0,0,9334
26-06-2020,Tamil Nadu,Nilgiris,56,21,0,0,9334
27-06-2020,Tamil Nadu,Nilgiris,66,22,0,0,9334
28-06-2020,Tamil Nadu,Nilgiris,71,26,0,0,9334
29-06-2020,Tamil Nadu,Nilgiris,84,29,0,0,9334
30-06-2020,Tamil Nadu,Nilgiris,89,32,0,0,9334
01-07-2020,Tamil Nadu,Nilgiris,107,33,0,0,9334
02-07-2020,Tamil Nadu,Nilgiris,117,41,0,0,9334
03-07-2020,Tamil Nadu,Nilgiris,119,41,0,0,9334
04-07-2020,Tamil Nadu,Nilgiris,123,44,0,0,9334
05-07-2020,Tamil Nadu,Nilgiris,124,49,0,0,9334
06-07-2020,Tamil Nadu,Nilgiris,150,49,0,0,9334
07-07-2020,Tamil Nadu,Nilgiris,150,49,0,0,9334
08-07-2020,Tamil Nadu,Nilgiris,160,49,0,0,9334
09-07-2020,Tamil Nadu,Nilgiris,172,52,0,0,9334
10-07-2020,Tamil Nadu,Nilgiris,181,54,0,0,9334
11-07-2020,Tamil Nadu,Nilgiris,179,69,1,0,9334
12-07-2020,Tamil Nadu,Nilgiris,183,93,1,0,9334
13-07-2020,Tamil Nadu,Nilgiris,222,93,1,0,9334
14-07-2020,Tamil Nadu,Nilgiris,258,107,1,0,9334
15-07-2020,Tamil Nadu,Nilgiris,277,107,1,0,9334
16-07-2020,Tamil Nadu,Nilgiris,320,116,1,0,9334
17-07-2020,Tamil Nadu,Nilgiris,371,116,1,0,9334
18-07-2020,Tamil Nadu,Nilgiris,410,156,2,0,9334
19-07-2020,Tamil Nadu,Nilgiris,486,172,2,0,9334
20-07-2020,Tamil Nadu,Nilgiris,513,172,2,0,9334
21-07-2020,Tamil Nadu,Nilgiris,516,277,2,0,9334
22-07-2020,Tamil Nadu,Nilgiris,528,279,2,0,9334
23-07-2020,Tamil Nadu,Nilgiris,587,371,2,0,45839
24-07-2020,Tamil Nadu,Nilgiris,621,422,2,0,45839
25-07-2020,Tamil Nadu,Nilgiris,661,469,2,0,45839
26-07-2020,Tamil Nadu,Nilgiris,692,480,2,0,45839
27-07-2020,Tamil Nadu,Nilgiris,731,514,2,0,45839
28-07-2020,Tamil Nadu,Nilgiris,726,564,2,0,45839
29-07-2020,Tamil Nadu,Nilgiris,735,581,2,0,45839
30-07-2020,Tamil Nadu,Nilgiris,768,605,2,0,45839
31-07-2020,Tamil Nadu,Nilgiris,766,632,2,0,45839
01-08-2020,Tamil Nadu,Nilgiris,802,650,2,0,45839
02-08-2020,Tamil Nadu,Nilgiris,812,672,2,0,45839
03-08-2020,Tamil Nadu,Nilgiris,849,700,2,0,45839
04-08-2020,Tamil Nadu,Nilgiris,863,722,2,0,45839
05-08-2020,Tamil Nadu,Nilgiris,897,731,2,0,45839
06-08-2020,Tamil Nadu,Nilgiris,919,756,3,0,45839
07-08-2020,Tamil Nadu,Nilgiris,931,773,4,0,45839
08-08-2020,Tamil Nadu,Nilgiris,948,788,3,0,45839
09-08-2020,Tamil Nadu,Nilgiris,958,803,3,0,45839
10-08-2020,Tamil Nadu,Nilgiris,965,827,3,0,45839
11-08-2020,Tamil Nadu,Nilgiris,967,849,3,0,45839
12-08-2020,Tamil Nadu,Nilgiris,990,853,3,0,45839
13-08-2020,Tamil Nadu,Nilgiris,996,901,3,0,45839
14-08-2020,Tamil Nadu,Nilgiris,1010,913,3,0,45839
15-08-2020,Tamil Nadu,Nilgiris,1033,915,3,0,45839
16-08-2020,Tamil Nadu,Nilgiris,1057,933,3,0,45839
17-08-2020,Tamil Nadu,Nilgiris,1083,944,4,0,45839
18-08-2020,Tamil Nadu,Nilgiris,1089,952,4,0,45839
19-08-2020,Tamil Nadu,Nilgiris,1120,956,4,0,45839
20-08-2020,Tamil Nadu,Nilgiris,1178,972,4,0,45839
21-08-2020,Tamil Nadu,Nilgiris,1220,983,5,0,45839
22-08-2020,Tamil Nadu,Nilgiris,1238,1003,5,0,45839
23-08-2020,Tamil Nadu,Nilgiris,1325,1041,8,0,45839
24-08-2020,Tamil Nadu,Nilgiris,1400,1070,8,0,45839
25-08-2020,Tamil Nadu,Nilgiris,1473,1080,9,0,45839
26-08-2020,Tamil Nadu,Nilgiris,1472,1121,10,0,45839
27-08-2020,Tamil Nadu,Nilgiris,1497,1169,10,0,45839
28-08-2020,Tamil Nadu,Nilgiris,1536,1220,10,0,45839
29-08-2020,Tamil Nadu,Nilgiris,1551,1234,10,0,45839
30-08-2020,Tamil Nadu,Nilgiris,1584,1256,10,0,45839
31-08-2020,Tamil Nadu,Nilgiris,1614,1277,10,0,45839
01-09-2020,Tamil Nadu,Nilgiris,1653,1310,10,0,45839
02-09-2020,Tamil Nadu,Nilgiris,1667,1339,11,0,45839
03-09-2020,Tamil Nadu,Nilgiris,1720,1373,12,0,45839
04-09-2020,Tamil Nadu,Nilgiris,1810,1425,13,0,45839
05-09-2020,Tamil Nadu,Nilgiris,1857,1477,14,0,45839
06-09-2020,Tamil Nadu,Nilgiris,1897,1502,14,0,45839
07-09-2020,Tamil Nadu,Nilgiris,1933,1538,14,0,45839
08-09-2020,Tamil Nadu,Nilgiris,1989,1567,14,0,45839
09-09-2020,Tamil Nadu,Nilgiris,2058,1627,14,0,45839
