Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Ranipet,38,32,0,0,
27-04-2020,Tamil Nadu,Ranipet,38,32,0,0,
28-04-2020,Tamil Nadu,Ranipet,38,32,0,0,
29-04-2020,Tamil Nadu,Ranipet,38,33,0,0,
30-04-2020,Tamil Nadu,Ranipet,39,33,0,0,
01-05-2020,Tamil Nadu,Ranipet,39,33,0,0,
02-05-2020,Tamil Nadu,Ranipet,39,34,0,0,
03-05-2020,Tamil Nadu,Ranipet,39,34,0,0,
04-05-2020,Tamil Nadu,Ranipet,42,34,0,0,
05-05-2020,Tamil Nadu,Ranipet,42,34,0,0,
06-05-2020,Tamil Nadu,Ranipet,42,37,0,0,
07-05-2020,Tamil Nadu,Ranipet,49,37,0,0,
08-05-2020,Tamil Nadu,Ranipet,49,37,0,0,
09-05-2020,Tamil Nadu,Ranipet,59,38,0,0,
10-05-2020,Tamil Nadu,Ranipet,65,38,0,0,
11-05-2020,Tamil Nadu,Ranipet,66,38,0,0,
12-05-2020,Tamil Nadu,Ranipet,75,39,0,0,
13-05-2020,Tamil Nadu,Ranipet,75,41,0,0,
14-05-2020,Tamil Nadu,Ranipet,76,41,0,0,
15-05-2020,Tamil Nadu,Ranipet,78,42,0,0,
16-05-2020,Tamil Nadu,Ranipet,81,42,0,0,
17-05-2020,Tamil Nadu,Ranipet,81,46,0,0,
18-05-2020,Tamil Nadu,Ranipet,83,46,0,0,
19-05-2020,Tamil Nadu,Ranipet,84,46,0,0,
20-05-2020,Tamil Nadu,Ranipet,84,58,0,0,
21-05-2020,Tamil Nadu,Ranipet,88,60,0,0,
22-05-2020,Tamil Nadu,Ranipet,89,60,0,0,
23-05-2020,Tamil Nadu,Ranipet,90,61,0,0,
24-05-2020,Tamil Nadu,Ranipet,92,67,0,0,
25-05-2020,Tamil Nadu,Ranipet,96,67,0,0,
26-05-2020,Tamil Nadu,Ranipet,97,76,0,0,
27-05-2020,Tamil Nadu,Ranipet,96,76,0,0,
28-05-2020,Tamil Nadu,Ranipet,97,80,0,0,
29-05-2020,Tamil Nadu,Ranipet,97,83,0,0,
30-05-2020,Tamil Nadu,Ranipet,97,84,0,0,
31-05-2020,Tamil Nadu,Ranipet,98,84,0,0,
01-06-2020,Tamil Nadu,Ranipet,103,85,0,0,
02-06-2020,Tamil Nadu,Ranipet,103,85,0,0,
03-06-2020,Tamil Nadu,Ranipet,108,85,0,0,
04-06-2020,Tamil Nadu,Ranipet,108,92,0,0,
05-06-2020,Tamil Nadu,Ranipet,122,92,0,0,
06-06-2020,Tamil Nadu,Ranipet,120,94,0,0,
07-06-2020,Tamil Nadu,Ranipet,130,94,0,0,5480
08-06-2020,Tamil Nadu,Ranipet,138,94,1,0,5480
09-06-2020,Tamil Nadu,Ranipet,139,94,1,0,5480
10-06-2020,Tamil Nadu,Ranipet,164,95,1,0,5480
11-06-2020,Tamil Nadu,Ranipet,185,99,1,0,5480
12-06-2020,Tamil Nadu,Ranipet,189,106,1,0,5480
13-06-2020,Tamil Nadu,Ranipet,191,106,1,0,5480
14-06-2020,Tamil Nadu,Ranipet,197,107,1,0,5480
15-06-2020,Tamil Nadu,Ranipet,234,113,1,0,5480
16-06-2020,Tamil Nadu,Ranipet,311,113,2,0,5480
17-06-2020,Tamil Nadu,Ranipet,381,116,2,0,5480
18-06-2020,Tamil Nadu,Ranipet,404,121,2,0,5480
19-06-2020,Tamil Nadu,Ranipet,409,122,2,0,6757
20-06-2020,Tamil Nadu,Ranipet,468,159,2,0,6879
21-06-2020,Tamil Nadu,Ranipet,470,160,2,0,6879
22-06-2020,Tamil Nadu,Ranipet,525,291,2,0,6879
23-06-2020,Tamil Nadu,Ranipet,551,297,2,0,6879
24-06-2020,Tamil Nadu,Ranipet,545,301,2,0,6879
25-06-2020,Tamil Nadu,Ranipet,567,302,2,0,6879
26-06-2020,Tamil Nadu,Ranipet,620,318,2,0,6879
27-06-2020,Tamil Nadu,Ranipet,719,363,2,0,6879
28-06-2020,Tamil Nadu,Ranipet,730,363,3,0,6879
29-06-2020,Tamil Nadu,Ranipet,730,364,3,0,6879
30-06-2020,Tamil Nadu,Ranipet,754,451,3,0,6879
01-07-2020,Tamil Nadu,Ranipet,762,462,3,0,6879
02-07-2020,Tamil Nadu,Ranipet,891,462,3,0,6879
03-07-2020,Tamil Nadu,Ranipet,978,535,3,0,6879
04-07-2020,Tamil Nadu,Ranipet,1083,537,4,0,6879
05-07-2020,Tamil Nadu,Ranipet,1148,537,5,0,6879
06-07-2020,Tamil Nadu,Ranipet,1193,538,5,0,6879
07-07-2020,Tamil Nadu,Ranipet,1312,604,5,0,6879
08-07-2020,Tamil Nadu,Ranipet,1325,661,10,0,6879
09-07-2020,Tamil Nadu,Ranipet,1404,661,10,0,6879
10-07-2020,Tamil Nadu,Ranipet,1415,681,10,0,6879
11-07-2020,Tamil Nadu,Ranipet,1463,693,13,0,6879
12-07-2020,Tamil Nadu,Ranipet,1509,725,13,0,6879
13-07-2020,Tamil Nadu,Ranipet,1635,725,13,0,6879
