Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Theni,44,35,1,0,
27-04-2020,Tamil Nadu,Theni,44,36,1,0,
28-04-2020,Tamil Nadu,Theni,44,36,1,0,
29-04-2020,Tamil Nadu,Theni,44,36,1,0,
30-04-2020,Tamil Nadu,Theni,44,37,1,0,
01-05-2020,Tamil Nadu,Theni,44,37,1,0,
02-05-2020,Tamil Nadu,Theni,44,42,1,0,
03-05-2020,Tamil Nadu,Theni,44,42,1,0,
04-05-2020,Tamil Nadu,Theni,44,42,1,0,
05-05-2020,Tamil Nadu,Theni,49,42,1,0,
06-05-2020,Tamil Nadu,Theni,51,42,1,0,
07-05-2020,Tamil Nadu,Theni,54,42,1,0,
08-05-2020,Tamil Nadu,Theni,55,42,1,0,
09-05-2020,Tamil Nadu,Theni,57,42,1,0,
10-05-2020,Tamil Nadu,Theni,60,42,1,0,
11-05-2020,Tamil Nadu,Theni,60,42,1,0,
12-05-2020,Tamil Nadu,Theni,67,42,1,0,
13-05-2020,Tamil Nadu,Theni,72,42,1,0,
14-05-2020,Tamil Nadu,Theni,72,42,1,0,
15-05-2020,Tamil Nadu,Theni,78,42,1,0,
16-05-2020,Tamil Nadu,Theni,79,43,1,0,
17-05-2020,Tamil Nadu,Theni,79,43,1,0,
18-05-2020,Tamil Nadu,Theni,88,43,1,0,
19-05-2020,Tamil Nadu,Theni,89,43,1,0,
20-05-2020,Tamil Nadu,Theni,92,44,1,0,
21-05-2020,Tamil Nadu,Theni,96,44,1,0,
22-05-2020,Tamil Nadu,Theni,101,50,2,0,
23-05-2020,Tamil Nadu,Theni,102,50,2,0,
24-05-2020,Tamil Nadu,Theni,106,54,2,0,
25-05-2020,Tamil Nadu,Theni,108,54,2,0,
26-05-2020,Tamil Nadu,Theni,108,63,2,0,
27-05-2020,Tamil Nadu,Theni,108,75,2,0,
28-05-2020,Tamil Nadu,Theni,108,77,2,0,
29-05-2020,Tamil Nadu,Theni,108,83,2,0,
30-05-2020,Tamil Nadu,Theni,109,86,2,0,
31-05-2020,Tamil Nadu,Theni,109,86,2,0,
01-06-2020,Tamil Nadu,Theni,109,92,2,0,
02-06-2020,Tamil Nadu,Theni,114,98,2,0,
03-06-2020,Tamil Nadu,Theni,115,99,2,0,
04-06-2020,Tamil Nadu,Theni,119,99,2,0,
05-06-2020,Tamil Nadu,Theni,121,99,2,0,
06-06-2020,Tamil Nadu,Theni,121,105,2,0,
07-06-2020,Tamil Nadu,Theni,124,105,2,0,16945
08-06-2020,Tamil Nadu,Theni,126,105,2,0,16945
09-06-2020,Tamil Nadu,Theni,125,105,2,0,16945
10-06-2020,Tamil Nadu,Theni,134,105,2,0,16945
11-06-2020,Tamil Nadu,Theni,137,106,2,0,16945
12-06-2020,Tamil Nadu,Theni,138,106,2,0,16945
13-06-2020,Tamil Nadu,Theni,138,113,2,0,16945
14-06-2020,Tamil Nadu,Theni,146,113,2,0,16945
15-06-2020,Tamil Nadu,Theni,157,115,2,0,16945
16-06-2020,Tamil Nadu,Theni,161,115,2,0,16945
17-06-2020,Tamil Nadu,Theni,164,118,2,0,16945
18-06-2020,Tamil Nadu,Theni,170,123,2,0,16945
19-06-2020,Tamil Nadu,Theni,185,123,2,0,22755
20-06-2020,Tamil Nadu,Theni,193,123,2,0,23138
21-06-2020,Tamil Nadu,Theni,200,125,2,0,23138
22-06-2020,Tamil Nadu,Theni,236,129,2,0,23138
23-06-2020,Tamil Nadu,Theni,284,129,2,0,23138
24-06-2020,Tamil Nadu,Theni,365,134,2,0,23138
25-06-2020,Tamil Nadu,Theni,437,134,2,0,23138
26-06-2020,Tamil Nadu,Theni,477,143,2,0,23138
27-06-2020,Tamil Nadu,Theni,513,147,2,0,23138
28-06-2020,Tamil Nadu,Theni,575,152,2,0,23138
29-06-2020,Tamil Nadu,Theni,626,155,2,0,23138
30-06-2020,Tamil Nadu,Theni,702,163,2,0,23138
01-07-2020,Tamil Nadu,Theni,736,171,3,0,23138
02-07-2020,Tamil Nadu,Theni,801,191,4,0,23138
03-07-2020,Tamil Nadu,Theni,927,234,5,0,23138
04-07-2020,Tamil Nadu,Theni,985,268,5,0,23138
05-07-2020,Tamil Nadu,Theni,1009,368,7,0,23138
06-07-2020,Tamil Nadu,Theni,1128,377,7,0,23138
07-07-2020,Tamil Nadu,Theni,1222,422,7,0,23138
08-07-2020,Tamil Nadu,Theni,1297,439,11,0,23138
09-07-2020,Tamil Nadu,Theni,1387,479,11,0,23138
10-07-2020,Tamil Nadu,Theni,1495,484,14,0,23138
11-07-2020,Tamil Nadu,Theni,1614,532,16,0,23138
12-07-2020,Tamil Nadu,Theni,1729,608,18,0,23138
13-07-2020,Tamil Nadu,Theni,1863,671,19,0,23138
14-07-2020,Tamil Nadu,Theni,1916,684,20,0,23138
15-07-2020,Tamil Nadu,Theni,1975,724,22,0,23138
16-07-2020,Tamil Nadu,Theni,2053,827,25,0,23138
17-07-2020,Tamil Nadu,Theni,2229,883,26,0,23138
18-07-2020,Tamil Nadu,Theni,2374,993,30,0,23138
19-07-2020,Tamil Nadu,Theni,2494,1175,32,0,23138
20-07-2020,Tamil Nadu,Theni,2601,1259,32,0,23138
21-07-2020,Tamil Nadu,Theni,2732,1465,36,0,23138
22-07-2020,Tamil Nadu,Theni,2899,1554,38,0,23138
23-07-2020,Tamil Nadu,Theni,3087,1625,41,0,45839
24-07-2020,Tamil Nadu,Theni,3321,1694,43,0,45839
25-07-2020,Tamil Nadu,Theni,3556,1940,46,0,45839
26-07-2020,Tamil Nadu,Theni,3773,1984,48,0,45839
27-07-2020,Tamil Nadu,Theni,4053,2042,49,0,45839
28-07-2020,Tamil Nadu,Theni,4337,2255,51,0,45839
29-07-2020,Tamil Nadu,Theni,4468,2470,53,0,45839
30-07-2020,Tamil Nadu,Theni,4729,2632,57,0,45839
31-07-2020,Tamil Nadu,Theni,5028,2786,62,0,45839
01-08-2020,Tamil Nadu,Theni,5355,3085,63,0,45839
02-08-2020,Tamil Nadu,Theni,5664,3180,63,0,45839
03-08-2020,Tamil Nadu,Theni,5969,3323,68,0,45839
04-08-2020,Tamil Nadu,Theni,6261,3498,72,0,45839
05-08-2020,Tamil Nadu,Theni,6539,3792,79,0,45839
06-08-2020,Tamil Nadu,Theni,6836,4068,82,0,45839
07-08-2020,Tamil Nadu,Theni,7188,4344,86,0,45839
08-08-2020,Tamil Nadu,Theni,7538,4596,91,0,45839
09-08-2020,Tamil Nadu,Theni,7898,4790,94,0,45839
10-08-2020,Tamil Nadu,Theni,8257,5111,97,0,45839
11-08-2020,Tamil Nadu,Theni,8554,5453,99,0,45839
12-08-2020,Tamil Nadu,Theni,8836,5739,99,0,45839
13-08-2020,Tamil Nadu,Theni,9122,6014,104,0,45839
14-08-2020,Tamil Nadu,Theni,9489,6189,112,0,45839
15-08-2020,Tamil Nadu,Theni,9703,6546,115,0,45839
16-08-2020,Tamil Nadu,Theni,9909,6865,115,0,45839
17-08-2020,Tamil Nadu,Theni,10189,7160,116,0,45839
18-08-2020,Tamil Nadu,Theni,10484,7606,117,0,45839
19-08-2020,Tamil Nadu,Theni,10772,7979,121,0,45839
20-08-2020,Tamil Nadu,Theni,11009,8366,124,0,45839
21-08-2020,Tamil Nadu,Theni,11131,8747,126,0,45839
22-08-2020,Tamil Nadu,Theni,11275,8970,127,0,45839
23-08-2020,Tamil Nadu,Theni,11445,9235,134,0,45839
24-08-2020,Tamil Nadu,Theni,11638,9530,134,0,45839
25-08-2020,Tamil Nadu,Theni,11864,9746,136,0,45839
26-08-2020,Tamil Nadu,Theni,12048,9968,138,0,45839
27-08-2020,Tamil Nadu,Theni,12179,10170,139,0,45839
