Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Thiruvallur,54,14,0,0,
27-04-2020,Tamil Nadu,Thiruvallur,54,14,0,0,
28-04-2020,Tamil Nadu,Thiruvallur,54,29,0,0,
29-04-2020,Tamil Nadu,Thiruvallur,55,30,0,0,
30-04-2020,Tamil Nadu,Thiruvallur,56,30,0,0,
01-05-2020,Tamil Nadu,Thiruvallur,62,44,0,0,
02-05-2020,Tamil Nadu,Thiruvallur,70,45,0,0,
03-05-2020,Tamil Nadu,Thiruvallur,72,45,0,0,
04-05-2020,Tamil Nadu,Thiruvallur,81,46,0,0,
05-05-2020,Tamil Nadu,Thiruvallur,101,49,0,0,
06-05-2020,Tamil Nadu,Thiruvallur,135,50,0,0,
07-05-2020,Tamil Nadu,Thiruvallur,198,50,1,0,
08-05-2020,Tamil Nadu,Thiruvallur,273,53,1,0,
09-05-2020,Tamil Nadu,Thiruvallur,299,61,1,0,
10-05-2020,Tamil Nadu,Thiruvallur,346,63,2,0,
11-05-2020,Tamil Nadu,Thiruvallur,443,64,2,0,
12-05-2020,Tamil Nadu,Thiruvallur,470,66,3,0,
13-05-2020,Tamil Nadu,Thiruvallur,495,82,3,0,
14-05-2020,Tamil Nadu,Thiruvallur,495,82,3,0,
15-05-2020,Tamil Nadu,Thiruvallur,516,84,3,0,
16-05-2020,Tamil Nadu,Thiruvallur,526,176,3,0,
17-05-2020,Tamil Nadu,Thiruvallur,544,178,5,0,
18-05-2020,Tamil Nadu,Thiruvallur,563,179,5,0,
19-05-2020,Tamil Nadu,Thiruvallur,571,185,6,0,
20-05-2020,Tamil Nadu,Thiruvallur,594,191,7,0,
21-05-2020,Tamil Nadu,Thiruvallur,636,215,7,0,
22-05-2020,Tamil Nadu,Thiruvallur,675,243,7,0,
23-05-2020,Tamil Nadu,Thiruvallur,697,263,7,0,
24-05-2020,Tamil Nadu,Thiruvallur,731,270,8,0,
25-05-2020,Tamil Nadu,Thiruvallur,768,326,8,0,
26-05-2020,Tamil Nadu,Thiruvallur,793,467,8,0,
27-05-2020,Tamil Nadu,Thiruvallur,825,470,9,0,
28-05-2020,Tamil Nadu,Thiruvallur,863,514,9,0,
29-05-2020,Tamil Nadu,Thiruvallur,872,534,10,0,
30-05-2020,Tamil Nadu,Thiruvallur,900,564,10,0,
31-05-2020,Tamil Nadu,Thiruvallur,947,603,10,0,
01-06-2020,Tamil Nadu,Thiruvallur,980,611,10,0,
02-06-2020,Tamil Nadu,Thiruvallur,1023,616,10,0,
03-06-2020,Tamil Nadu,Thiruvallur,1081,630,10,0,
04-06-2020,Tamil Nadu,Thiruvallur,1124,645,11,0,
05-06-2020,Tamil Nadu,Thiruvallur,1188,647,11,0,
06-06-2020,Tamil Nadu,Thiruvallur,1274,668,11,0,
07-06-2020,Tamil Nadu,Thiruvallur,1329,682,12,0,11065
08-06-2020,Tamil Nadu,Thiruvallur,1386,732,14,0,11065
09-06-2020,Tamil Nadu,Thiruvallur,1476,771,15,0,11065
10-06-2020,Tamil Nadu,Thiruvallur,1581,795,15,0,11065
11-06-2020,Tamil Nadu,Thiruvallur,1656,807,16,0,11065
12-06-2020,Tamil Nadu,Thiruvallur,1752,830,17,0,11065
13-06-2020,Tamil Nadu,Thiruvallur,1797,848,21,0,11065
14-06-2020,Tamil Nadu,Thiruvallur,1865,855,22,0,11065
15-06-2020,Tamil Nadu,Thiruvallur,1922,881,27,0,11065
16-06-2020,Tamil Nadu,Thiruvallur,1945,914,30,0,11065
17-06-2020,Tamil Nadu,Thiruvallur,2037,1020,31,0,11065
18-06-2020,Tamil Nadu,Thiruvallur,2155,1117,32,0,11065
19-06-2020,Tamil Nadu,Thiruvallur,2291,1130,33,0,13645
20-06-2020,Tamil Nadu,Thiruvallur,2414,1177,34,0,13981
21-06-2020,Tamil Nadu,Thiruvallur,2534,1240,37,0,13981
22-06-2020,Tamil Nadu,Thiruvallur,2645,1427,42,0,13981
23-06-2020,Tamil Nadu,Thiruvallur,2826,1470,44,0,13981
24-06-2020,Tamil Nadu,Thiruvallur,2907,1468,45,0,13981
25-06-2020,Tamil Nadu,Thiruvallur,3085,1874,51,0,13981
26-06-2020,Tamil Nadu,Thiruvallur,3277,1923,55,0,13981
27-06-2020,Tamil Nadu,Thiruvallur,3420,2031,58,0,13981
28-06-2020,Tamil Nadu,Thiruvallur,3524,2156,61,0,13981
29-06-2020,Tamil Nadu,Thiruvallur,3656,2245,66,0,13981
30-06-2020,Tamil Nadu,Thiruvallur,3830,2373,69,0,13981
01-07-2020,Tamil Nadu,Thiruvallur,3978,2504,74,0,13981
02-07-2020,Tamil Nadu,Thiruvallur,4167,2648,79,0,13981
03-07-2020,Tamil Nadu,Thiruvallur,4343,2793,82,0,13981
04-07-2020,Tamil Nadu,Thiruvallur,4596,2895,84,0,13981
05-07-2020,Tamil Nadu,Thiruvallur,4806,3062,94,0,13981
06-07-2020,Tamil Nadu,Thiruvallur,4983,3217,100,0,13981
07-07-2020,Tamil Nadu,Thiruvallur,5205,3356,105,0,13981
08-07-2020,Tamil Nadu,Thiruvallur,5507,3457,111,0,13981
09-07-2020,Tamil Nadu,Thiruvallur,5877,3591,117,0,13981
10-07-2020,Tamil Nadu,Thiruvallur,6075,3736,118,0,13981
