Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
27-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
28-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
29-04-2020,Tamil Nadu,Tirunelveli,65,53,0,0,
30-04-2020,Tamil Nadu,Tirunelveli,65,54,0,0,
01-05-2020,Tamil Nadu,Tirunelveli,65,57,0,0,
02-05-2020,Tamil Nadu,Tirunelveli,65,57,0,0,
03-05-2020,Tamil Nadu,Tirunelveli,65,57,0,0,
04-05-2020,Tamil Nadu,Tirunelveli,65,58,0,0,
05-05-2020,Tamil Nadu,Tirunelveli,66,59,0,0,
06-05-2020,Tamil Nadu,Tirunelveli,67,59,0,0,
07-05-2020,Tamil Nadu,Tirunelveli,70,59,0,0,
08-05-2020,Tamil Nadu,Tirunelveli,74,59,1,0,
09-05-2020,Tamil Nadu,Tirunelveli,83,59,1,0,
10-05-2020,Tamil Nadu,Tirunelveli,93,63,1,0,
11-05-2020,Tamil Nadu,Tirunelveli,93,63,1,0,
12-05-2020,Tamil Nadu,Tirunelveli,96,62,1,0,
13-05-2020,Tamil Nadu,Tirunelveli,101,62,1,0,
14-05-2020,Tamil Nadu,Tirunelveli,114,62,1,0,
15-05-2020,Tamil Nadu,Tirunelveli,136,63,1,0,
16-05-2020,Tamil Nadu,Tirunelveli,180,64,1,0,
17-05-2020,Tamil Nadu,Tirunelveli,195,65,1,0,
18-05-2020,Tamil Nadu,Tirunelveli,207,64,1,0,
19-05-2020,Tamil Nadu,Tirunelveli,227,70,1,0,
20-05-2020,Tamil Nadu,Tirunelveli,243,78,1,0,
21-05-2020,Tamil Nadu,Tirunelveli,254,88,1,0,
22-05-2020,Tamil Nadu,Tirunelveli,272,93,1,0,
23-05-2020,Tamil Nadu,Tirunelveli,283,94,1,0,
24-05-2020,Tamil Nadu,Tirunelveli,283,99,1,0,
25-05-2020,Tamil Nadu,Tirunelveli,298,99,1,0,
26-05-2020,Tamil Nadu,Tirunelveli,298,121,1,0,
27-05-2020,Tamil Nadu,Tirunelveli,301,146,1,0,
28-05-2020,Tamil Nadu,Tirunelveli,330,155,1,0,
29-05-2020,Tamil Nadu,Tirunelveli,345,167,1,0,
30-05-2020,Tamil Nadu,Tirunelveli,357,183,1,0,
31-05-2020,Tamil Nadu,Tirunelveli,357,211,1,0,
01-06-2020,Tamil Nadu,Tirunelveli,360,249,1,0,
02-06-2020,Tamil Nadu,Tirunelveli,372,276,1,0,
03-06-2020,Tamil Nadu,Tirunelveli,384,279,1,0,
04-06-2020,Tamil Nadu,Tirunelveli,381,294,1,0,
05-06-2020,Tamil Nadu,Tirunelveli,383,323,1,0,
06-06-2020,Tamil Nadu,Tirunelveli,384,328,1,0,
07-06-2020,Tamil Nadu,Tirunelveli,386,341,1,0,17624
