Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
27-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
28-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
29-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
30-04-2020,Tamil Nadu,Tirupathur,18,17,0,0,
01-05-2020,Tamil Nadu,Tirupathur,18,17,0,0,
02-05-2020,Tamil Nadu,Tirupathur,18,17,0,0,
03-05-2020,Tamil Nadu,Tirupathur,18,17,0,0,
04-05-2020,Tamil Nadu,Tirupathur,19,17,0,0,
05-05-2020,Tamil Nadu,Tirupathur,19,17,0,0,
06-05-2020,Tamil Nadu,Tirupathur,20,17,0,0,
07-05-2020,Tamil Nadu,Tirupathur,22,17,0,0,
08-05-2020,Tamil Nadu,Tirupathur,23,17,0,0,
09-05-2020,Tamil Nadu,Tirupathur,27,18,0,0,
10-05-2020,Tamil Nadu,Tirupathur,28,18,0,0,
11-05-2020,Tamil Nadu,Tirupathur,28,18,0,0,
12-05-2020,Tamil Nadu,Tirupathur,28,18,0,0,
13-05-2020,Tamil Nadu,Tirupathur,28,18,0,0,
14-05-2020,Tamil Nadu,Tirupathur,28,18,0,0,
15-05-2020,Tamil Nadu,Tirupathur,28,18,0,0,
16-05-2020,Tamil Nadu,Tirupathur,28,28,0,0,
17-05-2020,Tamil Nadu,Tirupathur,28,20,0,0,
18-05-2020,Tamil Nadu,Tirupathur,29,20,0,0,
19-05-2020,Tamil Nadu,Tirupathur,29,22,0,0,
20-05-2020,Tamil Nadu,Tirupathur,29,22,0,0,
21-05-2020,Tamil Nadu,Tirupathur,30,26,0,0,
22-05-2020,Tamil Nadu,Tirupathur,30,26,0,0,
23-05-2020,Tamil Nadu,Tirupathur,30,26,0,0,
24-05-2020,Tamil Nadu,Tirupathur,30,26,0,0,
25-05-2020,Tamil Nadu,Tirupathur,30,26,0,0,
26-05-2020,Tamil Nadu,Tirupathur,31,26,0,0,
27-05-2020,Tamil Nadu,Tirupathur,32,28,0,0,
28-05-2020,Tamil Nadu,Tirupathur,32,28,0,0,
29-05-2020,Tamil Nadu,Tirupathur,32,28,0,0,
30-05-2020,Tamil Nadu,Tirupathur,33,28,0,0,
31-05-2020,Tamil Nadu,Tirupathur,33,28,0,0,
01-06-2020,Tamil Nadu,Tirupathur,34,28,0,0,
02-06-2020,Tamil Nadu,Tirupathur,38,28,0,0,
03-06-2020,Tamil Nadu,Tirupathur,42,29,0,0,
04-06-2020,Tamil Nadu,Tirupathur,36,29,0,0,
05-06-2020,Tamil Nadu,Tirupathur,37,29,0,0,
06-06-2020,Tamil Nadu,Tirupathur,36,29,0,0,
07-06-2020,Tamil Nadu,Tirupathur,42,31,0,0,9911
08-06-2020,Tamil Nadu,Tirupathur,42,31,0,0,9911
09-06-2020,Tamil Nadu,Tirupathur,42,31,0,0,9911
10-06-2020,Tamil Nadu,Tirupathur,42,31,0,0,9911
11-06-2020,Tamil Nadu,Tirupathur,43,33,0,0,9911
12-06-2020,Tamil Nadu,Tirupathur,43,34,0,0,9911
13-06-2020,Tamil Nadu,Tirupathur,45,35,0,0,9911
14-06-2020,Tamil Nadu,Tirupathur,47,35,0,0,9911
15-06-2020,Tamil Nadu,Tirupathur,48,37,0,0,9911
16-06-2020,Tamil Nadu,Tirupathur,43,37,0,0,9911
17-06-2020,Tamil Nadu,Tirupathur,43,38,0,0,9911
18-06-2020,Tamil Nadu,Tirupathur,47,38,0,0,9911
19-06-2020,Tamil Nadu,Tirupathur,55,38,0,0,12187
20-06-2020,Tamil Nadu,Tirupathur,66,39,0,0,12453
21-06-2020,Tamil Nadu,Tirupathur,68,39,0,0,12453
22-06-2020,Tamil Nadu,Tirupathur,83,40,0,0,12453
23-06-2020,Tamil Nadu,Tirupathur,75,41,0,0,12453
24-06-2020,Tamil Nadu,Tirupathur,87,43,0,0,12453
25-06-2020,Tamil Nadu,Tirupathur,101,44,0,0,12453
26-06-2020,Tamil Nadu,Tirupathur,100,44,0,0,12453
27-06-2020,Tamil Nadu,Tirupathur,115,45,0,0,12453
28-06-2020,Tamil Nadu,Tirupathur,138,45,0,0,12453
29-06-2020,Tamil Nadu,Tirupathur,153,46,0,0,12453
30-06-2020,Tamil Nadu,Tirupathur,172,51,0,0,12453
01-07-2020,Tamil Nadu,Tirupathur,186,53,0,0,12453
02-07-2020,Tamil Nadu,Tirupathur,184,55,0,0,12453
03-07-2020,Tamil Nadu,Tirupathur,216,80,0,0,12453
04-07-2020,Tamil Nadu,Tirupathur,261,87,0,0,12453
05-07-2020,Tamil Nadu,Tirupathur,259,90,0,0,12453
06-07-2020,Tamil Nadu,Tirupathur,282,96,0,0,12453
07-07-2020,Tamil Nadu,Tirupathur,322,138,0,0,12453
08-07-2020,Tamil Nadu,Tirupathur,332,155,0,0,12453
09-07-2020,Tamil Nadu,Tirupathur,351,168,0,0,12453
10-07-2020,Tamil Nadu,Tirupathur,379,183,0,0,12453
11-07-2020,Tamil Nadu,Tirupathur,388,205,1,0,12453
12-07-2020,Tamil Nadu,Tirupathur,414,209,1,0,12453
13-07-2020,Tamil Nadu,Tirupathur,431,234,1,0,12453
14-07-2020,Tamil Nadu,Tirupathur,461,272,1,0,12453
15-07-2020,Tamil Nadu,Tirupathur,478,272,1,0,12453
16-07-2020,Tamil Nadu,Tirupathur,504,307,1,0,12453
17-07-2020,Tamil Nadu,Tirupathur,512,317,2,0,12453
18-07-2020,Tamil Nadu,Tirupathur,515,343,3,0,12453
19-07-2020,Tamil Nadu,Tirupathur,564,355,4,0,12453
20-07-2020,Tamil Nadu,Tirupathur,564,387,5,0,12453
21-07-2020,Tamil Nadu,Tirupathur,599,436,6,0,12453
